"Citation","PubData"
"Chambers et al. 2010","Chambers, M. A., K. P. Lyashchenko, R. Greenwald, J. Esfandiari, E. James, L. Barker, J. Jones, G. Watkins and S. Rolfe. 2010. Evaluation of a rapid serological test for the determination of mycobacterium bovis infection in badgers (meles meles) found dead. Clinical and Vaccine Immunology 17: 408-411"
"Chang et al. 1999","Chang, C. C., K. Yamamoto, B. B. Chomel, R. W. Kasten, D. C. Simpson, C. R. Smith, and V. L. Kramer. 1999. Seroepidemiology of Bartonella vinsonii subsp berkhoffii infection in California coyotes, 1994-1998. Emerging Infectious Diseases 5:711-715."
"Chang et al. 2000","Chang, C. C., R. W. Kasten, B. B. Chomel, D. C. Simpson, C. M. Hew, D. L. Kordick, R. Heller et al. 2000. Coyotes (Canis latrans) as the reservoir for a human pathogenic Bartonella sp.: Molecular epidemiology of Bartonella vinsonii subsp berkhoffii infection in coyotes from central coastal California. Journal of Clinical Microbiology 38:4193-4200."
"Chaparro et al 1990","Chaparro, F., J. V. Lawrence, et al. (1990). ""A Serological Survey for Brucellosis in Buffalo (Syncerus caffer) in the Kruger National Park South Africa."" Journal of the South African Veterinary Association 61(3): 110-111."
"Chapman and Chapman 1987","Chapman, N. G., and D. I. Chapman (1987) Cysticercosis in Fallow deer in England. Acta Theriologica, 32(8): 105-113."
"Chapman et al. 2005","Chapman, C. A., T. R. Gillespie, and M. L. Speirs. 2005. Parasite prevalence and richness in sympatric colobines: effects of host density. American Journal of Primatology 67:259-266."
"Chapman et al. 2006a","Chapman, C.A., Wasserman, M.D., Gillespie,T.R., Speirs, M.L., Lawes, M.J., Saj, T.L., and T.E. Ziegler. 2006. Do Food Availability, Parasitism, and Stress Have Synergistic Effects on Red Colobus Populations Living in Forest Fragments? American Journal of Physical Anthropology 131: 525-534"
"Chapman et al. 2006b","Chapman, C.A., Speirs, M.L., Gillespie, T.R., Holland, T., and K.M. Austad. 2006. Life on the edge: gastrointestinal parasites from the forest edge and interior primate groups. American Journal of Primatology 68:397-409"
"Chapman et al. 2007","Chapman, C.A., Saj,T.L., and T.V. Snaith. 2007. Temporal Dynamics of Nutrition, Parasitism, and Stress in Colobus Monkeys: Implications for Population Regulation and Conservation. American Journal of Physical Anthropology 134(2):240-250"
"Chapman et al. 2009a","Chapman, C. A., J. M. Rothman, and S. A. M. Hodder. 2009. Can parasite infections be a selective force influencing primate group size? A test with red colobus, Pages 423-440 in M. A. Huffman, and C. A. Chapman, eds. Primate Parasite Ecology. Cambridge, Cambridge University Press."
"Chapman et al. 2009b","Chapman, C.A., Speirs, M.L., Hodder, S.A.M, and J.M. Rothman. 2009. Colobus monkey parasite infections in wet and dry habitats: implications for climate change. African journal of ecology 48(2):555-558"
"Chapman et al. 2012","Chapman, C. A., Bowman, D. D., Ghai, R. R., Gogarten, J. F., Goldberg, T. L., Rothman, J. M., Twinomugisha, D., Walsh, C. 2012. Protozoan parasites in group-living primates: testing the biological island hypothesis. American Journal of Primatology 74:510-517."
"Chastel et al 1989","Chastel, C., A. J. Main, et al. (1989). ""Erve Virus, a Probable Member of Bunyaviridae Family Isolated from Shrews (Crocidura russula) in France."" Acta Virologica 33(3): 270-280."
"Cheadle et al. 2002","Cheadle, M. A., M. W. Cunningham, and E. C. Greiner. 2002. Prevalence of sarcocysts in Florida black bears (Ursus americanus floridanus). Journal of Parasitology 88:629-630."
"Chen et al. 1995","Chen, Telfer, Reed, Zhang, Getti, Ho, and Marx. 1995. Isolation and characterization of the first simian immunodeficiency virus from a feral sooty mangabey (Cercocebus atys) in West Africa. Journal of Medical Primatology 24:108- 115."
"Chen et al. 1996","Chen, Z. W., P. Telfer, A. Gettie, P. Reed, L. Q. Zhang, D. D. Ho, and P. A. Marx. 1996. Genetic characterization of new west African simian immunodeficiency virus SIVsm: Geographic clustering of household-derived SIV strains with human immunodeficiency virus type 2 subtypes and genetically diverse viruses from a single feral sooty mangabey troop. Journal of Virology 70:3617-3627."
"Chen et al. 1998","Chen, Z. W., D. Kwon, Z. Q. Jin, S. Monard, P. Telfer, M. S. Jones, C. Y. Lu et al. 1998. Natural infection of a homozygous Delta 24 CCR5 red-capped mangabey with an R2b-tropic simian immunodeficiency virus. Journal of Experimental Medicine 188:2057-2065."
"Chen et al. 2008","Chen, C. C., K. J. C. Pei, M. H. Liao and J. A. Mortenson. 2008. Canine distemper virus in wild ferret-badgers of taiwan. Journal of Wildlife Diseases 44: 440-445"
"Ching et al. 2000","Ching, H. L., B. J. Leighton, and C. Stephen. 2000. Intestinal parasites of raccoons (Procyon lotor) from southwest British Columbia. Canadian Journal of Veterinary Research-Revue Canadienne De Recherche Veterinaire 64:107-111."
"Chiu and Lu 1984","Chiu, S. Y. and Y. S. Lu (1987) The epidemiology of bovine epphemeral fever in Taiwan 1984. Journal of the Chinese Society of Veterinary Science, 13: 1-9."
"Chomel et al 1994","Chomel Bruno, B., L. Carniciu Marius, et al. (1994). ""Antibody prevalence of eight ruminant infectious diseases in California mule and black-tailed deer (Odocoileus hemionus)."" Journal of Wildlife Diseases 30(1): 51-59."
"Chomel et al. 1995","Chomel, B. B., R. L. Zarnke, R. W. Kasten, P. H. Kass, and E. Mendes. 1995. Serologic Survey of Toxoplasma-Gondii in Grizzly-Bears (Ursus- Arctos) and Black-Bears (Ursus-Americanus), from Alaska, 1988 to 1991. Journal of Wildlife Diseases 31:472-479."
"Chomel et al. 1998","Chomel, B. B., R. W. Kasten, G. Chappuis, M. Soulier, and Y. Kikuchi. 1998. Serological survey of selected canine viral pathogens and zoonoses in grizzly bears (Ursus arctos horribilis) and black bears (Ursus americanus) from Alaska. Revue Scientifique Et Technique De L Office International Des Epizooties 17:756-766."
"Chomel et al. 2004","Chomel, B. B., Y. Kikuchi, J. S. Martenson, M. E. Roelke-Parker, C. C. Chang, R. W. Kasten, J. E. Foley, J. Laudre, K. Murphy, P. K. Swift, V. L. Kramer and S. J. O'Brien. 2004. Seroprevalence of bartonella infection in american free-ranging and captive pumas (felis concolor) and bobcats (lynx rufus). Veterinary Research 35: 233-241"
"Chronert et al. 2007","Chronert, J. M., J. A. Jenks, D. E. Roddy, M. A. Wild and J. G. Powers. 2007. Effects of sarcoptic mange on coyotes at wind cave national park. Journal of Wildlife Management 71: 1987-1992"
"Chu et al., 2004","Chu, D-M.T., Sherchand, J.B., Cross, J.H., and Orlandi, P.A. 2004. Detection of Cyclospora Cayetanensis in Animal Fecal Isolates from Nepal Using an FTA Filter-Base Polymerase Chain Reaction Method. American Journal of Tropical Medicine and Hygiene 71(4): 373-379."
"Citterio et al. 2003","Citterio, C. V., Luzzago, C., Gatti, P., Gaffuri, A., Lanfranchi, P. (2003) Serological study of a population of alpinechamois (Rupkapra rrupkapra) affectedbyan outbreak of respiratory disease. Veterinary Record 153: 592-596."
"Citterio et al. 2006","Citterio, C. V., Caslini, C., Milani, F., Sala, M., Ferrari, N., Lanfranchi, P. (2006) ABOMASAL NEMATODE COMMUNITY IN AN ALPINE CHAMOIS (RUPICAPRA R.RUPICAPRA) POPULATION BEFORE AND AFTER A DIE-OFF. Journal of Parasitology 92: 918-927."
"Clancey et al. 2010","Clancey, N., B. Horney, S. Burton, A. Birkenheuer, S. McBurney and K. Tent. 2010. Babesia (theileria) annae in a red fox (vulpes vulpes) from prince edward island, canada. Journal of Wildlife Diseases 46: 615-621"
"Clark et al 1985","Clark, R. K., Jessup, D. A., Kock, M. D. and R. A. Weaver (1985) Survey of desert bighorn sheep in California for exposure to selected infectious diseases. Journal of the American Veterinary Association, 187: 1175-1179"
"Clark et al 1993","Clark, R. K., Whetstone, C. A.,  Castro, A. E., Jorgensen, M. M., Jensen, J. F. and D. A. Jessup (1993) Restriction endonuclease analysis of herpesviruses isolated from two peninsular bighorn sheep (Ovis canadensis cremnobates).  Journal of Wildlife Disease, 29: 50-56."
"Claxton et al 1992","Claxton, J. R., J. A. Faye, et al. (1992). ""Trypanosome Infections in Warthogs (Phacochoerus aethiopicus) in the Gambia."" Veterinary Parasitology 41(3-4): 179-187."
"Cleaveland et al. 2005","Cleaveland, S., Mlengeya, T., Kazwala, R. R., Michel, A., Kaare, M. T., Jones, S. L., Eblate, E., Shirima, G. M., Packer, C. (2005) Tuberculosis in Tanzanian Wildlife. Journal of Wildlife diseases 41: 446-453."
"Clegg et al. 2007","Clegg, S. B., Turnbull, P. C. B., Foggin, C. M., Lindeque, P. M. (2007) Massive outbreak of anthrax in wildlife in theMalilangwe Wildlife Reserve, Zimbabwe. Veterinary Record 160: 113-118."
"Clemens and Lamvermeyer 1985","Clemens, J. R. and B. L. Lamvermeyer (1985). ""Analysis of Internal Parasites in an Isolated Population of Ohio White-Tailed Deer."" Ohio Journal of Science 85(2): 8."
"Clifford et al. 1972","Clifford, R. J., C. Callanan, and S. E. G. Smith (1972). The Barbary apes of Gibraltar. The Blue Book for the Veterinary Profession, 22, 167-169."
"Clifford et al. 2006","Clifford, D. L., J. A. K. Mazet, E. J. Dubovi, D. K. Garcelon, T. J. Coonan, P. A. Conrad and L. Munson. 2006. Pathogen exposure in endangered island fox (urocyon littoralis) populations: Implications for conservation management. Biological Conservation 131: 230-243"
"Clifton-Hadley et al. 1993","Cliftonhadley, R. S., J. W. Wilesmith, and F. A. Stuart. 1993. Mycobacterium-Bovis in the European Badger (Meles-Meles) - Epidemiologic Findings in Tuberculous Badgers from a Naturally Infected-Population. Epidemiology and Infection 111:9-19."
"Clifton-Hadley et al. 1995","Cliftonhadley, R. S., A. R. Sayers, and M. P. Stock. 1995. Evaluation of an Elisa for Mycobacterium-Bovis Infection in Badgers (Meles-Meles). Veterinary Record 137:555-558."
"Clough 2010","Clough, D. 2010. Gastro-intestinal parasites of red-fronted lemurs in Kirindy Forest, Western Madagascar. Journal of Parasitology 96: 245-251."
"Clough et al. 2010","Clough, D., Heistermann, M., and P. Kappeler. 2010. Host Intrinsic Determinants and Potential Consequences of Parasite Infection in Free-Ranging Red-Fronted Lemurs (Eulemur fulvus rufus). American Journal of Physical Anthropology 142:441-452"
"Coatney et al 1971","Coatney, G. R., W. E. Collins, and W. McWilson. 1971. The primate malarias. Bethesda, National insitiute of allergy and infectious diseases."
"Colagross-Schouten et al. 2002","Colagross-Schouten, A. M., J. A. K. Mazet, F. M. D. Gulland, M. A. Miller and S. Hietala. 2002. Diagnosis and seroprevalence of leptospirosis in california sea lions from coastal california. Journal of Wildlife Diseases 38: 7-17"
"Colborne 1985","Colborne, J (1985) The life cycle of Rhipicephalus lunulatus Neumann, 1907 (Acarina: Ixodidae) under laboratory conditions, with notes on its ecology in Zimbabwe.  Experimental and Applied Acarology, 1 (4) 317-326"
"Cole and Shoop 1987","Cole, R. A., and W. L. Shoop. 1987. Helminths of the Raccoon (Procyon-Lotor) in Western Kentucky. Journal of Parasitology 73:762-768."
"Cole et al. 2000","Cole, R. A., D. S. Lindsay, D. K. Howe, C. L. Roderick, J. P. Dubey, N. J. Thomas, and L. A. Baeten. 2000. Biological and molecular characterizations of Toxoplasma gondii strains obtained from southern sea otters (Enhydra lutris nereis). Journal of Parasitology 86:526-530."
"Colegrove et al. 2005","Colegrove, K. M., L. J. Lowenstine and F. M. D. Gulland. 2005. Leptospirosis in northern elephant seals (mirounga angustirostris) stranded along the california coast. Journal of Wildlife Diseases 41: 426-430"
"Coleman et al. 1994","Coleman, J. D., R. Jackson, M. M. Cooke, and L. Grueber. 1994. Prevalence and spatial-distribution of bovine tuberculosis in brushtail possums on a forest-scrub margin. New Zealand Veterinary Journal 42:128-132."
"Collet et al. 1986","Collet, J. Y., B. M. F. Galdikas, J. Sugarjito, and S. Jojosudharmo. 1986. A Coprological Study of Parasitism in Orangutans (Pongo-Pygmaeus) in Indonesia. Journal of Medical Primatology 15:121-129."
"Colley and Mullin 1972","Colley, F. C., and S. W. Mullin. 1972. Eimeria Pachylepyron Sp. N. (Protozoa: Eimeriidae) From the Slow Loris in Malaysia. The Journal of Parasitology 58:110- 111."
"Collins et al. 1985","Collins, W. E., J. C. Skinner, A. Y. Huong, J. R. Broderson, B. B. Sutton, and P. Mehaffey. 1985. Studies on a Newly Isolated Strain of Plasmodium-Brasilianum in Aotus and Saimiri Monkeys and Different Anophelines. Journal of Parasitology 71:767-770."
"Collins et al. 1990","Collins, W. E., T. K. Ruebush, J. C. Skinner, V. K. Filipski, J. R. Broderson, P. S. Stanfill, and C. L. Morris. 1990. The Peruvian-Iii Strain of Plasmodium-Brasilianum in Saimiri-Sciureus-Boliviensis Monkeys. Journal of Parasitology 76:676-680."
"Colwell and Milton 1998","Colwell, D. D., and K. Milton. 1998. Development of Alouattamyia baeri (Diptera : Oestridae) from ilo howler monkeys (Primates : Cebidae) on Barro Colorado Island, Panama. Journal of Medical Entomology 35:674-680."
"Comer et al. 2000","Comer, J. A., W. L. Nicholson, C. D. Paddock, J. W. Sumner, and J. E. Childs. 2000. Detection of antibodies reactive with Ehrlichia chaffeensis in the raccoon. Journal of Wildlife Diseases 36:705-712."
"Compton et al. 2008","Compton, J. A., J. A. Baney, S. C. Donaldson, B. A. Houser, G. J. S. Julian, R. H. Yahner, W. Chmielecki, S. Reynolds and B. M. Jayarao. 2008. Salmonella infections in the common raccoon (procyon lotor) in western pennsylvania. Journal of Clinical Microbiology 46: 3084-3086"
"Conder and Loveless 1978","CONDER, G. A., and LOVELESS, R. M. (1978). PARASITES OF THE COYOTE (Canis latrans) IN CENTRAL UTAH 1. Journal of Wildlife Diseases, 14(2), 247-249."
"Condy et al 1985","Condy, J. B., R. S. Hedger, et al. (1985). ""The Duration of the Foot-and-Mouth Disease Virus Carrier State in African Buffalo (i) in the Individual Animal and (ii) in a Free-Living Herd."" Comparative Immunology, Microbiology and Infectious Diseases 8(3-4): 259-266."
"Conner et al 2000","Conner Mary, M., W. McCarty Craig, et al. (2000). ""Detection of bias in harvest-based estimates of chronic wasting disease prevalence in mule deer."" Journal of Wildlife Diseases 36(4): 691-699."
"Conrad et al 1987","Conrad, P. A., D. A. Stagg, et al. (1987). ""Isolation of Theileria Parasites from African Buffalo (Syncerus caffer) and Characterization with Anti-Schizont Monoclonal Antibodies."" Parasitology 94(3): 413-424."
"Conti 1984","Conti, J. A. (1984). Helminths of foxes and coyotes in Florida. Proceedings of the Helminthological Society of Washington, 51, 365-367."
"Cook et al 1997","Cook, W. E., T. E. Cornish, et al. (1997). ""Radiometric culture of Mycobacterium avium paratuberculosis from the feces of tule elk."" Journal of Wildlife Diseases 33(3): 635-637."
"Corbet et al. 2000","Corbet, S., M. C. Muller-Trutwin, P. Versmisse, S. Delarue, A. Ayouba, J. Lewis, S. Brunak et al. 2000. env Sequences of simian immunodeficiency viruses from chimpanzees in Cameroon are strongly related to those of human immunodeficiency virus group N from the same geographic area. Journal of Virology 74:529-534."
"Coria-Galindo et al. 2009","Coria-Galindo, E., E. Rangel-Huerta, A. Verdugo-Rodriguez, D. Brousset, S. Salazar and L. Padilla-Noriega. 2009. Rotavirus infections in galapagos sea lions. Journal of Wildlife Diseases 45: 722-728"
"Corn et al. 2009","Corn, J. L., P. Berger and J. W. Mertins. 2009. Surveys for ectoparasites on wildlife associated with amblyomma variegatum (acari: Ixodidae)-infested livestock in st. Croix, us virgin islands. Journal of Medical Entomology 46: 1483-1489"
"Cornaglia et al 1998","Cornaglia, E., Gaiaccherino, A. R. and V. Peracino (1998) Ultrastructural morphology of sarcosporidiosis in alpine ibex (Capra ibex). Veterinary Parasitology, 75: 21-32."
"Cornwell et al. 1992","Cornwell, H. J. C., S. S. Anderson, P. M. Thompson, S. J. Mayer, H. M. Ross, P. P. Pomeroy, and R. Munro. 1992. The Serological Response of the Common Seal (Phoca-Vitulina) and the Gray Seal (Halichoerus-Grypus) to Phocine Distemper Virus as Measured by a Canine-Distemper Virus Neutralization Test. Science of the Total Environment 115:99-116."
"Coscolla et al. 2013","Coscolla M, Lewin A, Metzger S, Maetz-Rennsing K, Calvignac-Spencer S, Nitsche A, Dabrowski PW, Radonic A, Niemann S, Parkhill J, Couacy-Hyamnn E, Feldman J, Comas I, Boesch C, Gagneux S, Leendertz FH. 2013. Novel Mycobacterium tuberculosis complex isolate from a wild chimpanzee. Emerging Infectious Diseases. 19:969-976."
"Costello et al. 2006","Costello, E., O. Flynn, F. Quigley, D. O'Grady, J. Griffin, T. Clegg and G. McGrath. 2006. Genotyping of mycobacterium bovis isolates from badgers in four areas of the republic of ireland by restriction fragment length polymorphism analysis. Veterinary Record 159: 619-623"
"Cote et al.  2005","Cote, S. D., Stein, A., Irvine, R. J., Dallas, J. F., Marshall, F., Halvorsen, O., Langvatn, R., Albon, S, D. (2005) Resistance to abomasal nematodes and individual geneticvariability in reindeer. Molecular Ecology 14: 4159-4168."
"Couch et al. 2003","Couch, L., Uni, S., Duszynski, D. W. (2003) EIMERIA SPECIES FROM SEROWS (CAPRICORNIS SPP.) IN JAPAN WITHDESCRIPTIONS OF TWO NEW SPECIES. Journal of Parasitology 89: 580-584."
"Courgnaud et al. 2001","Courgnaud, V., X. Pourrut, F. Bibollet-Ruche, E. Mpoudi-Ngole, A. Bourgeois, E. Delaporte, and M. Peeters. 2001. Characterization of a novel simian immunodeficiency virus from guereza colobus monkeys (Colobus guereza) in Cameroon: A new lineage in the nonhuman primate lentivirus family. Journal of Virology 75:857-866."
"Courgnaud et al. 2003","Courgnaud, V., P. Formenty, C. Akoua-Koffi, R. Noe, C. Boesch, E. Delaporte, and M. Peeters. 2003. Partial molecular characterization of two simian immunodeficiency viruses (SIV) from African colobids: SIVwrc from Western red colobus (Piliocolobus badius) and SIVolc from olive colobus (Procolobus verus). Journal of virology 77:744-748."
"Courgnaud et al. 2004","Courgnaud, V., Van Dooren, S., Liegeois, F., Pourrut, X., Abela, B., Loul, S., Mpoudi-Ngole, E., Vandamme, A., Delaporte, E. and Peeters, M. (2004) Simian T-cell leukemia virus (STLV) infection in wild primate populations in Cameroon: evidence for dual STLV type 1 and type 3 infection in agile mangabeys (Cercocebus agilis). Journal of virology, 78, 4700-4709."
"Coursaget et al. 1981","Coursaget, P., B. Levesque, E. Gretillat, M. Eyraud, L. Ferrara, and M. Germain. 1981. Hepatitus A Virus in Primates Outside Captivity. Lancet:929."
"Coursaget et al. 1985","Coursaget, P., J. L. Barres, B. Yvonnet, J. P. Chiron, M. Cornet, L. Ferrara, and M. Eyraud. 1985. Antibodies to Human T-Cell Leukemia-Virus (Htlv-1) in Non-Human Primates from Senegal. Biomedicine and Pharmacotherapy 39:198-199."
"Courtenay et al. 1994","Courtenay, O., D. W. Macdonald, R. Lainson, J. J. Shaw, and C. Dye. 1994. Epidemiology of canine leishmaniasis - a comparative serological study of dogs and foxes in Amazon Brazil. Parasitology 109:273-279."
"Courtenay et al. 2002","Courtenay, O., R. J. Quinnell, L. M. Garcez and C. Dye. 2002. Low infectiousness of a wildlife host of leishmania infantum: The crab-eating fox is not important for transmission. Parasitology 125: 407-414"
"Courtenay et al. 2006","Courtenay, O., L. A. Reilly, F. P. Sweeney, V. Hibberd, S. Bryan, A. Ul-Hassan, C. Newman, D. W. Macdonald, R. J. Delahay, G. J. Wilson and E. M. H. Wellington. 2006. Is mycobacterium bovis in the environment important for the persistence of bovine tuberculosis? Biology Letters 2: 460-462"
"Courtin et al. 2000","Courtin, F., T. E. Carpenter, R. D. Paskin, and B. B. Chomel. 2000. Temporal patterns of domestic and wildlife rabies in central Namibia stock-ranching area, 1986-1996. Preventive Veterinary Medicine 43:13-28."
"Cousins 1972","Cousins, D. 1972. Diseases and injuries in wild and captive gorillas, Gorilla gorilla.  International Zoo Yearbook 12:211-218."
"Cousins et al. 1993","Cousins, D. V., S. N. Williams, R. Reuter, D. Forshaw, B. Chadwick, D. Coughran, P. Collins et al. 1993. Tuberculosis in wild seals and characterization of the seal bacillus. Australian Veterinary Journal 70:92-97."
"Couvillion et al 1986","Couvillion, C. E., V. F. Nettles, et al. (1986). ""Elaeophorosis in White-Tailed Deer: Pathology of the Natural Disease and Its Relation to Oral Food Impactions."" Journal of Wildlife Diseases 22(2): 214-223."
"Cox et al. 1999","Cox, R., P. D. Stewart, and D. W. Macdonald. 1999. The ectoparasites of the European badger, Meles meles, and the behavior of the host-specific flea, Paraceras melis. Journal of Insect Behavior 12:245-265."
"Craig 1993","Craig, T. M. (1993) Longistrongylus curvispiculum (Nematoda: Trichostrongyloidea) in free-ranging exotic antelope in Texas.  Journal of Wildlife Diseases, 29: 516-517."
"Crawshaw et al. 2008","Crawshaw, T. R., I. B. Griffiths and R. S. Clifton-Hadley. 2008. Comparison of a standard and a detailed postmortem protocol for detecting mycobacterium bovis in badgers. Veterinary Record 163: 473-477"
"Creel et al. 1995","Creel, S., N. M. Creel, J. A. Matovela, M. M. A. Mtambo, E. K. Batamuzi, and J. E. Cooper. 1995. Effects of anthrax on endangered African wild dogs (Lycaon pictus). Journal of Zoology 236:199-209."
"Creel et al. 1997","Creel, S., N. M. Creel, L. Munson, D. Sanderlin, and M. J. G. Appel. 1997. Serosurvey for selected viral diseases and demography of African wild dogs in Tanzania. Journal of Wildlife Diseases 33:823-832."
"Criado-Fornelio et al. 2000","Criado-Fornelio, A., L. Gutierrez-Garcia, F. Rodriguez-Caabeiro, E. Reus-Garcia, M. A. Roldan-Soriano, and M. A. Diaz-Sanchez. 2000. A parasitological survey of wild red foxes (Vulpes vulpes) from the province of Guadalajara, Spain. Veterinary Parasitology 92:245-251."
"Criado-Fornelio et al. 2009","Criado-Fornelio, A., A. Buling, N. Casado, C. Gimenez, J. Ruas, L. Wendt, N. da Rosa-Farias, M. Pinheiro, C. Rey-Valeiron and J. C. Barba-Carretero. 2009. Molecular characterization of arthropod-borne hematozoans in wild mammals from brazil, venezuela and spain. Acta Parasitologica 54: 187-193"
"Criffield et al. 2009","Criffield, M. A., M. V. Reichard, E. C. Hellgren, D. M. Leslie and K. Freel. 2009. Parasites of swift foxes (vulpes velox) in the oklahoma panhandle. Southwestern Naturalist 54: 492-498"
"Crist et al 1999","Crist, S. C., Stewart R L, Jr., et al. (1999). ""Surveillance for Toxoplasma gondii in the white-tailed deer (Odocoileus virginianus) in Ohio."" Ohio Journal of Science 99(3): 34-37."
"Cronje et al 2002","Cronje, H. P., Reilley, B. K. and I. D. Macfadyen (2002) Natural mortality among four common ungulate species on Letaba Ranch, Limpopo Province, South Africa. Koedoe, 45: 79-86."
"Crooks et al. 2001","Crooks, K. R., C. A. Scott, and D. H. Van Vuren. 2001. Exotic disease and an insular endemic carnivore, the island fox. Biological Conservation 98:55-60."
"Crooks et al. 2004","Crooks, K. R., D. K. Garcelon, C. A. Scott, J. E. Depue, J. T. Wilcox, R. B. Kimsey and D. H. Van Vuren. 2004. Ectoparasites of a threatened insular endemic mammalian carnivore: The island spotted skunk. American Midland Naturalist 151: 35-41"
"Crosbie et al 1997","Crosbie, P. R., Goff, W. L., Stiller, D., Jessup, D. A. and W. M. Boyce (1997) The distribution of Dermacentor hunteri and Anaplasma sp in desert bighorn sheep (Ovis canadensis). Journal of Parasitology, 83: 31-37."
"Cross et al 1983","Cross, J. H., M. Y. K. Hsu, and C. K. Hung. 1983. Studies on Trypanosomes in the Taiwan Monkey. Southeast Asian J. Trop. Med. Pub. Hlth. 14:536- 542."
"Crum et al. 1978","CRUM, J. M., NETTLES, V. F., and DAVIDSON, W. R. (1978). STUDIES ON ENDOPARASITES OF THE BLACK BEAR (Ursus americanus) IN THE SOUTHEASTERN UNITED STATES 1. Journal of Wildlife Diseases, 14(2), 178-186."
"Cuba-Cuba and Marsden 1993","Cubacuba, C. A., and P. D. Marsden. 1993. Marmosets in New-World Leishmaniasis Research. Medicina-Buenos Aires 53:419-423."
"Cummings et al. 2000","Cummings, C. A., A. A. Kocan, R. W. Barker, and J. P. Dubey. 2000. Muscular sarcocystosis in coyotes from Oklahoma. Journal of Wildlife Diseases 36:761-763."
"Cunningham et al. 2001","Cunningham, M. W., L. A. Phillips, and C. Welbourn. 2001. Trombiculiasis in the Florida black bear. Journal of Wildlife Diseases 37:634-639."
"Cunningham et al. 2008","Cunningham, M. W., M. A. Brown, D. B. Shindle, S. P. Terrell, K. A. Hayes, B. C. Ferree, R. T. McBride, E. L. Blankenship, D. Jansen, S. B. Citino, M. E. Roelke, R. A. Kiltie, J. L. Troyer and S. J. O'Brien. 2008. Epizootiology and management of feline leukemia virus in the florida puma. Journal of Wildlife Diseases 44: 537-552"
"Cunningham et al. 2009","Cunningham, M. W., D. B. Shindle, A. B. Allison, S. P. Terrell, D. G. Mead and M. Owen. 2009. Canine distemper epizootic in everglades mink. Journal of Wildlife Diseases 45: 1150-1157"
"Curi et al. 2006","Curi, N. H. D., I. Miranda and S. A. Talamoni. 2006. Serologic evidence of leishmania infection in free-ranging wild and domestic canids around a brazilian national park. Memorias Do Instituto Oswaldo Cruz 101: 99-101"
"Cypher et al. 1998","Cypher, B. L., J. H. Scrivner, K. L. Hammer, and T. P. O'Farrell. 1998. Viral antibodies in coyotes from California. Journal of Wildlife Diseases 34:259-264."
"Dagleish et al. 2007","Dagleish, M. P., Ali, Q., Powell, R. K., Butz, D., Woodford, M. H. (2007) Fatal Sarcoptes scabiei Infection of Blue Sheep (Pseudois nayaur)in Pakistan. Journal of Wildlife diseases 43: 512-517."
"Dahlgen et al. 2007","Dahlgren, S. S., Gjerde, B., Skirnisson, K., Gudmundsdottir, B. (2007) Morphological and molecular identifiÅcation of three species ofSarcocystis in reindeer (Rangifer tarandus tarandus) in Iceland. Veterinary Parasitology 149: 191-198."
"Dahlgren and Gjerde 2008","Dahlgren, S. S., Gjerde, B. (2008) Sarcocystis in moose (Alces alces): molecular identificationand phylogeny of six Sarcocystis species in moose,and a morphological description of three new species. Parasitol Res 103: 93-110."
"Dailey 2009","Dailey, M. D. 2009. A new species of parafilaroides (nematoda: Filaroididae) in three species of fur seals (carnivora: Otariidae) from the southern hemisphere. Journal of Parasitology 95: 156-159"
"Dailey et al. 2002a","Dailey, M. D., M. Haulena, and J. Lawrence. 2002a. First report of a parasitic copepod (Pennella balaenopterae) infestation in a pinniped. Journal of Zoo and Wildlife Medicine 33:62-65."
"Dailey et al. 2002b","Dailey, M. D., R. S. Demaree, and R. L. Critchfield. 2002b. Galactosomum stelleri sp n. (Trematoda : Heterophyidae) from the Northern Sea-Lion, Eumetopias jubatus (Schreber, 1776) (Carnivora : Otariidae). Comparative Parasitology 69:58-61."
"Dailey et al. 2005","Dailey, M., R. Ellin and A. Paras. 2005. First report of parasites from pinnipeds in the galapagos islands, ecuador, with a description of a new species of philophthalmus (digenea : Philophthalmidae). Journal of Parasitology 91: 614-617"
"Dalerum et al. 2005","Dalerum, F., B. Shults and K. Kunkel. 2005. A serologic survey for antibodies to three canine viruses in wolverines (gulo gulo) from the brooks range, alaska. Journal of Wildlife Diseases 41: 792-795"
"Dalimi et al. 2002","Dalimi, A., G. Motamedi, M. Hosseini, B. Mohammadian, H. Malaki, Z. Ghamari and F. G. Far. 2002. Echinococcosis/hydatidosis in western iran. Veterinary Parasitology 105: 161-171"
"Dalley et al. 2008","Dalley, D., D. Dave, S. Lesellier, S. Palmer, T. Crawshaw, R. G. Hewinson and M. Chambers. 2008. Development and evaluation of a gamma-interferon assay for tuberculosis in badgers (meles meles). Tuberculosis 88: 235-243"
"Damien et al. 2002","Damien, B. C., B. E. E. Martina, S. Losch, J. Mossong, A. Osterhaus and C. P. Muller. 2002. Prevalence of antibodies against canine distemper virus among red foxes in luxembourg. Journal of Wildlife Diseases 38: 856-859"
"Daniel et al. 1972","Daniel , M. D., L. V. Melendez, R. D. Hunt, and B. F. Trum. 1972. The Herpesvirus Group, Pages 592- 611 in R. Fiennes, and T. C. a. A. (assisted by Orihel, J. C.), eds. Pathology of Simian Primates. Part II. Infectious and Parasitic Diseases. London, S. Karger."
