"X","Type","Phylum","Class","Order","Family","Genus","Species","Human","Zoonotic","Domestic","Wildlife","HostGroup","HostOrder","HostFamily","HostSpecies","HostName","Association","Method","Reference","PMID","Additional","Synonym","Disease","Taylor","Emerging","Emerging.Source","VectorBorne","GramStain","Motility","Spore","Oxygen","Cell","Infection","Abbreviation","Strain","Genome","Gsize","ProteinCount","PercentGC","HostSpeciesPHB","HostSpecies.new","N.genomes","Genome.size","Genome.GC","Genome.genes","Pathogen_Original","Pathogen_Harmonised","YearRef","YearPubMed","Year","YearType","Host_Original","Host_Harmonised","HostSynonyms","HostClass"
5881,"Virus",NA,NA,"Herpesvirales","Herpesviridae","Macavirus","caprine gammaherpesvirus 2","No","No","Yes","No","Ungulates","Artiodactyla","Cervidae","Odocoileus virginianus","White-tailed deer","Pathogenic","PCR","Li et al., 2003",12580295,"","CpHV-2; Caprine herpesvirus 2","","No","No","","No",NA,NA,NA,NA,NA,NA,"CpHV-2","","dsDNA","na","na","na","Odocoileusvirginianus","Odocoileus virginianus",1,0.003623,57.5,2,"caprine gammaherpesvirus 2","caprine herpesvirus 2",2003,2003,2003,"PubMed publication","odocoileus virginianus","odocoileus virginianus","dama virginianus, dama virginiana","Mammalia"
5882,"Virus",NA,NA,"Herpesvirales","Herpesviridae","Macavirus","hippotragine gammaherpesvirus 1","No","No","Yes","No","Ungulates","Artiodactyla","Bovidae","Hippotragus equinus","Roan antelope","Apathogenic","Isolation","Reid and Bridgen, 1991",1897131,"","Roan antelope herpesvirus; Hippotragine herpesvirus 1; Hippotragine herpesvirus-1","","No","No","","No",NA,NA,NA,NA,NA,NA,"HiHV-1","","dsDNA","na","na","na","Hippotragusequinus","Hippotragus equinus",1,0.000174,47.1,NA,"hippotragine gammaherpesvirus 1","hippotragine herpesvirus 1",1991,1991,1991,"PubMed publication","hippotragus equinus","hippotragus equinus","na","Mammalia"
5883,"Virus",NA,NA,"Herpesvirales","Herpesviridae","Macavirus","ovine gammaherpesvirus 2","No","No","Captive","No","Ungulates","Artiodactyla","Bovidae","Bos frontalis","Gaur","Pathogenic","Isolation","",7091816,"http://www.viprbrc.org/brc/viprStrainDetails.spg?ncbiAccession=HM216493&decorator=herpes&context=1463046248770","OvHV-2; Sheep-associated malignant catarrhal fever virus; Ovine herpesvirus 2, etc.","Bovine malignant catarrhal fever; Sheep-associated malignant catarrhal fever","No","Yes","PMID: 24426294","No",NA,NA,NA,NA,NA,NA,"OvHV-2","","dsDNA","0.135135","73","52.9","Bosfrontalis","Bos frontalis",1,0.135135,52.9,73,"ovine gammaherpesvirus 2","ovine herpesvirus 2",NA,1982,1982,"PubMed publication","bos frontalis","bos frontalis","na","Mammalia"
5884,"Virus",NA,NA,"Herpesvirales","Herpesviridae","Macavirus","ovine gammaherpesvirus 2","No","No","na","na","Ungulates","Artiodactyla","Bovidae","Bison bonasus","European bison","na","Isolation","",NA,"http://www.viprbrc.org/brc/viprStrainDetails.spg?ncbiAccession=HM216470&decorator=herpes&context=1463046248770","OvHV-2; Sheep-associated malignant catarrhal fever virus; Ovine herpesvirus 2, etc.","","No","Yes","PMID: 24426294","No",NA,NA,NA,NA,NA,NA,"OvHV-2","","dsDNA","0.135135","73","52.9","Bisonbonasus","Bison bonasus",1,0.135135,52.9,73,"ovine gammaherpesvirus 2","ovine herpesvirus 2",NA,NA,NA,NA,"bison bonasus","bison bonasus","bos bonasus","Mammalia"
5885,"Virus",NA,NA,"Herpesvirales","Herpesviridae","Macavirus","ovine gammaherpesvirus 2","No","No","na","na","Ungulates","Artiodactyla","Cervidae","Cervus nippon","Sika deer","na","Isolation","",NA,"http://www.viprbrc.org/brc/viprStrainDetails.spg?ncbiAccession=HM216448&decorator=herpes&context=1463046248770","OvHV-2; Sheep-associated malignant catarrhal fever virus; Ovine herpesvirus 2, etc.","","No","Yes","PMID: 24426294","No",NA,NA,NA,NA,NA,NA,"OvHV-2","","dsDNA","0.135135","73","52.9","Cervusnippon","Cervus nippon",1,0.135135,52.9,73,"ovine gammaherpesvirus 2","ovine herpesvirus 2",NA,NA,NA,NA,"cervus nippon","cervus nippon","na","Mammalia"
5886,"Virus",NA,NA,"Herpesvirales","Herpesviridae","Macavirus","ovine gammaherpesvirus 2","No","No","na","na","Ungulates","Artiodactyla","Cervidae","Rusa alfredi","Visayan spotted deer","na","Isolation","ViPR",NA,"http://www.viprbrc.org/brc/viprStrainDetails.spg?ncbiAccession=HM216456&decorator=herpes&context=1463046248770","OvHV-2; Sheep-associated malignant catarrhal fever virus; Ovine herpesvirus 2, etc.","","No","Yes","PMID: 24426294","No",NA,NA,NA,NA,NA,NA,"OvHV-2","","dsDNA","0.135135","73","52.9","Rusaalfredi","Rusa alfredi",1,0.135135,52.9,73,"ovine gammaherpesvirus 2","ovine herpesvirus 2",NA,NA,NA,NA,"rusa alfredi","rusa alfredi","cervus alfredi","Mammalia"
5887,"Virus",NA,NA,"Herpesvirales","Herpesviridae","Macavirus","ovine gammaherpesvirus 2","No","No","na","na","Ungulates","Artiodactyla","Cervidae","Rusa unicolor","Sambar","na","Isolation","ViPR",NA,"http://www.viprbrc.org/brc/viprStrainDetails.spg?ncbiAccession=HM216476&decorator=herpes&context=1463046248770","OvHV-2; Sheep-associated malignant catarrhal fever virus; Ovine herpesvirus 2, etc.","","No","Yes","PMID: 24426294","No",NA,NA,NA,NA,NA,NA,"OvHV-2","","dsDNA","0.135135","73","52.9","Rusaunicolor","Rusa unicolor",1,0.135135,52.9,73,"ovine gammaherpesvirus 2","ovine herpesvirus 2",NA,NA,NA,NA,"rusa unicolor","rusa unicolor","cervus unicolor","Mammalia"
5888,"Virus",NA,NA,"Herpesvirales","Herpesviridae","Macavirus","ovine gammaherpesvirus 2","No","No","No","Yes","Ungulates","Artiodactyla","Bovidae","Ovis dalli","Dall's sheep","Apathogenic","Antibodies","Zarnke et al., 2002",12238366,"","OvHV-2; Sheep-associated malignant catarrhal fever virus; Ovine herpesvirus 2, etc.","","No","Yes","PMID: 24426294","No",NA,NA,NA,NA,NA,NA,"OvHV-2","","dsDNA","0.135135","73","52.9","Ovisdalli","Ovis dalli",1,0.135135,52.9,73,"ovine gammaherpesvirus 2","ovine herpesvirus 2",2002,2002,2002,"PubMed publication","ovis dalli","ovis dalli","na","Mammalia"
5889,"Virus",NA,NA,"Herpesvirales","Herpesviridae","Macavirus","ovine gammaherpesvirus 2","No","No","No","Yes","Ungulates","Artiodactyla","Cervidae","Alces alces","Eurasian elk","Pathogenic","PCR","Vik¿ren et al., 2006",17255446,"","OvHV-2; Sheep-associated malignant catarrhal fever virus; Ovine herpesvirus 2, etc.","Malignant catarrhal fever","No","Yes","PMID: 24426294","No",NA,NA,NA,NA,NA,NA,"OvHV-2","","dsDNA","0.135135","73","52.9","Alcesalces","Alces alces",1,0.135135,52.9,73,"ovine gammaherpesvirus 2","ovine herpesvirus 2",2006,2006,2006,"PubMed publication","alces alces","alces alces","cervus alces","Mammalia"
5890,"Virus",NA,NA,"Herpesvirales","Herpesviridae","Macavirus","ovine gammaherpesvirus 2","No","No","No","Yes","Ungulates","Artiodactyla","Cervidae","Capreolus capreolus","Western roe deer","Pathogenic","PCR","Vik¿ren et al., 2006",17255446,"","OvHV-2; Sheep-associated malignant catarrhal fever virus; Ovine herpesvirus 2, etc.","Malignant catarrhal fever","No","Yes","PMID: 24426294","No",NA,NA,NA,NA,NA,NA,"OvHV-2","","dsDNA","0.135135","73","52.9","Capreoluscapreolus","Capreolus capreolus",1,0.135135,52.9,73,"ovine gammaherpesvirus 2","ovine herpesvirus 2",2006,2006,2006,"PubMed publication","capreolus capreolus","capreolus capreolus","na","Mammalia"
5891,"Virus",NA,NA,"Herpesvirales","Herpesviridae","Macavirus","ovine gammaherpesvirus 2","No","No","No","Yes","Ungulates","Artiodactyla","Cervidae","Odocoileus hemionus","Mule deer","Pathogenic","PCR","Schultheiss et al., 2007",17699095,"","OvHV-2; Sheep-associated malignant catarrhal fever virus; Ovine herpesvirus 2, etc.","Malignant catarrhal fever","No","Yes","PMID: 24426294","No",NA,NA,NA,NA,NA,NA,"OvHV-2","","dsDNA","0.135135","73","52.9","Odocoileushemionus","Odocoileus hemionus",1,0.135135,52.9,73,"ovine gammaherpesvirus 2","ovine herpesvirus 2",2007,2007,2007,"PubMed publication","odocoileus hemionus","odocoileus hemionus","na","Mammalia"
5892,"Virus",NA,NA,"Herpesvirales","Herpesviridae","Macavirus","ovine gammaherpesvirus 2","No","No","Yes","No","Ungulates","Artiodactyla","Bovidae","Bison bison","American bison","Pathogenic","PCR","Schultheiss et al., 2000",11108448,"16451115","OvHV-2; Sheep-associated malignant catarrhal fever virus; Ovine herpesvirus 2, etc.","Bovine malignant catarrhal fever; Sheep-associated malignant catarrhal fever","No","Yes","PMID: 24426294","No",NA,NA,NA,NA,NA,NA,"OvHV-2","","dsDNA","0.135135","73","52.9","Bisonbison","Bison bison",1,0.135135,52.9,73,"ovine gammaherpesvirus 2","ovine herpesvirus 2",2000,2000,2000,"PubMed publication","bison bison","bison bison","bison bison bison, bos bison, bison americanus, bison sylvestris, bison americanus pennsylvanicus, bison bison septemtrionalis, bison bison athabasacae, bison bison athabascae","Mammalia"
5893,"Virus",NA,NA,"Herpesvirales","Herpesviridae","Macavirus","ovine gammaherpesvirus 2","No","No","Yes","No","Ungulates","Artiodactyla","Bovidae","Bos grunniens","Yak","Pathogenic","PCR","Flach et al., 2002",12208112,"","OvHV-2; Sheep-associated malignant catarrhal fever virus; Ovine herpesvirus 2, etc.","Bovine malignant catarrhal fever; Sheep-associated malignant catarrhal fever","No","Yes","PMID: 24426294","No",NA,NA,NA,NA,NA,NA,"OvHV-2","","dsDNA","0.135135","73","52.9","Bosgrunniens","Bos grunniens",1,0.135135,52.9,73,"ovine gammaherpesvirus 2","ovine herpesvirus 2",2002,2002,2002,"PubMed publication","bos grunniens","bos grunniens","na","Mammalia"
5894,"Virus",NA,NA,"Herpesvirales","Herpesviridae","Macavirus","ovine gammaherpesvirus 2","No","No","Yes","No","Ungulates","Artiodactyla","Bovidae","Bos taurus","Domestic cattle","Pathogenic","PCR","Collins et al., 2000",11021426,"","OvHV-2; Sheep-associated malignant catarrhal fever virus; Ovine herpesvirus 2, etc.","Bovine malignant catarrhal fever; Sheep-associated malignant catarrhal fever","No","Yes","PMID: 24426294","No",NA,NA,NA,NA,NA,NA,"OvHV-2","","dsDNA","0.135135","73","52.9","Bostaurus","Bos taurus",1,0.135135,52.9,73,"ovine gammaherpesvirus 2","ovine herpesvirus 2",2000,2000,2000,"PubMed publication","bos taurus","bos taurus","na","Mammalia"
5895,"Virus",NA,NA,"Herpesvirales","Herpesviridae","Macavirus","ovine gammaherpesvirus 2","No","No","Yes","No","Ungulates","Artiodactyla","Bovidae","Bubalus bubalis","Water buffalo","Pathogenic","PCR","Wiyono et al., 1994",7839584,"","OvHV-2; Sheep-associated malignant catarrhal fever virus; Ovine herpesvirus 2, etc.","Bovine malignant catarrhal fever; Sheep-associated malignant catarrhal fever","No","Yes","PMID: 24426294","No",NA,NA,NA,NA,NA,NA,"OvHV-2","","dsDNA","0.135135","73","52.9","Bubalusbubalis","Bubalus bubalis",1,0.135135,52.9,73,"ovine gammaherpesvirus 2","ovine herpesvirus 2",1994,1994,1994,"PubMed publication","bubalus bubalis","bubalus bubalis","na","Mammalia"
5896,"Virus",NA,NA,"Herpesvirales","Herpesviridae","Macavirus","ovine gammaherpesvirus 2","No","No","Yes","No","Ungulates","Artiodactyla","Bovidae","Capra hircus","Domestic goat","Pathogenic","PCR","Jacobsen et al., 2007",17543478,"","OvHV-2; Sheep-associated malignant catarrhal fever virus; Ovine herpesvirus 2, etc.","Bovine malignant catarrhal fever; Sheep-associated malignant catarrhal fever","No","Yes","PMID: 24426294","No",NA,NA,NA,NA,NA,NA,"OvHV-2","","dsDNA","0.135135","73","52.9","Caprahircus","Capra hircus",1,0.135135,52.9,73,"ovine gammaherpesvirus 2","ovine herpesvirus 2",2007,2007,2007,"PubMed publication","capra hircus","capra hircus","na","Mammalia"
5897,"Virus",NA,NA,"Herpesvirales","Herpesviridae","Macavirus","ovine gammaherpesvirus 2","No","No","Yes","No","Ungulates","Artiodactyla","Bovidae","Hippotragus equinus","Roan antelope","Apathogenic","PCR","Flach et al., 2002",12208112,"","OvHV-2; Sheep-associated malignant catarrhal fever virus; Ovine herpesvirus 2, etc.","","No","Yes","PMID: 24426294","No",NA,NA,NA,NA,NA,NA,"OvHV-2","","dsDNA","0.135135","73","52.9","Hippotragusequinus","Hippotragus equinus",1,0.135135,52.9,73,"ovine gammaherpesvirus 2","ovine herpesvirus 2",2002,2002,2002,"PubMed publication","hippotragus equinus","hippotragus equinus","na","Mammalia"
5898,"Virus",NA,NA,"Herpesvirales","Herpesviridae","Macavirus","ovine gammaherpesvirus 2","No","No","Yes","No","Ungulates","Artiodactyla","Bovidae","Kobus ellipsiprymnus","Waterbuck","Apathogenic","PCR","Flach et al., 2002",12208112,"","OvHV-2; Sheep-associated malignant catarrhal fever virus; Ovine herpesvirus 2, etc.","","No","Yes","PMID: 24426294","No",NA,NA,NA,NA,NA,NA,"OvHV-2","","dsDNA","0.135135","73","52.9","Kobusellipsiprymnus","Kobus ellipsiprymnus",1,0.135135,52.9,73,"ovine gammaherpesvirus 2","ovine herpesvirus 2",2002,2002,2002,"PubMed publication","kobus ellipsiprymnus","kobus ellipsiprymnus","na","Mammalia"
5899,"Virus",NA,NA,"Herpesvirales","Herpesviridae","Macavirus","ovine gammaherpesvirus 2","No","No","Yes","No","Ungulates","Artiodactyla","Bovidae","Oryx dammah","Scimitar-horned oryx","Apathogenic","Isolation","Flach et al., 2002",12208112,"","OvHV-2; Sheep-associated malignant catarrhal fever virus; Ovine herpesvirus 2, etc.","","No","Yes","PMID: 24426294","No",NA,NA,NA,NA,NA,NA,"OvHV-2","","dsDNA","0.135135","73","52.9","Oryxdammah","Oryx dammah",1,0.135135,52.9,73,"ovine gammaherpesvirus 2","ovine herpesvirus 2",2002,2002,2002,"PubMed publication","oryx dammah","oryx dammah","na","Mammalia"
5900,"Virus",NA,NA,"Herpesvirales","Herpesviridae","Macavirus","ovine gammaherpesvirus 2","No","No","Yes","No","Ungulates","Artiodactyla","Bovidae","Oryx gazella","Gemsbok","Apathogenic","PCR","Flach et al., 2002",12208112,"","OvHV-2; Sheep-associated malignant catarrhal fever virus; Ovine herpesvirus 2, etc.","","No","Yes","PMID: 24426294","No",NA,NA,NA,NA,NA,NA,"OvHV-2","","dsDNA","0.135135","73","52.9","Oryxgazella","Oryx gazella",1,0.135135,52.9,73,"ovine gammaherpesvirus 2","ovine herpesvirus 2",2002,2002,2002,"PubMed publication","oryx gazella","oryx gazella","na","Mammalia"
5901,"Virus",NA,NA,"Herpesvirales","Herpesviridae","Macavirus","ovine gammaherpesvirus 2","No","No","Yes","No","Ungulates","Artiodactyla","Bovidae","Ovibos moschatus","Muskox","Apathogenic","PCR","Flach et al., 2002",12208112,"","OvHV-2; Sheep-associated malignant catarrhal fever virus; Ovine herpesvirus 2, etc.","","No","Yes","PMID: 24426294","No",NA,NA,NA,NA,NA,NA,"OvHV-2","","dsDNA","0.135135","73","52.9","Ovibosmoschatus","Ovibos moschatus",1,0.135135,52.9,73,"ovine gammaherpesvirus 2","ovine herpesvirus 2",2002,2002,2002,"PubMed publication","ovibos moschatus","ovibos moschatus","na","Mammalia"
5902,"Virus",NA,NA,"Herpesvirales","Herpesviridae","Macavirus","ovine gammaherpesvirus 2","No","No","Yes","No","Ungulates","Artiodactyla","Bovidae","Ovis aries","Domestic sheep","Apathogenic","PCR","Li et al., 2004",15583281,"","OvHV-2; Sheep-associated malignant catarrhal fever virus; Ovine herpesvirus 2, etc.","","No","Yes","PMID: 24426294","No",NA,NA,NA,NA,NA,NA,"OvHV-2","","dsDNA","0.135135","73","52.9","Ovisaries","Ovis aries",1,0.135135,52.9,73,"ovine gammaherpesvirus 2","ovine herpesvirus 2",2004,2004,2004,"PubMed publication","ovis aries","ovis aries","na","Mammalia"
5903,"Virus",NA,NA,"Herpesvirales","Herpesviridae","Macavirus","ovine gammaherpesvirus 2","No","No","Yes","No","Ungulates","Artiodactyla","Bovidae","Tragelaphus spekii","Sitatunga","Apathogenic","PCR","Flach et al., 2002",12208112,"","OvHV-2; Sheep-associated malignant catarrhal fever virus; Ovine herpesvirus 2, etc.","","No","Yes","PMID: 24426294","No",NA,NA,NA,NA,NA,NA,"OvHV-2","","dsDNA","0.135135","73","52.9","Tragelaphusspekii","Tragelaphus spekii",1,0.135135,52.9,73,"ovine gammaherpesvirus 2","ovine herpesvirus 2",2002,2002,2002,"PubMed publication","tragelaphus spekii","tragelaphus spekii","na","Mammalia"
5904,"Virus",NA,NA,"Herpesvirales","Herpesviridae","Macavirus","ovine gammaherpesvirus 2","No","No","Yes","No","Ungulates","Artiodactyla","Bovidae","Tragelaphus strepsiceros","Greater kudu","Pathogenic","Isolation","",7091816,"7091816","OvHV-2; Sheep-associated malignant catarrhal fever virus; Ovine herpesvirus 2, etc.","Bovine malignant catarrhal fever; Sheep-associated malignant catarrhal fever","No","Yes","PMID: 24426294","No",NA,NA,NA,NA,NA,NA,"OvHV-2","","dsDNA","0.135135","73","52.9","Tragelaphusstrepsiceros","Tragelaphus strepsiceros",1,0.135135,52.9,73,"ovine gammaherpesvirus 2","ovine herpesvirus 2",NA,1982,1982,"PubMed publication","tragelaphus strepsiceros","tragelaphus strepsiceros","na","Mammalia"
5905,"Virus",NA,NA,"Herpesvirales","Herpesviridae","Macavirus","ovine gammaherpesvirus 2","No","No","Yes","No","Ungulates","Artiodactyla","Bovidae","Bos javanicus","Banteng","Pathogenic","PCR","Wiyono et al., 1994",7839584,"","OvHV-2; Sheep-associated malignant catarrhal fever virus; Ovine herpesvirus 2, etc.","Bovine malignant catarrhal fever; Sheep-associated malignant catarrhal fever","No","Yes","PMID: 24426294","No",NA,NA,NA,NA,NA,NA,"OvHV-2","","dsDNA","0.135135","73","52.9","Bosjavanicus","Bos javanicus",1,0.135135,52.9,73,"ovine gammaherpesvirus 2","ovine herpesvirus 2",1994,1994,1994,"PubMed publication","bos javanicus","bos javanicus","bos banteng","Mammalia"
5906,"Virus",NA,NA,"Herpesvirales","Herpesviridae","Macavirus","ovine gammaherpesvirus 2","No","No","Yes","No","Ungulates","Artiodactyla","Bovidae","Kobus megaceros","Nile lechwe","Apathogenic","PCR","Flach et al., 2002",12208112,"","OvHV-2; Sheep-associated malignant catarrhal fever virus; Ovine herpesvirus 2, etc.","","No","Yes","PMID: 24426294","No",NA,NA,NA,NA,NA,NA,"OvHV-2","","dsDNA","0.135135","73","52.9","Kobusmegaceros","Kobus megaceros",1,0.135135,52.9,73,"ovine gammaherpesvirus 2","ovine herpesvirus 2",2002,2002,2002,"PubMed publication","kobus megaceros","kobus megaceros","na","Mammalia"
5907,"Virus",NA,NA,"Herpesvirales","Herpesviridae","Macavirus","ovine gammaherpesvirus 2","No","No","Yes","No","Ungulates","Artiodactyla","Cervidae","Axis axis","Chital","Pathogenic","Histopathology","Clark et al., 1970",16512141,"","OvHV-2; Sheep-associated malignant catarrhal fever virus; Ovine herpesvirus 2, etc.","Malignant catarrhal fever","No","Yes","PMID: 24426294","No",NA,NA,NA,NA,NA,NA,"OvHV-2","","dsDNA","0.135135","73","52.9","Axisaxis","Axis axis",1,0.135135,52.9,73,"ovine gammaherpesvirus 2","ovine herpesvirus 2",1970,1970,1970,"PubMed publication","axis axis","axis axis","na","Mammalia"
5908,"Virus",NA,NA,"Herpesvirales","Herpesviridae","Macavirus","ovine gammaherpesvirus 2","No","No","Yes","No","Ungulates","Artiodactyla","Cervidae","Muntiacus reevesi","Reeves's muntjac","Pathogenic","PCR","Li et al., 1999",10572865,"","OvHV-2; Sheep-associated malignant catarrhal fever virus; Ovine herpesvirus 2, etc.","Malignant catarrhal fever","No","Yes","PMID: 24426294","No",NA,NA,NA,NA,NA,NA,"OvHV-2","","dsDNA","0.135135","73","52.9","Muntiacusreevesi","Muntiacus reevesi",1,0.135135,52.9,73,"ovine gammaherpesvirus 2","ovine herpesvirus 2",1999,1999,1999,"PubMed publication","muntiacus reevesi","muntiacus reevesi","na","Mammalia"
5909,"Virus",NA,NA,"Herpesvirales","Herpesviridae","Macavirus","ovine gammaherpesvirus 2","No","No","Yes","No","Ungulates","Artiodactyla","Cervidae","Odocoileus virginianus","White-tailed deer","Pathogenic","PCR","Li et al., 1999",10572865,"","OvHV-2; Sheep-associated malignant catarrhal fever virus; Ovine herpesvirus 2, etc.","Malignant catarrhal fever","No","Yes","PMID: 24426294","No",NA,NA,NA,NA,NA,NA,"OvHV-2","","dsDNA","0.135135","73","52.9","Odocoileusvirginianus","Odocoileus virginianus",1,0.135135,52.9,73,"ovine gammaherpesvirus 2","ovine herpesvirus 2",1999,1999,1999,"PubMed publication","odocoileus virginianus","odocoileus virginianus","dama virginianus, dama virginiana","Mammalia"
5910,"Virus",NA,NA,"Herpesvirales","Herpesviridae","Macavirus","ovine gammaherpesvirus 2","No","No","Yes","No","Ungulates","Artiodactyla","Cervidae","Rusa timorensis","Timor deer","Pathogenic","PCR","Tomkins et al., 1997",9406629,"","OvHV-2; Sheep-associated malignant catarrhal fever virus; Ovine herpesvirus 2, etc.","Malignant catarrhal fever","No","Yes","PMID: 24426294","No",NA,NA,NA,NA,NA,NA,"OvHV-2","","dsDNA","0.135135","73","52.9","Rusatimorensis","Rusa timorensis",1,0.135135,52.9,73,"ovine gammaherpesvirus 2","ovine herpesvirus 2",1997,1997,1997,"PubMed publication","rusa timorensis","rusa timorensis","cervus timorensis","Mammalia"
5911,"Virus",NA,NA,"Herpesvirales","Herpesviridae","Macavirus","ovine gammaherpesvirus 2","No","No","Yes","No","Ungulates","Artiodactyla","Cervidae","Axis porcinus","Hog deer","Pathogenic?","PCR","Flach et al., 2002",12208112,"","OvHV-2; Sheep-associated malignant catarrhal fever virus; Ovine herpesvirus 2, etc.","","No","Yes","PMID: 24426294","No",NA,NA,NA,NA,NA,NA,"OvHV-2","","dsDNA","0.135135","73","52.9","Axisporcinus","Axis porcinus",1,0.135135,52.9,73,"ovine gammaherpesvirus 2","ovine herpesvirus 2",2002,2002,2002,"PubMed publication","axis porcinus","axis porcinus","na","Mammalia"
5912,"Virus",NA,NA,"Herpesvirales","Herpesviridae","Macavirus","ovine gammaherpesvirus 2","No","No","Yes","No","Ungulates","Artiodactyla","Cervidae","Elaphurus davidianus","Pere David's deer","Pathogenic","PCR","Flach et al., 2002",12208112,"","OvHV-2; Sheep-associated malignant catarrhal fever virus; Ovine herpesvirus 2, etc.","Malignant catarrhal fever","No","Yes","PMID: 24426294","No",NA,NA,NA,NA,NA,NA,"OvHV-2","","dsDNA","0.135135","73","52.9","Elaphurusdavidianus","Elaphurus davidianus",1,0.135135,52.9,73,"ovine gammaherpesvirus 2","ovine herpesvirus 2",2002,2002,2002,"PubMed publication","elaphurus davidianus","elaphurus davidianus","na","Mammalia"
5913,"Virus",NA,NA,"Herpesvirales","Herpesviridae","Macavirus","ovine gammaherpesvirus 2","No","No","Yes","No","Ungulates","Artiodactyla","Cervidae","Mazama gouazoubira","Gray brocket","Pathogenic","PCR","Driemeier et al., 2002",12233830,"","OvHV-2; Sheep-associated malignant catarrhal fever virus; Ovine herpesvirus 2, etc.","Malignant catarrhal fever","No","Yes","PMID: 24426294","No",NA,NA,NA,NA,NA,NA,"OvHV-2","","dsDNA","0.135135","73","52.9","Mazamagouazoupira","Mazama gouazoupira",1,0.135135,52.9,73,"ovine gammaherpesvirus 2","ovine herpesvirus 2",2002,2002,2002,"PubMed publication","mazama gouazoupira","mazama gouazoubira","mazama gouazoupira","Mammalia"
5914,"Virus",NA,NA,"Herpesvirales","Herpesviridae","Macavirus","ovine gammaherpesvirus 2","No","No","Yes","No","Ungulates","Artiodactyla","Cervidae","Rucervus duvaucelii","Barasingha","Pathogenic","PCR","Flach et al., 2002",12208112,"","OvHV-2; Sheep-associated malignant catarrhal fever virus; Ovine herpesvirus 2, etc.","Malignant catarrhal fever","No","Yes","PMID: 24426294","No",NA,NA,NA,NA,NA,NA,"OvHV-2","","dsDNA","0.135135","73","52.9","Rucervusduvaucelii","Rucervus duvaucelii",1,0.135135,52.9,73,"ovine gammaherpesvirus 2","ovine herpesvirus 2",2002,2002,2002,"PubMed publication","rucervus duvaucelii","rucervus duvaucelii","cervus duvaucelii, cervus eldi","Mammalia"
5915,"Virus",NA,NA,"Herpesvirales","Herpesviridae","Macavirus","ovine gammaherpesvirus 2","No","No","Yes","No","Ungulates","Artiodactyla","Suidae","Sus scrofa domesticus","Domestic pig","Pathogenic","PCR","Loken et al., 1998",9829302,"","OvHV-2; Sheep-associated malignant catarrhal fever virus; Ovine herpesvirus 2, etc.","Malignant catarrhal fever","No","Yes","PMID: 24426294","No",NA,NA,NA,NA,NA,NA,"OvHV-2","","dsDNA","0.135135","73","52.9","Susscrofadomesticus","Sus scrofa domesticus",1,0.135135,52.9,73,"ovine gammaherpesvirus 2","ovine herpesvirus 2",1998,1998,1998,"PubMed publication","sus scrofa domesticus","sus scrofa","sus domesticus","Mammalia"
5916,"Virus",NA,NA,"Herpesvirales","Herpesviridae","Macavirus","ovine gammaherpesvirus 2","No","No","Yes","No","Ungulates","Perissodactyla","Equidae","Equus caballus","Horse","Pathogenic","PCR","Costa et al, 2009",19402994,"","OvHV-2; Sheep-associated malignant catarrhal fever virus; Ovine herpesvirus 2, etc.","Malignant catarrhal fever","No","Yes","PMID: 24426294","No",NA,NA,NA,NA,NA,NA,"OvHV-2","","dsDNA","0.135135","73","52.9","Equuscaballus","Equus caballus",1,0.135135,52.9,73,"ovine gammaherpesvirus 2","ovine herpesvirus 2",2009,2009,2009,"PubMed publication","equus caballus","equus caballus","equus caballus caballus, equus ferus caballus","Mammalia"
5917,"Virus",NA,NA,"Herpesvirales","Herpesviridae","Macavirus","ovine gammaherpesvirus 2","No","No","Yes","Yes","Ungulates","Artiodactyla","Bovidae","Syncerus caffer","African buffalo","Pathogenic","PCR","Pfitzer et al., 2015",23957274,"","OvHV-2; Sheep-associated malignant catarrhal fever virus; Ovine herpesvirus 2, etc.","Bovine malignant catarrhal fever; Sheep-associated malignant catarrhal fever","No","Yes","PMID: 24426294","No",NA,NA,NA,NA,NA,NA,"OvHV-2","","dsDNA","0.135135","73","52.9","Synceruscaffer","Syncerus caffer",1,0.135135,52.9,73,"ovine gammaherpesvirus 2","ovine herpesvirus 2",2015,2015,2015,"PubMed publication","syncerus caffer","syncerus caffer","na","Mammalia"
5918,"Virus",NA,NA,"Herpesvirales","Herpesviridae","Macavirus","ovine gammaherpesvirus 2","No","No","Yes","Yes","Ungulates","Artiodactyla","Cervidae","Cervus elaphus","Red deer","Pathogenic","PCR","Vik¿ren et al., 2006",17255446,"16451115","OvHV-2; Sheep-associated malignant catarrhal fever virus; Ovine herpesvirus 2, etc.","Malignant catarrhal fever","No","Yes","PMID: 24426294","No",NA,NA,NA,NA,NA,NA,"OvHV-2","","dsDNA","0.135135","73","52.9","Cervuselaphus","Cervus elaphus",1,0.135135,52.9,73,"ovine gammaherpesvirus 2","ovine herpesvirus 2",2006,2006,2006,"PubMed publication","cervus elaphus","cervus elaphus","na","Mammalia"
