name,exact,type,order,class,family,genus,species,checked_prev,rg_updated,species_updated,class_updated,order_updated,family_updated,genus_updated,unresolved_notes
west nile,FALSE,viruses,Amarillovirales,Flasuviricetes,Flaviviridae,Flavivirus,West Nile virus,TRUE,,,,,,,
western equine encephalitis,FALSE,viruses,Martellivirales,Alsuviricetes,Togaviridae,Alphavirus,Western equine encephalitis virus,TRUE,,,,,,,
whataroa,FALSE,viruses,Martellivirales,Alsuviricetes,Togaviridae,Alphavirus,Whataroa virus,TRUE,,,,,,,
whitewater arroyo,FALSE,viruses,Bunyavirales,Ellioviricetes,Arenaviridae,Mammarenavirus,Whitewater Arroyo mammarenavirus,TRUE,,,,,,,
witwatersrand,FALSE,viruses,Bunyavirales,Ellioviricetes,Peribunyaviridae,Orthobunyavirus,Witwatersrand orthobunyavirus,TRUE,,,,,,,
wongorr,FALSE,viruses,Reovirales,Resentoviricetes,Reoviridae,Orbivirus,Wongorr virus,TRUE,,,,,,,
woodchuck hepatitis,FALSE,viruses,Blubervirales,Revtraviricetes,Hepadnaviridae,Orthohepadnavirus,Woodchuck hepatitis virus,TRUE,,,,,,,
woolly monkey sarcoma,FALSE,viruses,Ortervirales,Revtraviricetes,Retroviridae,Gammaretrovirus,Woolly monkey sarcoma virus,TRUE,,,,,,,
wyeomyia,FALSE,viruses,Bunyavirales,Ellioviricetes,Peribunyaviridae,Orthobunyavirus,Wyeomyia orthobunyavirus,TRUE,,,,,,,
yaba monkey tumor,FALSE,viruses,Chitovirales,Pokkesviricetes,Poxviridae,Yatapoxvirus,Yaba monkey tumor virus,TRUE,,,,,,,
yaounde,FALSE,viruses,Amarillovirales,Flasuviricetes,Flaviviridae,Flavivirus,Yaounde virus,TRUE,,,,,,,
yellow fever,FALSE,viruses,Amarillovirales,Flasuviricetes,Flaviviridae,Flavivirus,Yellow fever virus,TRUE,,,,,,,
yogue,FALSE,viruses,Bunyavirales,Ellioviricetes,Nairoviridae,Orthonairovirus,Yogue virus,TRUE,,,,,,,
yokose,FALSE,viruses,Amarillovirales,Flasuviricetes,Flaviviridae,Flavivirus,Yokose virus,TRUE,,,,,,,
yunnan,FALSE,viruses,Reovirales,Resentoviricetes,Reoviridae,Orbivirus,Yunnan orbivirus,TRUE,,,,,,,
zegla,FALSE,viruses,Bunyavirales,Ellioviricetes,Peribunyaviridae,Orthobunyavirus,Zegla orthobunyavirus,TRUE,,,,,,,
zika,FALSE,viruses,Amarillovirales,Flasuviricetes,Flaviviridae,Flavivirus,Zika virus,TRUE,,,,,,,
african green monkey polyomavirus,TRUE,viruses,Sepolyvirales,Papovaviricetes,Polyomaviridae,,African green monkey polyomavirus,,,,,,,,
alcelaphine herpesvirus 1,TRUE,viruses,Herpesvirales,Herviviricetes,Herpesviridae,Macavirus,Alcelaphine gammaherpesvirus 1,,,,,,,,
alcelaphine herpesvirus 2,TRUE,viruses,Herpesvirales,Herviviricetes,Herpesviridae,Macavirus,Alcelaphine gammaherpesvirus 2,,,,,,,,
alphacoronavirus 1,TRUE,viruses,Nidovirales,Pisoniviricetes,Coronaviridae,Alphacoronavirus,Alphacoronavirus 1,,,,,,,,
alphapapillomavirus 13,TRUE,viruses,Zurhausenvirales,Papovaviricetes,Papillomaviridae,Alphapapillomavirus,Alphapapillomavirus 13,,,,,,,,
aotine herpesvirus 1,TRUE,viruses,Herpesvirales,Herviviricetes,Herpesviridae,Cytomegalovirus,Aotine betaherpesvirus 1,,,,,,,,
ateline herpesvirus 1,TRUE,viruses,Herpesvirales,Herviviricetes,Herpesviridae,Simplexvirus,Ateline alphaherpesvirus 1,,,,,,,,
ateline herpesvirus 2,TRUE,viruses,Herpesvirales,Herviviricetes,Herpesviridae,Rhadinovirus,Ateline gammaherpesvirus 2,,,,,,,,
ateline herpesvirus 3,TRUE,viruses,Herpesvirales,Herviviricetes,Herpesviridae,Rhadinovirus,Ateline gammaherpesvirus 3,,,,,,,,
australian bat lyssavirus,TRUE,viruses,Mononegavirales,Monjiviricetes,Rhabdoviridae,Lyssavirus,Australian bat lyssavirus,,,,,,,,
avastrovirus 2,TRUE,viruses,Stellavirales,Stelpaviricetes,Astroviridae,Avastrovirus,Avastrovirus 2,,,,,,,,
avastrovirus 3,TRUE,viruses,Stellavirales,Stelpaviricetes,Astroviridae,Avastrovirus,Avastrovirus 3,,,,,,,,
avian coronavirus,TRUE,viruses,Nidovirales,Pisoniviricetes,Coronaviridae,Gammacoronavirus,Avian coronavirus,,,,,,,,
avian dependoparvovirus 1,TRUE,viruses,Piccovirales,Quintoviricetes,Parvoviridae,Dependoparvovirus,Avian dependoparvovirus 1,,,,,,,,
avian orthoreovirus,TRUE,viruses,Reovirales,Resentoviricetes,Reoviridae,Orthoreovirus,Avian orthoreovirus,,,,,,,,
baboon orthoreovirus,TRUE,viruses,Reovirales,Resentoviricetes,Reoviridae,Orthoreovirus,Baboon orthoreovirus,,,,,,,,
betacoronavirus 1,TRUE,viruses,Nidovirales,Pisoniviricetes,Coronaviridae,Betacoronavirus,Betacoronavirus 1,,,,,,,,
betapapillomavirus 6,TRUE,viruses,Zurhausenvirales,Papovaviricetes,Papillomaviridae,Betapapillomavirus,Betapapillomavirus 6,,,,,,,,
bokeloh bat lyssavirus,TRUE,viruses,Mononegavirales,Monjiviricetes,Rhabdoviridae,Lyssavirus,Bokeloh bat lyssavirus,,,,,,,,
bovine alphaherpesvirus 1,TRUE,viruses,Herpesvirales,Herviviricetes,Herpesviridae,Varicellovirus,Bovine alphaherpesvirus 1,,,,,,,,
bovine alphaherpesvirus 2,TRUE,viruses,Herpesvirales,Herviviricetes,Herpesviridae,Simplexvirus,Bovine alphaherpesvirus 2,,,,,,,,
bovine astrovirus,TRUE,viruses,Stellavirales,Stelpaviricetes,Astroviridae,Mamastrovirus,Bovine astrovirus,,,,,,,,
bovine coronavirus,TRUE,viruses,Nidovirales,Pisoniviricetes,Coronaviridae,Betacoronavirus,Betacoronavirus 1,,,,,,,,
bovine enterovirus,TRUE,viruses,Picornavirales,Pisoniviricetes,Picornaviridae,Enterovirus,Enterovirus E,,,,,,,,
bovine herpesvirus 1,TRUE,viruses,Herpesvirales,Herviviricetes,Herpesviridae,Varicellovirus,Bovine alphaherpesvirus 1,,,,,,,,
bovine herpesvirus 2,TRUE,viruses,Herpesvirales,Herviviricetes,Herpesviridae,Simplexvirus,Bovine alphaherpesvirus 2,,,,,,,,
bovine herpesvirus 3,TRUE,viruses,Herpesvirales,Herviviricetes,Herpesviridae,Macavirus,Alcelaphine gammaherpesvirus 1,,,,,,,,
bovine herpesvirus 4,TRUE,viruses,Herpesvirales,Herviviricetes,Herpesviridae,Rhadinovirus,Bovine gammaherpesvirus 4,,,,,,,,
bovine herpesvirus 5,TRUE,viruses,Herpesvirales,Herviviricetes,Herpesviridae,Varicellovirus,Bovine alphaherpesvirus 5,,,,,,,,
bovine herpesvirus 6,TRUE,viruses,Herpesvirales,Herviviricetes,Herpesviridae,Macavirus,Bovine gammaherpesvirus 6,,,,,,,,
bovine kobuvirus,TRUE,viruses,Picornavirales,Pisoniviricetes,Picornaviridae,Kobuvirus,Aichivirus B,,,,,,,,
bovine papillomavirus 1,TRUE,viruses,Zurhausenvirales,Papovaviricetes,Papillomaviridae,Deltapapillomavirus,Deltapapillomavirus 4,,,,,,,,
bovine papillomavirus 12,TRUE,viruses,Zurhausenvirales,Papovaviricetes,Papillomaviridae,Xipapillomavirus,Xipapillomavirus 2,,,,,,,,
bovine papillomavirus 3,TRUE,viruses,Zurhausenvirales,Papovaviricetes,Papillomaviridae,Xipapillomavirus,Xipapillomavirus 1,,,,,,,,
bovine papillomavirus 5,TRUE,viruses,Zurhausenvirales,Papovaviricetes,Papillomaviridae,Epsilonpapillomavirus,Epsilonpapillomavirus 1,,,,,,,,
bovine parainfluenza virus 3,TRUE,viruses,Mononegavirales,Monjiviricetes,Paramyxoviridae,Respirovirus,Bovine respirovirus 3,,,,,,,,
bovine parvovirus,TRUE,viruses,Piccovirales,Quintoviricetes,Parvoviridae,Bocaparvovirus,Ungulate bocaparvovirus 1,,,,,,,,
bovine polyomavirus,TRUE,viruses,Sepolyvirales,Papovaviricetes,Polyomaviridae,,Bos taurus polyomavirus 1,,,,,,,,
bovine torovirus,TRUE,viruses,Nidovirales,Pisoniviricetes,Tobaniviridae,Torovirus,Bovine torovirus,,,,,,,,
bovine viral diarrhea virus 1,TRUE,viruses,Amarillovirales,Flasuviricetes,Flaviviridae,Pestivirus,Pestivirus A,,,,,,,,
bovine viral diarrhea virus 2,TRUE,viruses,Amarillovirales,Flasuviricetes,Flaviviridae,Pestivirus,Pestivirus B,,,,,,,,
bubaline herpesvirus 1,TRUE,viruses,Herpesvirales,Herviviricetes,Herpesviridae,Varicellovirus,Bubaline alphaherpesvirus 1,,,,,,,,
bundibugyo ebolavirus,TRUE,viruses,Mononegavirales,Monjiviricetes,Filoviridae,Ebolavirus,Bundibugyo ebolavirus,,,,,,,,
callitrichine herpesvirus 1,TRUE,viruses,Herpesvirales,Herviviricetes,Herpesviridae,,Saguinine gammaherpesvirus 1,,,,,,,,
callitrichine herpesvirus 3,TRUE,viruses,Herpesvirales,Herviviricetes,Herpesviridae,Lymphocryptovirus,Callitrichine gammaherpesvirus 3,,,,,,,,
canid herpesvirus 1,TRUE,viruses,Herpesvirales,Herviviricetes,Herpesviridae,Varicellovirus,Canid alphaherpesvirus 1,,,,,,,,
canine adenovirus,TRUE,viruses,Rowavirales,Tectiliviricetes,Adenoviridae,Mastadenovirus,Canine mastadenovirus A,,,,,,,,
canine calicivirus,TRUE,viruses,Picornavirales,Pisoniviricetes,Caliciviridae,Vesivirus,Canine vesivirus,,,,,,,,
canine coronavirus,TRUE,viruses,Nidovirales,Pisoniviricetes,Coronaviridae,Alphacoronavirus,Alphacoronavirus 1,,,,,,,,
canine oral papillomavirus,TRUE,viruses,Zurhausenvirales,Papovaviricetes,Papillomaviridae,Lambdapapillomavirus,Lambdapapillomavirus 2,,,,,,,,
canine parvovirus,TRUE,viruses,Piccovirales,Quintoviricetes,Parvoviridae,Protoparvovirus,Carnivore protoparvovirus 1,,,,,,,,
caprine herpesvirus 1,TRUE,viruses,Herpesvirales,Herviviricetes,Herpesviridae,Varicellovirus,Caprine alphaherpesvirus 1,,,,,,,,
caprine herpesvirus 2,TRUE,viruses,Herpesvirales,Herviviricetes,Herpesviridae,Macavirus,Caprine gammaherpesvirus 2,,,,,,,,
carnivore amdoparvovirus 1,TRUE,viruses,Piccovirales,Quintoviricetes,Parvoviridae,Amdoparvovirus,Carnivore amdoparvovirus 1,,,,,,,,
carnivore amdoparvovirus 2,TRUE,viruses,Piccovirales,Quintoviricetes,Parvoviridae,Amdoparvovirus,Carnivore amdoparvovirus 2,,,,,,,,
carnivore bocaparvovirus 3,TRUE,viruses,Piccovirales,Quintoviricetes,Parvoviridae,Bocaparvovirus,Carnivore bocaparvovirus 3,,,,,,,,
carnivore protoparvovirus 1,TRUE,viruses,Piccovirales,Quintoviricetes,Parvoviridae,Protoparvovirus,Carnivore protoparvovirus 1,,,,,,,,
caviid herpesvirus 2,TRUE,viruses,Herpesvirales,Herviviricetes,Herpesviridae,,Caviid betaherpesvirus 2,,,,,,,,
cercopithecine herpesvirus 1,TRUE,viruses,Herpesvirales,Herviviricetes,Herpesviridae,Simplexvirus,Macacine alphaherpesvirus 1,,,,,,,,
cercopithecine herpesvirus 12,TRUE,viruses,Herpesvirales,Herviviricetes,Herpesviridae,Lymphocryptovirus,Papiine gammaherpesvirus 1,,,,,,,,
cercopithecine herpesvirus 15,TRUE,viruses,Herpesvirales,Herviviricetes,Herpesviridae,Lymphocryptovirus,Macacine gammaherpesvirus 4,,,,,,,,
cercopithecine herpesvirus 16,TRUE,viruses,Herpesvirales,Herviviricetes,Herpesviridae,Simplexvirus,Papiine alphaherpesvirus 2,,,,,,,,
cercopithecine herpesvirus 17,TRUE,viruses,Herpesvirales,Herviviricetes,Herpesviridae,Rhadinovirus,Macacine gammaherpesvirus 5,,,,,,,,
cercopithecine herpesvirus 2,TRUE,viruses,Herpesvirales,Herviviricetes,Herpesviridae,Simplexvirus,Cercopithecine alphaherpesvirus 2,,,,,,,,
cercopithecine herpesvirus 5,TRUE,viruses,Herpesvirales,Herviviricetes,Herpesviridae,Cytomegalovirus,Cercopithecine betaherpesvirus 5,,,,,,,,
cercopithecine herpesvirus 8,TRUE,viruses,Herpesvirales,Herviviricetes,Herpesviridae,Cytomegalovirus,Macacine betaherpesvirus 3,,,,,,,,
cercopithecine herpesvirus 9,TRUE,viruses,Herpesvirales,Herviviricetes,Herpesviridae,Varicellovirus,Cercopithecine alphaherpesvirus 9,,,,,,,,
cervid herpesvirus 1,TRUE,viruses,Herpesvirales,Herviviricetes,Herpesviridae,Varicellovirus,Cervid alphaherpesvirus 1,,,,,,,,
cervid herpesvirus 2,TRUE,viruses,Herpesvirales,Herviviricetes,Herpesviridae,Varicellovirus,Cervid alphaherpesvirus 2,,,,,,,,
cetacean morbillivirus,TRUE,viruses,Mononegavirales,Monjiviricetes,Paramyxoviridae,Morbillivirus,Cetacean morbillivirus,,,,,,,,
chipmunk parvovirus,TRUE,viruses,Piccovirales,Quintoviricetes,Parvoviridae,Erythroparvovirus,Rodent erythroparvovirus 1,,,,,,,,
chiropteran dependoparvovirus 1,TRUE,viruses,Piccovirales,Quintoviricetes,Parvoviridae,Dependoparvovirus,Chiropteran dependoparvovirus 1,,,,,,,,
chiropteran tetraparvovirus 1,TRUE,viruses,Piccovirales,Quintoviricetes,Parvoviridae,Tetraparvovirus,Chiropteran tetraparvovirus 1,,,,,,,,
cottontail rabbit papillomavirus,TRUE,viruses,Zurhausenvirales,Papovaviricetes,Papillomaviridae,Kappapapillomavirus,Kappapapillomavirus 2,,,,,,,,
deer papillomavirus,TRUE,viruses,Zurhausenvirales,Papovaviricetes,Papillomaviridae,Deltapapillomavirus,Deltapapillomavirus 2,,,,,,,,
deltapapillomavirus 5,TRUE,viruses,Zurhausenvirales,Papovaviricetes,Papillomaviridae,Deltapapillomavirus,Deltapapillomavirus 5,,,,,,,,
deltapapillomavirus 6,TRUE,viruses,Zurhausenvirales,Papovaviricetes,Papillomaviridae,Deltapapillomavirus,Deltapapillomavirus 6,,,,,,,,
dolphin rhabdovirus,TRUE,viruses,Mononegavirales,Monjiviricetes,Rhabdoviridae,,Dolphin rhabdovirus,,,,,,,,
dyodeltapapillomavirus 1,TRUE,viruses,Zurhausenvirales,Papovaviricetes,Papillomaviridae,Dyodeltapapillomavirus,Dyodeltapapillomavirus 1,,,,,,,,
dyoetapapillomavirus 1,TRUE,viruses,Zurhausenvirales,Papovaviricetes,Papillomaviridae,Dyoetapapillomavirus,Dyoetapapillomavirus 1,,,,,,,,
dyoiotapapillomavirus 1,TRUE,viruses,Zurhausenvirales,Papovaviricetes,Papillomaviridae,Dyoiotapapillomavirus,Dyoiotapapillomavirus 1,,,,,,,,
dyoiotapapillomavirus 2,TRUE,viruses,Zurhausenvirales,Papovaviricetes,Papillomaviridae,Dyoiotapapillomavirus,Dyoiotapapillomavirus 2,,,,,,,,
dyokappapapillomavirus 1,TRUE,viruses,Zurhausenvirales,Papovaviricetes,Papillomaviridae,Dyokappapapillomavirus,Dyokappapapillomavirus 1,,,,,,,,
dyolambdapapillomavirus 1,TRUE,viruses,Zurhausenvirales,Papovaviricetes,Papillomaviridae,Dyolambdapapillomavirus,Dyolambdapapillomavirus 1,,,,,,,,
dyonupapillomavirus 1,TRUE,viruses,Zurhausenvirales,Papovaviricetes,Papillomaviridae,Dyonupapillomavirus,Dyonupapillomavirus 1,,,,,,,,
dyoomikronpapillomavirus 1,TRUE,viruses,Zurhausenvirales,Papovaviricetes,Papillomaviridae,Dyoomikronpapillomavirus,Dyoomikronpapillomavirus 1,,,,,,,,
dyopipapillomavirus 1,TRUE,viruses,Zurhausenvirales,Papovaviricetes,Papillomaviridae,Dyopipapillomavirus,Dyopipapillomavirus 1,,,,,,,,
dyorhopapillomavirus 1,TRUE,viruses,Zurhausenvirales,Papovaviricetes,Papillomaviridae,Dyorhopapillomavirus,Dyorhopapillomavirus 1,,,,,,,,
dyosigmapapillomavirus 1,TRUE,viruses,Zurhausenvirales,Papovaviricetes,Papillomaviridae,Dyosigmapapillomavirus,Dyosigmapapillomavirus 1,,,,,,,,
dyothetapapillomavirus 1,TRUE,viruses,Zurhausenvirales,Papovaviricetes,Papillomaviridae,Dyothetapapillomavirus,Dyothetapapillomavirus 1,,,,,,,,
dyoxipapillomavirus 1,TRUE,viruses,Zurhausenvirales,Papovaviricetes,Papillomaviridae,Dyoxipapillomavirus,Dyoxipapillomavirus 1,,,,,,,,
elephantid herpesvirus 1,TRUE,viruses,Herpesvirales,Herviviricetes,Herpesviridae,Proboscivirus,Elephantid betaherpesvirus 1,,,,,,,,
equid herpesvirus 1,TRUE,viruses,Herpesvirales,Herviviricetes,Herpesviridae,Varicellovirus,Equid alphaherpesvirus 1,,,,,,,,
equid herpesvirus 2,TRUE,viruses,Herpesvirales,Herviviricetes,Herpesviridae,Percavirus,Equid gammaherpesvirus 2,,,,,,,,
equid herpesvirus 3,TRUE,viruses,Herpesvirales,Herviviricetes,Herpesviridae,Varicellovirus,Equid alphaherpesvirus 3,,,,,,,,
equid herpesvirus 4,TRUE,viruses,Herpesvirales,Herviviricetes,Herpesviridae,Varicellovirus,Equid alphaherpesvirus 4,,,,,,,,
equid herpesvirus 5,TRUE,viruses,Herpesvirales,Herviviricetes,Herpesviridae,Percavirus,Equid gammaherpesvirus 5,,,,,,,,
equid herpesvirus 7,TRUE,viruses,Herpesvirales,Herviviricetes,Herpesviridae,,Equid gammaherpesvirus 7,,,,,,,,
equid herpesvirus 8,TRUE,viruses,Herpesvirales,Herviviricetes,Herpesviridae,Varicellovirus,Equid alphaherpesvirus 8,,,,,,,,
equid herpesvirus 9,TRUE,viruses,Herpesvirales,Herviviricetes,Herpesviridae,Varicellovirus,Equid alphaherpesvirus 9,,,,,,,,
equine papillomavirus 1,TRUE,viruses,Zurhausenvirales,Papovaviricetes,Papillomaviridae,Zetapapillomavirus,Zetapapillomavirus 1,,,,,,,,
equine torovirus,TRUE,viruses,Nidovirales,Pisoniviricetes,Tobaniviridae,Torovirus,Equine torovirus,,,,,,,,
european bat lyssavirus 1,TRUE,viruses,Mononegavirales,Monjiviricetes,Rhabdoviridae,Lyssavirus,European bat 1 lyssavirus,,,,,,,,
european bat lyssavirus 2,TRUE,viruses,Mononegavirales,Monjiviricetes,Rhabdoviridae,Lyssavirus,European bat 2 lyssavirus,,,,,,,,
european elk papillomavirus,TRUE,viruses,Zurhausenvirales,Papovaviricetes,Papillomaviridae,Deltapapillomavirus,Deltapapillomavirus 1,,,,,,,,
felid herpesvirus 1,TRUE,viruses,Herpesvirales,Herviviricetes,Herpesviridae,Varicellovirus,Felid alphaherpesvirus 1,,,,,,,,
feline astrovirus,TRUE,viruses,Stellavirales,Stelpaviricetes,Astroviridae,Mamastrovirus,Mamastrovirus 2,,,,,,,,
feline calicivirus,TRUE,viruses,Picornavirales,Pisoniviricetes,Caliciviridae,Vesivirus,Feline calicivirus,,,,,,,,
feline coronavirus,TRUE,viruses,Nidovirales,Pisoniviricetes,Coronaviridae,Alphacoronavirus,Alphacoronavirus 1,,,,,,,,
feline papillomavirus,TRUE,viruses,Zurhausenvirales,Papovaviricetes,Papillomaviridae,Lambdapapillomavirus,Lambdapapillomavirus 1,,,,,,,,
frog virus 3,TRUE,viruses,Pimascovirales,Megaviricetes,Iridoviridae,Ranavirus,Frog virus 3,,,,,,,,
gallid herpesvirus 2,TRUE,viruses,Herpesvirales,Herviviricetes,Herpesviridae,Mardivirus,Gallid alphaherpesvirus 2,,,,,,,,
gammapapillomavirus 1,TRUE,viruses,Zurhausenvirales,Papovaviricetes,Papillomaviridae,Gammapapillomavirus,Gammapapillomavirus 1,,,,,,,,
gammapapillomavirus 10,TRUE,viruses,Zurhausenvirales,Papovaviricetes,Papillomaviridae,Gammapapillomavirus,Gammapapillomavirus 10,,,,,,,,
gammapapillomavirus 11,TRUE,viruses,Zurhausenvirales,Papovaviricetes,Papillomaviridae,Gammapapillomavirus,Gammapapillomavirus 11,,,,,,,,
gammapapillomavirus 12,TRUE,viruses,Zurhausenvirales,Papovaviricetes,Papillomaviridae,Gammapapillomavirus,Gammapapillomavirus 12,,,,,,,,
gammapapillomavirus 13,TRUE,viruses,Zurhausenvirales,Papovaviricetes,Papillomaviridae,Gammapapillomavirus,Gammapapillomavirus 13,,,,,,,,
gammapapillomavirus 14,TRUE,viruses,Zurhausenvirales,Papovaviricetes,Papillomaviridae,Gammapapillomavirus,Gammapapillomavirus 14,,,,,,,,
gammapapillomavirus 15,TRUE,viruses,Zurhausenvirales,Papovaviricetes,Papillomaviridae,Gammapapillomavirus,Gammapapillomavirus 15,,,,,,,,
gammapapillomavirus 16,TRUE,viruses,Zurhausenvirales,Papovaviricetes,Papillomaviridae,Gammapapillomavirus,Gammapapillomavirus 16,,,,,,,,
gammapapillomavirus 17,TRUE,viruses,Zurhausenvirales,Papovaviricetes,Papillomaviridae,Gammapapillomavirus,Gammapapillomavirus 17,,,,,,,,
gammapapillomavirus 18,TRUE,viruses,Zurhausenvirales,Papovaviricetes,Papillomaviridae,Gammapapillomavirus,Gammapapillomavirus 18,,,,,,,,
gammapapillomavirus 19,TRUE,viruses,Zurhausenvirales,Papovaviricetes,Papillomaviridae,Gammapapillomavirus,Gammapapillomavirus 19,,,,,,,,
gammapapillomavirus 2,TRUE,viruses,Zurhausenvirales,Papovaviricetes,Papillomaviridae,Gammapapillomavirus,Gammapapillomavirus 2,,,,,,,,
gammapapillomavirus 20,TRUE,viruses,Zurhausenvirales,Papovaviricetes,Papillomaviridae,Gammapapillomavirus,Gammapapillomavirus 20,,,,,,,,
gammapapillomavirus 6,TRUE,viruses,Zurhausenvirales,Papovaviricetes,Papillomaviridae,Gammapapillomavirus,Gammapapillomavirus 6,,,,,,,,
gammapapillomavirus 7,TRUE,viruses,Zurhausenvirales,Papovaviricetes,Papillomaviridae,Gammapapillomavirus,Gammapapillomavirus 7,,,,,,,,
gammapapillomavirus 8,TRUE,viruses,Zurhausenvirales,Papovaviricetes,Papillomaviridae,Gammapapillomavirus,Gammapapillomavirus 8,,,,,,,,
gammapapillomavirus 9,TRUE,viruses,Zurhausenvirales,Papovaviricetes,Papillomaviridae,Gammapapillomavirus,Gammapapillomavirus 9,,,,,,,,
guinea pig adenovirus,TRUE,viruses,Rowavirales,Tectiliviricetes,Adenoviridae,Mastadenovirus,Guinea pig adenovirus,,,,,,,,
h-1 parvovirus,TRUE,viruses,Piccovirales,Quintoviricetes,Parvoviridae,Protoparvovirus,Rodent protoparvovirus 1,,,,,,,,
hamster oral papillomavirus,TRUE,viruses,Zurhausenvirales,Papovaviricetes,Papillomaviridae,Pipapillomavirus,Pipapillomavirus 1,,,,,,,,
hamster parvovirus,TRUE,viruses,Piccovirales,Quintoviricetes,Parvoviridae,Protoparvovirus,Hamster parvovirus,,,,,,,,
hamster polyomavirus,TRUE,viruses,Sepolyvirales,Papovaviricetes,Polyomaviridae,Alphapolyomavirus,Mesocricetus auratus polyomavirus 1,,,,,,,,
hippotragine herpesvirus 1,TRUE,viruses,Herpesvirales,Herviviricetes,Herpesviridae,Macavirus,Hippotragine gammaherpesvirus 1,,,,,,,,
human astrovirus,TRUE,viruses,Stellavirales,Stelpaviricetes,Astroviridae,,Human astrovirus,,,,,,,,
human gammaherpesvirus 4,TRUE,viruses,Herpesvirales,Herviviricetes,Herpesviridae,Lymphocryptovirus,Human gammaherpesvirus 4,,,,,,,,
human gammaherpesvirus 8,TRUE,viruses,Herpesvirales,Herviviricetes,Herpesviridae,Rhadinovirus,Human gammaherpesvirus 8,,,,,,,,
human herpesvirus 1,TRUE,viruses,Herpesvirales,Herviviricetes,Herpesviridae,Simplexvirus,Human alphaherpesvirus 1,,,,,,,,
human herpesvirus 2,TRUE,viruses,Herpesvirales,Herviviricetes,Herpesviridae,Simplexvirus,Human alphaherpesvirus 2,,,,,,,,
human herpesvirus 3,TRUE,viruses,Herpesvirales,Herviviricetes,Herpesviridae,Varicellovirus,Human alphaherpesvirus 3,,,,,,,,
human herpesvirus 4,TRUE,viruses,Herpesvirales,Herviviricetes,Herpesviridae,Lymphocryptovirus,Human gammaherpesvirus 4,,,,,,,,
human herpesvirus 5,TRUE,viruses,Herpesvirales,Herviviricetes,Herpesviridae,Cytomegalovirus,Human betaherpesvirus 5,,,,,,,,
human herpesvirus 6,TRUE,viruses,Herpesvirales,Herviviricetes,Herpesviridae,Roseolovirus,Human betaherpesvirus 6,,,,,,,,
human herpesvirus 7,TRUE,viruses,Herpesvirales,Herviviricetes,Herpesviridae,Roseolovirus,Human betaherpesvirus 7,,,,,,,,
human herpesvirus 8,TRUE,viruses,Herpesvirales,Herviviricetes,Herpesviridae,Rhadinovirus,Human gammaherpesvirus 8,,,,,,,,
human immunodeficiency virus 1,TRUE,viruses,Ortervirales,Revtraviricetes,Retroviridae,Lentivirus,Human immunodeficiency virus 1,,,,,,,,
human immunodeficiency virus 2,TRUE,viruses,Ortervirales,Revtraviricetes,Retroviridae,Lentivirus,Human immunodeficiency virus 2,,,,,,,,
human metapneumovirus,TRUE,viruses,Mononegavirales,Monjiviricetes,Pneumoviridae,Metapneumovirus,Human metapneumovirus,,,,,,,,
human papillomavirus 1,TRUE,viruses,Zurhausenvirales,Papovaviricetes,Papillomaviridae,Mupapillomavirus,Mupapillomavirus 1,,,,,,,,
human papillomavirus 10,TRUE,viruses,Zurhausenvirales,Papovaviricetes,Papillomaviridae,Alphapapillomavirus,Alphapapillomavirus 2,,,,,,,,
human papillomavirus 16,TRUE,viruses,Zurhausenvirales,Papovaviricetes,Papillomaviridae,Alphapapillomavirus,Alphapapillomavirus 9,,,,,,,,
human papillomavirus 18,TRUE,viruses,Zurhausenvirales,Papovaviricetes,Papillomaviridae,Alphapapillomavirus,Alphapapillomavirus 7,,,,,,,,
human papillomavirus 2,TRUE,viruses,Zurhausenvirales,Papovaviricetes,Papillomaviridae,Alphapapillomavirus,Alphapapillomavirus 4,,,,,,,,
human papillomavirus 26,TRUE,viruses,Zurhausenvirales,Papovaviricetes,Papillomaviridae,Alphapapillomavirus,Alphapapillomavirus 5,,,,,,,,
human papillomavirus 32,TRUE,viruses,Zurhausenvirales,Papovaviricetes,Papillomaviridae,Alphapapillomavirus,Alphapapillomavirus 1,,,,,,,,
human papillomavirus 34,TRUE,viruses,Zurhausenvirales,Papovaviricetes,Papillomaviridae,Alphapapillomavirus,Alphapapillomavirus 11,,,,,,,,
human papillomavirus 4,TRUE,viruses,Zurhausenvirales,Papovaviricetes,Papillomaviridae,Gammapapillomavirus,Gammapapillomavirus 1,,,,,,,,
human papillomavirus 41,TRUE,viruses,Zurhausenvirales,Papovaviricetes,Papillomaviridae,Nupapillomavirus,Nupapillomavirus 1,,,,,,,,
human papillomavirus 48,TRUE,viruses,Zurhausenvirales,Papovaviricetes,Papillomaviridae,Gammapapillomavirus,Gammapapillomavirus 2,,,,,,,,
human papillomavirus 49,TRUE,viruses,Zurhausenvirales,Papovaviricetes,Papillomaviridae,Betapapillomavirus,Betapapillomavirus 3,,,,,,,,
human papillomavirus 5,TRUE,viruses,Zurhausenvirales,Papovaviricetes,Papillomaviridae,Betapapillomavirus,Betapapillomavirus 1,,,,,,,,
human papillomavirus 50,TRUE,viruses,Zurhausenvirales,Papovaviricetes,Papillomaviridae,Gammapapillomavirus,Gammapapillomavirus 3,,,,,,,,
human papillomavirus 53,TRUE,viruses,Zurhausenvirales,Papovaviricetes,Papillomaviridae,Alphapapillomavirus,Alphapapillomavirus 6,,,,,,,,
