"Host","HostClass","HostOrder","HostFamily","Virus","VirusOrder","Year","YearType","Database","DatabaseVersion","DetectionMethod","Detection_NotSpecified","Detection_Serology","Detection_Genetic","Detection_Isolation","Host_Original","Virus_Original","DetectionMethod_Original"
"Felis catus","Mammalia","Carnivora","Felidae","Feline immunodeficiency virus","Ortervirales",1997,"Nucleotide","EID2","Wardeh et al. 2015 Sci Data","PCR/Sequencing",FALSE,FALSE,TRUE,FALSE,"Felis catus","Feline immunodeficiency","PCR"
"Felis catus","Mammalia","Carnivora","Felidae","Feline immunodeficiency virus","Ortervirales",1999,"Nucleotide","EID2","Wardeh et al. 2015 Sci Data","PCR/Sequencing",FALSE,FALSE,TRUE,FALSE,"Felis catus","Feline immunodeficiency","PCR"
"Felis catus","Mammalia","Carnivora","Felidae","Feline immunodeficiency virus","Ortervirales",2016,"Nucleotide","EID2","Wardeh et al. 2015 Sci Data","PCR/Sequencing",FALSE,FALSE,TRUE,FALSE,"Felis catus","Feline immunodeficiency","PCR"
"Felis catus","Mammalia","Carnivora","Felidae","Feline immunodeficiency virus","Ortervirales",2001,"Nucleotide","EID2","Wardeh et al. 2015 Sci Data","PCR/Sequencing",FALSE,FALSE,TRUE,FALSE,"Felis catus","Feline immunodeficiency","PCR"
"Felis catus","Mammalia","Carnivora","Felidae","Feline immunodeficiency virus","Ortervirales",2004,"Nucleotide","EID2","Wardeh et al. 2015 Sci Data","PCR/Sequencing",FALSE,FALSE,TRUE,FALSE,"Felis catus","Feline immunodeficiency","PCR"
"Felis catus","Mammalia","Carnivora","Felidae","Feline immunodeficiency virus","Ortervirales",2008,"Author","HP3","Olival et al. 2017 Nature","PCR/Sequencing",FALSE,FALSE,TRUE,FALSE,"Felis catus","Feline immunodeficiency","PCR"
"Felis catus","Mammalia","Carnivora","Felidae","Feline immunodeficiency virus","Ortervirales",1989,"PubMed","Shaw","Shaw et al. 2020 Mol Ecol","Isolation/Observation",FALSE,FALSE,FALSE,TRUE,"Felis catus","Feline immunodeficiency","Isolation"
"Felis catus","Mammalia","Carnivora","Felidae","Feline leukemia virus","Ortervirales",1975,"PubMed","EID2","Wardeh et al. 2015 Sci Data","Not specified",TRUE,FALSE,FALSE,FALSE,"Felis catus","Feline leukemia","CargoCarrier"
"Felis catus","Mammalia","Carnivora","Felidae","Feline leukemia virus","Ortervirales",1976,"PubMed","EID2","Wardeh et al. 2015 Sci Data","Not specified",TRUE,FALSE,FALSE,FALSE,"Felis catus","Feline leukemia","CargoCarrier"
"Felis catus","Mammalia","Carnivora","Felidae","Feline leukemia virus","Ortervirales",1977,"PubMed","EID2","Wardeh et al. 2015 Sci Data","Not specified",TRUE,FALSE,FALSE,FALSE,"Felis catus","Feline leukemia","CargoCarrier"
"Felis catus","Mammalia","Carnivora","Felidae","Feline leukemia virus","Ortervirales",1979,"PubMed","EID2","Wardeh et al. 2015 Sci Data","Not specified",TRUE,FALSE,FALSE,FALSE,"Felis catus","Feline leukemia","CargoCarrier"
"Felis catus","Mammalia","Carnivora","Felidae","Feline leukemia virus","Ortervirales",1978,"PubMed","EID2","Wardeh et al. 2015 Sci Data","Not specified",TRUE,FALSE,FALSE,FALSE,"Felis catus","Feline leukemia","CargoCarrier"
"Felis catus","Mammalia","Carnivora","Felidae","Feline leukemia virus","Ortervirales",1992,"PubMed","EID2","Wardeh et al. 2015 Sci Data","Not specified",TRUE,FALSE,FALSE,FALSE,"Felis catus","Feline leukemia","CargoCarrier"
"Felis catus","Mammalia","Carnivora","Felidae","Feline leukemia virus","Ortervirales",1991,"PubMed","EID2","Wardeh et al. 2015 Sci Data","Not specified",TRUE,FALSE,FALSE,FALSE,"Felis catus","Feline leukemia","CargoCarrier"
"Felis catus","Mammalia","Carnivora","Felidae","Feline leukemia virus","Ortervirales",1990,"PubMed","EID2","Wardeh et al. 2015 Sci Data","Not specified",TRUE,FALSE,FALSE,FALSE,"Felis catus","Feline leukemia","CargoCarrier"
"Felis catus","Mammalia","Carnivora","Felidae","Feline leukemia virus","Ortervirales",1996,"Nucleotide","EID2","Wardeh et al. 2015 Sci Data","PCR/Sequencing",FALSE,FALSE,TRUE,FALSE,"Felis catus","Feline leukemia","PCR"
"Felis catus","Mammalia","Carnivora","Felidae","Feline leukemia virus","Ortervirales",2018,"Nucleotide","EID2","Wardeh et al. 2015 Sci Data","PCR/Sequencing",FALSE,FALSE,TRUE,FALSE,"Felis catus","Feline leukemia","PCR"
"Felis catus","Mammalia","Carnivora","Felidae","Feline leukemia virus","Ortervirales",2008,"Nucleotide","EID2","Wardeh et al. 2015 Sci Data","PCR/Sequencing",FALSE,FALSE,TRUE,FALSE,"Felis catus","Feline leukemia","PCR"
"Felis catus","Mammalia","Carnivora","Felidae","Feline leukemia virus","Ortervirales",2016,"Nucleotide","EID2","Wardeh et al. 2015 Sci Data","PCR/Sequencing",FALSE,FALSE,TRUE,FALSE,"Felis catus","Feline leukemia","PCR"
"Felis catus","Mammalia","Carnivora","Felidae","Feline leukemia virus","Ortervirales",2011,"Nucleotide","EID2","Wardeh et al. 2015 Sci Data","PCR/Sequencing",FALSE,FALSE,TRUE,FALSE,"Felis catus","Feline leukemia","PCR"
"Felis catus","Mammalia","Carnivora","Felidae","Feline leukemia virus","Ortervirales",2012,"Author","HP3","Olival et al. 2017 Nature","PCR/Sequencing",FALSE,FALSE,TRUE,FALSE,"Felis catus","Feline leukemia","PCR"
"Felis catus","Mammalia","Carnivora","Felidae","Feline leukemia virus","Ortervirales",2005,"PubMed","Shaw","Shaw et al. 2020 Mol Ecol","Isolation/Observation",FALSE,FALSE,FALSE,TRUE,"Felis catus","Feline leukemia","Isolation"
"Felis catus","Mammalia","Carnivora","Felidae","Carnivore protoparvovirus 1","Piccovirales",1975,"PubMed","EID2","Wardeh et al. 2015 Sci Data","Not specified",TRUE,FALSE,FALSE,FALSE,"Felis catus","Feline panleukopenia","CargoCarrier"
"Felis catus","Mammalia","Carnivora","Felidae","Carnivore protoparvovirus 1","Piccovirales",1976,"PubMed","EID2","Wardeh et al. 2015 Sci Data","Not specified",TRUE,FALSE,FALSE,FALSE,"Felis catus","Feline panleukopenia","CargoCarrier"
"Felis catus","Mammalia","Carnivora","Felidae","Carnivore protoparvovirus 1","Piccovirales",1977,"PubMed","EID2","Wardeh et al. 2015 Sci Data","Not specified",TRUE,FALSE,FALSE,FALSE,"Felis catus","Feline panleukopenia","CargoCarrier"
"Felis catus","Mammalia","Carnivora","Felidae","Carnivore protoparvovirus 1","Piccovirales",1978,"PubMed","EID2","Wardeh et al. 2015 Sci Data","Not specified",TRUE,FALSE,FALSE,FALSE,"Felis catus","Feline panleukopenia","CargoCarrier"
"Felis catus","Mammalia","Carnivora","Felidae","Carnivore protoparvovirus 1","Piccovirales",1992,"PubMed","EID2","Wardeh et al. 2015 Sci Data","Not specified",TRUE,FALSE,FALSE,FALSE,"Felis catus","Feline panleukopenia","CargoCarrier"
"Felis catus","Mammalia","Carnivora","Felidae","Carnivore protoparvovirus 1","Piccovirales",1991,"PubMed","EID2","Wardeh et al. 2015 Sci Data","Not specified",TRUE,FALSE,FALSE,FALSE,"Felis catus","Feline panleukopenia","CargoCarrier"
"Felis catus","Mammalia","Carnivora","Felidae","Carnivore protoparvovirus 1","Piccovirales",1989,"PubMed","EID2","Wardeh et al. 2015 Sci Data","Not specified",TRUE,FALSE,FALSE,FALSE,"Felis catus","Feline panleukopenia","CargoCarrier"
"Felis catus","Mammalia","Carnivora","Felidae","Carnivore protoparvovirus 1","Piccovirales",1987,"PubMed","EID2","Wardeh et al. 2015 Sci Data","Not specified",TRUE,FALSE,FALSE,FALSE,"Felis catus","Feline panleukopenia","CargoCarrier"
"Felis catus","Mammalia","Carnivora","Felidae","Carnivore protoparvovirus 1","Piccovirales",1988,"PubMed","EID2","Wardeh et al. 2015 Sci Data","Not specified",TRUE,FALSE,FALSE,FALSE,"Felis catus","Feline panleukopenia","CargoCarrier"
"Felis catus","Mammalia","Carnivora","Felidae","Carnivore protoparvovirus 1","Piccovirales",1986,"PubMed","EID2","Wardeh et al. 2015 Sci Data","Not specified",TRUE,FALSE,FALSE,FALSE,"Felis catus","Feline panleukopenia","CargoCarrier"
"Felis catus","Mammalia","Carnivora","Felidae","Carnivore protoparvovirus 1","Piccovirales",1970,"PubMed","EID2","Wardeh et al. 2015 Sci Data","Not specified",TRUE,FALSE,FALSE,FALSE,"Felis catus","Feline panleukopenia","CargoCarrier"
"Felis catus","Mammalia","Carnivora","Felidae","Carnivore protoparvovirus 1","Piccovirales",1971,"PubMed","EID2","Wardeh et al. 2015 Sci Data","Not specified",TRUE,FALSE,FALSE,FALSE,"Felis catus","Feline panleukopenia","CargoCarrier"
"Felis catus","Mammalia","Carnivora","Felidae","Carnivore protoparvovirus 1","Piccovirales",1984,"PubMed","EID2","Wardeh et al. 2015 Sci Data","Not specified",TRUE,FALSE,FALSE,FALSE,"Felis catus","Feline panleukopenia","CargoCarrier"
"Felis catus","Mammalia","Carnivora","Felidae","Carnivore protoparvovirus 1","Piccovirales",1980,"PubMed","EID2","Wardeh et al. 2015 Sci Data","Not specified",TRUE,FALSE,FALSE,FALSE,"Felis catus","Feline panleukopenia","CargoCarrier"
"Felis catus","Mammalia","Carnivora","Felidae","Carnivore protoparvovirus 1","Piccovirales",1982,"PubMed","EID2","Wardeh et al. 2015 Sci Data","Not specified",TRUE,FALSE,FALSE,FALSE,"Felis catus","Feline panleukopenia","CargoCarrier"
"Felis catus","Mammalia","Carnivora","Felidae","Carnivore protoparvovirus 1","Piccovirales",1994,"PubMed","EID2","Wardeh et al. 2015 Sci Data","Not specified",TRUE,FALSE,FALSE,FALSE,"Felis catus","Feline panleukopenia","CargoCarrier"
"Felis catus","Mammalia","Carnivora","Felidae","Carnivore protoparvovirus 1","Piccovirales",1993,"PubMed","EID2","Wardeh et al. 2015 Sci Data","Not specified",TRUE,FALSE,FALSE,FALSE,"Felis catus","Feline panleukopenia","CargoCarrier"
"Felis catus","Mammalia","Carnivora","Felidae","Carnivore protoparvovirus 1","Piccovirales",1996,"PubMed","EID2","Wardeh et al. 2015 Sci Data","Not specified",TRUE,FALSE,FALSE,FALSE,"Felis catus","Feline panleukopenia","CargoCarrier"
"Felis catus","Mammalia","Carnivora","Felidae","Carnivore protoparvovirus 1","Piccovirales",1995,"PubMed","EID2","Wardeh et al. 2015 Sci Data","Not specified",TRUE,FALSE,FALSE,FALSE,"Felis catus","Feline panleukopenia","CargoCarrier"
"Felis catus","Mammalia","Carnivora","Felidae","Carnivore protoparvovirus 1","Piccovirales",1997,"PubMed","EID2","Wardeh et al. 2015 Sci Data","Not specified",TRUE,FALSE,FALSE,FALSE,"Felis catus","Feline panleukopenia","CargoCarrier"
"Felis catus","Mammalia","Carnivora","Felidae","Carnivore protoparvovirus 1","Piccovirales",1998,"PubMed","EID2","Wardeh et al. 2015 Sci Data","Not specified",TRUE,FALSE,FALSE,FALSE,"Felis catus","Feline panleukopenia","CargoCarrier"
"Felis catus","Mammalia","Carnivora","Felidae","Carnivore protoparvovirus 1","Piccovirales",1999,"PubMed","EID2","Wardeh et al. 2015 Sci Data","Not specified",TRUE,FALSE,FALSE,FALSE,"Felis catus","Feline panleukopenia","CargoCarrier"
"Felis catus","Mammalia","Carnivora","Felidae","Carnivore protoparvovirus 1","Piccovirales",2000,"PubMed","EID2","Wardeh et al. 2015 Sci Data","Not specified",TRUE,FALSE,FALSE,FALSE,"Felis catus","Feline panleukopenia","CargoCarrier"
"Felis catus","Mammalia","Carnivora","Felidae","Carnivore protoparvovirus 1","Piccovirales",2001,"PubMed","EID2","Wardeh et al. 2015 Sci Data","Not specified",TRUE,FALSE,FALSE,FALSE,"Felis catus","Feline panleukopenia","CargoCarrier"
"Felis catus","Mammalia","Carnivora","Felidae","Carnivore protoparvovirus 1","Piccovirales",2002,"PubMed","EID2","Wardeh et al. 2015 Sci Data","Not specified",TRUE,FALSE,FALSE,FALSE,"Felis catus","Feline panleukopenia","CargoCarrier"
"Felis catus","Mammalia","Carnivora","Felidae","Carnivore protoparvovirus 1","Piccovirales",2003,"PubMed","EID2","Wardeh et al. 2015 Sci Data","Not specified",TRUE,FALSE,FALSE,FALSE,"Felis catus","Feline panleukopenia","CargoCarrier"
"Felis catus","Mammalia","Carnivora","Felidae","Carnivore protoparvovirus 1","Piccovirales",2004,"PubMed","EID2","Wardeh et al. 2015 Sci Data","Not specified",TRUE,FALSE,FALSE,FALSE,"Felis catus","Feline panleukopenia","CargoCarrier"
"Felis catus","Mammalia","Carnivora","Felidae","Carnivore protoparvovirus 1","Piccovirales",2005,"PubMed","EID2","Wardeh et al. 2015 Sci Data","Not specified",TRUE,FALSE,FALSE,FALSE,"Felis catus","Feline panleukopenia","CargoCarrier"
"Felis catus","Mammalia","Carnivora","Felidae","Carnivore protoparvovirus 1","Piccovirales",2006,"PubMed","EID2","Wardeh et al. 2015 Sci Data","Not specified",TRUE,FALSE,FALSE,FALSE,"Felis catus","Feline panleukopenia","CargoCarrier"
"Felis catus","Mammalia","Carnivora","Felidae","Carnivore protoparvovirus 1","Piccovirales",2007,"PubMed","EID2","Wardeh et al. 2015 Sci Data","Not specified",TRUE,FALSE,FALSE,FALSE,"Felis catus","Feline panleukopenia","CargoCarrier"
"Felis catus","Mammalia","Carnivora","Felidae","Carnivore protoparvovirus 1","Piccovirales",2008,"PubMed","EID2","Wardeh et al. 2015 Sci Data","Not specified",TRUE,FALSE,FALSE,FALSE,"Felis catus","Feline panleukopenia","CargoCarrier"
"Felis catus","Mammalia","Carnivora","Felidae","Carnivore protoparvovirus 1","Piccovirales",2009,"PubMed","EID2","Wardeh et al. 2015 Sci Data","Not specified",TRUE,FALSE,FALSE,FALSE,"Felis catus","Feline panleukopenia","CargoCarrier"
"Felis catus","Mammalia","Carnivora","Felidae","Carnivore protoparvovirus 1","Piccovirales",2010,"PubMed","EID2","Wardeh et al. 2015 Sci Data","Not specified",TRUE,FALSE,FALSE,FALSE,"Felis catus","Feline panleukopenia","CargoCarrier"
"Felis catus","Mammalia","Carnivora","Felidae","Carnivore protoparvovirus 1","Piccovirales",2011,"PubMed","EID2","Wardeh et al. 2015 Sci Data","Not specified",TRUE,FALSE,FALSE,FALSE,"Felis catus","Feline panleukopenia","CargoCarrier"
"Felis catus","Mammalia","Carnivora","Felidae","Carnivore protoparvovirus 1","Piccovirales",1967,"PubMed","EID2","Wardeh et al. 2015 Sci Data","Not specified",TRUE,FALSE,FALSE,FALSE,"Felis catus","Feline panleukopenia","CargoCarrier"
"Felis catus","Mammalia","Carnivora","Felidae","Carnivore protoparvovirus 1","Piccovirales",1985,"PubMed","EID2","Wardeh et al. 2015 Sci Data","Not specified",TRUE,FALSE,FALSE,FALSE,"Felis catus","Feline panleukopenia","CargoCarrier"
"Felis catus","Mammalia","Carnivora","Felidae","Carnivore protoparvovirus 1","Piccovirales",2016,"Nucleotide","EID2","Wardeh et al. 2015 Sci Data","PCR/Sequencing",FALSE,FALSE,TRUE,FALSE,"Felis catus","Feline panleukopenia","PCR"
"Felis catus","Mammalia","Carnivora","Felidae","Carnivore protoparvovirus 1","Piccovirales",2008,"Nucleotide","EID2","Wardeh et al. 2015 Sci Data","PCR/Sequencing",FALSE,FALSE,TRUE,FALSE,"Felis catus","Feline panleukopenia","PCR"
"Felis catus","Mammalia","Carnivora","Felidae","Carnivore protoparvovirus 1","Piccovirales",2009,"Nucleotide","EID2","Wardeh et al. 2015 Sci Data","PCR/Sequencing",FALSE,FALSE,TRUE,FALSE,"Felis catus","Feline panleukopenia","PCR"
"Felis catus","Mammalia","Carnivora","Felidae","Carnivore protoparvovirus 1","Piccovirales",2012,"Nucleotide","EID2","Wardeh et al. 2015 Sci Data","PCR/Sequencing",FALSE,FALSE,TRUE,FALSE,"Felis catus","Feline panleukopenia","PCR"
"Felis catus","Mammalia","Carnivora","Felidae","Carnivore protoparvovirus 1","Piccovirales",2010,"Nucleotide","EID2","Wardeh et al. 2015 Sci Data","PCR/Sequencing",FALSE,FALSE,TRUE,FALSE,"Felis catus","Feline panleukopenia","PCR"
"Felis catus","Mammalia","Carnivora","Felidae","Carnivore protoparvovirus 1","Piccovirales",2011,"Nucleotide","EID2","Wardeh et al. 2015 Sci Data","PCR/Sequencing",FALSE,FALSE,TRUE,FALSE,"Felis catus","Feline panleukopenia","PCR"
"Felis catus","Mammalia","Carnivora","Felidae","Lambdapapillomavirus 1","Zurhausenvirales",2016,"Nucleotide","EID2","Wardeh et al. 2015 Sci Data","PCR/Sequencing",FALSE,FALSE,TRUE,FALSE,"Felis catus","Feline papillomavirus","PCR"
"Felis catus","Mammalia","Carnivora","Felidae","Lambdapapillomavirus 1","Zurhausenvirales",2018,"Nucleotide","EID2","Wardeh et al. 2015 Sci Data","PCR/Sequencing",FALSE,FALSE,TRUE,FALSE,"Felis catus","Feline papillomavirus","PCR"
"Felis catus","Mammalia","Carnivora","Felidae","Lambdapapillomavirus 1","Zurhausenvirales",2009,"Nucleotide","EID2","Wardeh et al. 2015 Sci Data","PCR/Sequencing",FALSE,FALSE,TRUE,FALSE,"Felis catus","Feline papillomavirus","PCR"
"Felis catus","Mammalia","Carnivora","Felidae","Lambdapapillomavirus 1","Zurhausenvirales",2002,"Author","HP3","Olival et al. 2017 Nature","PCR/Sequencing",FALSE,FALSE,TRUE,FALSE,"Felis catus","Feline papillomavirus","PCR"
"Felis catus","Mammalia","Carnivora","Felidae","Lambdapapillomavirus 1","Zurhausenvirales",2010,"PubMed","Shaw","Shaw et al. 2020 Mol Ecol","Isolation/Observation",FALSE,FALSE,FALSE,TRUE,"Felis catus","Lambdapapillomavirus 1","Isolation"
"Felis catus","Mammalia","Carnivora","Felidae","Feline leukemia virus","Ortervirales",2014,"PubMed","EID2","Wardeh et al. 2015 Sci Data","Not specified",TRUE,FALSE,FALSE,FALSE,"Felis catus","Feline sarcoma","CargoCarrier"
"Felis catus","Mammalia","Carnivora","Felidae","Feline leukemia virus","Ortervirales",2008,"PubMed","EID2","Wardeh et al. 2015 Sci Data","Not specified",TRUE,FALSE,FALSE,FALSE,"Felis catus","Feline sarcoma","CargoCarrier"
"Felis catus","Mammalia","Carnivora","Felidae","Feline leukemia virus","Ortervirales",2002,"PubMed","EID2","Wardeh et al. 2015 Sci Data","Not specified",TRUE,FALSE,FALSE,FALSE,"Felis catus","Feline sarcoma","CargoCarrier"
"Felis catus","Mammalia","Carnivora","Felidae","Feline leukemia virus","Ortervirales",2001,"PubMed","EID2","Wardeh et al. 2015 Sci Data","Not specified",TRUE,FALSE,FALSE,FALSE,"Felis catus","Feline sarcoma","CargoCarrier"
"Felis catus","Mammalia","Carnivora","Felidae","Feline leukemia virus","Ortervirales",1996,"PubMed","EID2","Wardeh et al. 2015 Sci Data","Not specified",TRUE,FALSE,FALSE,FALSE,"Felis catus","Feline sarcoma","CargoCarrier"
"Felis catus","Mammalia","Carnivora","Felidae","Feline leukemia virus","Ortervirales",1990,"PubMed","EID2","Wardeh et al. 2015 Sci Data","Not specified",TRUE,FALSE,FALSE,FALSE,"Felis catus","Feline sarcoma","CargoCarrier"
"Felis catus","Mammalia","Carnivora","Felidae","Feline leukemia virus","Ortervirales",1988,"PubMed","EID2","Wardeh et al. 2015 Sci Data","Not specified",TRUE,FALSE,FALSE,FALSE,"Felis catus","Feline sarcoma","CargoCarrier"
"Felis catus","Mammalia","Carnivora","Felidae","Feline leukemia virus","Ortervirales",1987,"PubMed","EID2","Wardeh et al. 2015 Sci Data","Not specified",TRUE,FALSE,FALSE,FALSE,"Felis catus","Feline sarcoma","CargoCarrier"
"Felis catus","Mammalia","Carnivora","Felidae","Feline leukemia virus","Ortervirales",1986,"PubMed","EID2","Wardeh et al. 2015 Sci Data","Not specified",TRUE,FALSE,FALSE,FALSE,"Felis catus","Feline sarcoma","CargoCarrier"
"Felis catus","Mammalia","Carnivora","Felidae","Feline leukemia virus","Ortervirales",1985,"PubMed","EID2","Wardeh et al. 2015 Sci Data","Not specified",TRUE,FALSE,FALSE,FALSE,"Felis catus","Feline sarcoma","CargoCarrier"
"Felis catus","Mammalia","Carnivora","Felidae","Feline leukemia virus","Ortervirales",1984,"PubMed","EID2","Wardeh et al. 2015 Sci Data","Not specified",TRUE,FALSE,FALSE,FALSE,"Felis catus","Feline sarcoma","CargoCarrier"
"Felis catus","Mammalia","Carnivora","Felidae","Feline leukemia virus","Ortervirales",1983,"PubMed","EID2","Wardeh et al. 2015 Sci Data","Not specified",TRUE,FALSE,FALSE,FALSE,"Felis catus","Feline sarcoma","CargoCarrier"
"Felis catus","Mammalia","Carnivora","Felidae","Feline leukemia virus","Ortervirales",1982,"PubMed","EID2","Wardeh et al. 2015 Sci Data","Not specified",TRUE,FALSE,FALSE,FALSE,"Felis catus","Feline sarcoma","CargoCarrier"
"Felis catus","Mammalia","Carnivora","Felidae","Feline leukemia virus","Ortervirales",1981,"PubMed","EID2","Wardeh et al. 2015 Sci Data","Not specified",TRUE,FALSE,FALSE,FALSE,"Felis catus","Feline sarcoma","CargoCarrier"
"Felis catus","Mammalia","Carnivora","Felidae","Feline leukemia virus","Ortervirales",1980,"PubMed","EID2","Wardeh et al. 2015 Sci Data","Not specified",TRUE,FALSE,FALSE,FALSE,"Felis catus","Feline sarcoma","CargoCarrier"
"Felis catus","Mammalia","Carnivora","Felidae","Feline leukemia virus","Ortervirales",1979,"PubMed","EID2","Wardeh et al. 2015 Sci Data","Not specified",TRUE,FALSE,FALSE,FALSE,"Felis catus","Feline sarcoma","CargoCarrier"
"Felis catus","Mammalia","Carnivora","Felidae","Feline leukemia virus","Ortervirales",1978,"PubMed","EID2","Wardeh et al. 2015 Sci Data","Not specified",TRUE,FALSE,FALSE,FALSE,"Felis catus","Feline sarcoma","CargoCarrier"
"Felis catus","Mammalia","Carnivora","Felidae","Feline leukemia virus","Ortervirales",1977,"PubMed","EID2","Wardeh et al. 2015 Sci Data","Not specified",TRUE,FALSE,FALSE,FALSE,"Felis catus","Feline sarcoma","CargoCarrier"
"Felis catus","Mammalia","Carnivora","Felidae","Feline leukemia virus","Ortervirales",1976,"PubMed","EID2","Wardeh et al. 2015 Sci Data","Not specified",TRUE,FALSE,FALSE,FALSE,"Felis catus","Feline sarcoma","CargoCarrier"
"Felis catus","Mammalia","Carnivora","Felidae","Feline leukemia virus","Ortervirales",1975,"PubMed","EID2","Wardeh et al. 2015 Sci Data","Not specified",TRUE,FALSE,FALSE,FALSE,"Felis catus","Feline sarcoma","CargoCarrier"
"Felis catus","Mammalia","Carnivora","Felidae","Feline leukemia virus","Ortervirales",1973,"PubMed","EID2","Wardeh et al. 2015 Sci Data","Not specified",TRUE,FALSE,FALSE,FALSE,"Felis catus","Feline sarcoma","CargoCarrier"
"Felis catus","Mammalia","Carnivora","Felidae","Feline leukemia virus","Ortervirales",1971,"PubMed","EID2","Wardeh et al. 2015 Sci Data","Not specified",TRUE,FALSE,FALSE,FALSE,"Felis catus","Feline sarcoma","CargoCarrier"
"Felis catus","Mammalia","Carnivora","Felidae","Feline leukemia virus","Ortervirales",1970,"PubMed","EID2","Wardeh et al. 2015 Sci Data","Not specified",TRUE,FALSE,FALSE,FALSE,"Felis catus","Feline sarcoma","CargoCarrier"
"Felis catus","Mammalia","Carnivora","Felidae","Feline leukemia virus","Ortervirales",1982,"PubMed","Shaw","Shaw et al. 2020 Mol Ecol","Isolation/Observation",FALSE,FALSE,FALSE,TRUE,"Felis catus","Gardner-arnstein feline sarcoma","Isolation"
"Felis catus","Mammalia","Carnivora","Felidae","Feline leukemia virus","Ortervirales",1983,"PubMed","Shaw","Shaw et al. 2020 Mol Ecol","Isolation/Observation",FALSE,FALSE,FALSE,TRUE,"Felis catus","Hardy-zuckerman feline sarcoma","Isolation"
"Felis catus","Mammalia","Carnivora","Felidae","Feline leukemia virus","Ortervirales",1969,"Author","Shaw","Shaw et al. 2020 Mol Ecol","Isolation/Observation",FALSE,FALSE,FALSE,TRUE,"Felis catus","Snyder-theilen feline sarcoma","Isolation"
"Felis catus","Mammalia","Carnivora","Felidae","Human mastadenovirus C","",2010,"PubMed","EID2","Wardeh et al. 2015 Sci Data","Not specified",TRUE,FALSE,FALSE,FALSE,"Felis catus","Human adenovirus c","CargoCarrier"
"Felis catus","Mammalia","Carnivora","Felidae","Human mastadenovirus C","",2016,"Nucleotide","EID2","Wardeh et al. 2015 Sci Data","PCR/Sequencing",FALSE,FALSE,TRUE,FALSE,"Felis catus","Human adenovirus c","PCR"
"Felis catus","Mammalia","Carnivora","Felidae","Human mastadenovirus C","",2004,"Nucleotide","EID2","Wardeh et al. 2015 Sci Data","PCR/Sequencing",FALSE,FALSE,TRUE,FALSE,"Felis catus","Human adenovirus c","PCR"
"Felis catus","Mammalia","Carnivora","Felidae","Human gammaherpesvirus 4",NA,2011,"PubMed","Shaw","Shaw et al. 2020 Mol Ecol","Antibodies",FALSE,TRUE,FALSE,FALSE,"Felis catus","Human gammaherpesvirus 4","Antibodies"
"Felis catus","Mammalia","Carnivora","Felidae","Human gammaherpesvirus 4","Herpesvirales",2010,"Author","HP3","Olival et al. 2017 Nature","Antibodies",FALSE,TRUE,FALSE,FALSE,"Felis catus","Human herpesvirus 4","Antibodies"
"Felis catus","Mammalia","Carnivora","Felidae","Alphatron virus","Picornavirales",2010,"Author","HP3","Olival et al. 2017 Nature","Antibodies",FALSE,TRUE,FALSE,FALSE,"Felis catus","Human norovirus-alphatron","Antibodies"
"Felis catus","Mammalia","Carnivora","Felidae","Human papillomavirus 9",NA,2016,"Nucleotide","EID2","Wardeh et al. 2015 Sci Data","PCR/Sequencing",FALSE,FALSE,TRUE,FALSE,"Felis catus","Human papillomavirus 9","PCR"
"Felis catus","Mammalia","Carnivora","Felidae","Influenza A virus","Articulavirales",2016,"Nucleotide","EID2","Wardeh et al. 2015 Sci Data","PCR/Sequencing",FALSE,FALSE,TRUE,FALSE,"Felis catus","Influenza a","PCR"
"Felis catus","Mammalia","Carnivora","Felidae","Influenza A virus","Articulavirales",2007,"Nucleotide","EID2","Wardeh et al. 2015 Sci Data","PCR/Sequencing",FALSE,FALSE,TRUE,FALSE,"Felis catus","Influenza a","PCR"
"Felis catus","Mammalia","Carnivora","Felidae","Influenza A virus","Articulavirales",2010,"Nucleotide","EID2","Wardeh et al. 2015 Sci Data","PCR/Sequencing",FALSE,FALSE,TRUE,FALSE,"Felis catus","Influenza a","PCR"
"Felis catus","Mammalia","Carnivora","Felidae","Influenza A virus","Articulavirales",2012,"Nucleotide","EID2","Wardeh et al. 2015 Sci Data","PCR/Sequencing",FALSE,FALSE,TRUE,FALSE,"Felis catus","Influenza a","PCR"
"Felis catus","Mammalia","Carnivora","Felidae","Influenza A virus","Articulavirales",2006,"PubMed","Shaw","Shaw et al. 2020 Mol Ecol","Isolation/Observation",FALSE,FALSE,FALSE,TRUE,"Felis catus","Influenza a","Isolation"
"Felis catus","Mammalia","Carnivora","Felidae","Influenza B virus","Articulavirales",2001,"PubMed","EID2","Wardeh et al. 2015 Sci Data","Not specified",TRUE,FALSE,FALSE,FALSE,"Felis catus","Influenza b","CargoCarrier"
"Felis catus","Mammalia","Carnivora","Felidae","Influenza B virus","Articulavirales",1998,"PubMed","EID2","Wardeh et al. 2015 Sci Data","Not specified",TRUE,FALSE,FALSE,FALSE,"Felis catus","Influenza b","CargoCarrier"
"Felis catus","Mammalia","Carnivora","Felidae","Influenza B virus","Articulavirales",1997,"PubMed","EID2","Wardeh et al. 2015 Sci Data","Not specified",TRUE,FALSE,FALSE,FALSE,"Felis catus","Influenza b","CargoCarrier"
