VirusOriginal,VirusTaxID,VirusNCBIResolved,Virus,VirusGenus,VirusFamily,VirusOrder,VirusClass,PathogenType
desulfovibrio legallii,571438,TRUE,Desulfovibrio legallii,Desulfovibrio,Desulfovibrionaceae,Desulfovibrionales,Deltaproteobacteria,bacteria
desulfovibrio piger,901,TRUE,Desulfovibrio piger,Desulfovibrio,Desulfovibrionaceae,Desulfovibrionales,Deltaproteobacteria,bacteria
desulfovibrio vulgaris,881,TRUE,Desulfovibrio vulgaris,Desulfovibrio,Desulfovibrionaceae,Desulfovibrionales,Deltaproteobacteria,bacteria
devriesea agamarum,472569,TRUE,Devriesea agamarum,Devriesea,Dermabacteraceae,Micrococcales,Actinomycetia,bacteria
dialister invisus,218538,TRUE,Dialister invisus,Dialister,Veillonellaceae,Veillonellales,Negativicutes,bacteria
dialister micraerophilus,309120,TRUE,Dialister micraerophilus,Dialister,Veillonellaceae,Veillonellales,Negativicutes,bacteria
dialister pneumosintes,39950,TRUE,Dialister pneumosintes,Dialister,Veillonellaceae,Veillonellales,Negativicutes,bacteria
dialister propionicifaciens,308994,TRUE,Dialister propionicifaciens,Dialister,Veillonellaceae,Veillonellales,Negativicutes,bacteria
dialister succinatiphilus,487173,TRUE,Dialister succinatiphilus,Dialister,Veillonellaceae,Veillonellales,Negativicutes,bacteria
diaphorobacter nitroreducens,164759,TRUE,Diaphorobacter nitroreducens,Diaphorobacter,Comamonadaceae,Burkholderiales,Betaproteobacteria,bacteria
dietzia aurantiaca,983873,TRUE,Dietzia aurantiaca,Dietzia,Dietziaceae,Corynebacteriales,Actinomycetia,bacteria
dietzia cinnamea,321318,TRUE,Dietzia cinnamea,Dietzia,Dietziaceae,Corynebacteriales,Actinomycetia,bacteria
dietzia maris,37915,TRUE,Dietzia maris,Dietzia,Dietziaceae,Corynebacteriales,Actinomycetia,bacteria
dietzia natronolimnaea,161920,TRUE,Dietzia natronolimnaea,Dietzia,Dietziaceae,Corynebacteriales,Actinomycetia,bacteria
dietzia papillomatosis,282305,TRUE,Dietzia papillomatosis,Dietzia,Dietziaceae,Corynebacteriales,Actinomycetia,bacteria
dietzia timorensis,499555,TRUE,Dietzia timorensis,Dietzia,Dietziaceae,Corynebacteriales,Actinomycetia,bacteria
diplorickettsia massiliensis,676517,TRUE,Diplorickettsia massiliensis,Diplorickettsia,Coxiellaceae,Legionellales,Gammaproteobacteria,bacteria
dokdonella koreensis,323415,TRUE,Dokdonella koreensis,Dokdonella,Rhodanobacteraceae,Xanthomonadales,Gammaproteobacteria,bacteria
dolosigranulum pigrum,29394,TRUE,Dolosigranulum pigrum,Dolosigranulum,Carnobacteriaceae,Lactobacillales,Bacilli,bacteria
dorea formicigenerans,39486,TRUE,Dorea formicigenerans,Dorea,Lachnospiraceae,Eubacteriales,Clostridia,bacteria
dorea longicatena,88431,TRUE,Dorea longicatena,Dorea,Lachnospiraceae,Eubacteriales,Clostridia,bacteria
dyella japonica,231455,TRUE,Dyella japonica,Dyella,Rhodanobacteraceae,Xanthomonadales,Gammaproteobacteria,bacteria
dysgonomonas capnocytophagoides,45254,TRUE,Dysgonomonas capnocytophagoides,Dysgonomonas,Dysgonomonadaceae,Bacteroidales,Bacteroidia,bacteria
dysgonomonas gadei,156974,TRUE,Dysgonomonas gadei,Dysgonomonas,Dysgonomonadaceae,Bacteroidales,Bacteroidia,bacteria
dysgonomonas hofstadii,637886,TRUE,Dysgonomonas hofstadii,Dysgonomonas,Dysgonomonadaceae,Bacteroidales,Bacteroidia,bacteria
dysgonomonas mossii,163665,TRUE,Dysgonomonas mossii,Dysgonomonas,Dysgonomonadaceae,Bacteroidales,Bacteroidia,bacteria
edwardsiella hoshinae,93378,TRUE,Edwardsiella hoshinae,Edwardsiella,Hafniaceae,Enterobacterales,Gammaproteobacteria,bacteria
edwardsiella sp.,1906663,TRUE,Edwardsiella sp. (in: Bacteria),Edwardsiella,Hafniaceae,Enterobacterales,Gammaproteobacteria,bacteria
effusibacillus consociatus,1117041,TRUE,Effusibacillus consociatus,Effusibacillus,Alicyclobacillaceae,Bacillales,Bacilli,bacteria
eggerthella lenta,84112,TRUE,Eggerthella lenta,Eggerthella,Eggerthellaceae,Eggerthellales,Coriobacteriia,bacteria
eggerthella sinensis,242230,TRUE,Eggerthella sinensis,Eggerthella,Eggerthellaceae,Eggerthellales,Coriobacteriia,bacteria
eggerthia catenaformis,31973,TRUE,Eggerthia catenaformis,Eggerthia,Coprobacillaceae,Erysipelotrichales,Erysipelotrichia,bacteria
ehrlichia sp.,29502,TRUE,Ehrlichia sp.,Ehrlichia,Anaplasmataceae,Rickettsiales,Alphaproteobacteria,bacteria
eisenbergiella tayi,1432052,TRUE,Eisenbergiella tayi,Eisenbergiella,Lachnospiraceae,Eubacteriales,Clostridia,bacteria
elizabethkingia anophelis,1117645,TRUE,Elizabethkingia anophelis,Elizabethkingia,Weeksellaceae,Flavobacteriales,Flavobacteriia,bacteria
elizabethkingia miricola,172045,TRUE,Elizabethkingia miricola,Elizabethkingia,Weeksellaceae,Flavobacteriales,Flavobacteriia,bacteria
empedobacter brevis,247,TRUE,Empedobacter brevis,Empedobacter,Weeksellaceae,Flavobacteriales,Flavobacteriia,bacteria
empedobacter falsenii,343874,TRUE,Empedobacter falsenii,Empedobacter,Weeksellaceae,Flavobacteriales,Flavobacteriia,bacteria
enteractinococcus coprophilus,1027633,TRUE,Enteractinococcus coprophilus,Enteractinococcus,Micrococcaceae,Micrococcales,Actinomycetia,bacteria
enterobacter kobei,208224,TRUE,Enterobacter kobei,Enterobacter,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,bacteria
enterobacter sp.,42895,TRUE,Enterobacter sp.,Enterobacter,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,bacteria
enterococcus alcedinis,1274384,TRUE,Enterococcus alcedinis,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,bacteria
enterococcus asini,57732,TRUE,Enterococcus asini,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,bacteria
enterococcus caccae,317735,TRUE,Enterococcus caccae,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,bacteria
enterococcus cecorum,44008,TRUE,Enterococcus cecorum,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,bacteria
enterococcus columbae,1355,TRUE,Enterococcus columbae,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,bacteria
enterococcus gilvus,160453,TRUE,Enterococcus gilvus,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,bacteria
enterococcus hawaiiensis,237615,TRUE,Enterococcus hawaiiensis,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,bacteria
enterococcus italicus,246144,TRUE,Enterococcus italicus,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,bacteria
enterococcus pallens,160454,TRUE,Enterococcus pallens,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,bacteria
enterococcus pseudoavium,44007,TRUE,Enterococcus pseudoavium,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,bacteria
enterococcus ratti,150033,TRUE,Enterococcus ratti,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,bacteria
enterococcus sanguinicola,417368,TRUE,Enterococcus thailandicus,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,bacteria
enterococcus sp.,35783,TRUE,Enterococcus sp.,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,bacteria
enterococcus thailandicus,417368,TRUE,Enterococcus thailandicus,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,bacteria
enterococcus villorum,112904,TRUE,Enterococcus villorum,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,bacteria
eremococcus coleocola,88132,TRUE,Eremococcus coleocola,Eremococcus,Aerococcaceae,Lactobacillales,Bacilli,bacteria
erwinia persicinus,55211,TRUE,Erwinia persicina,Erwinia,Erwiniaceae,Enterobacterales,Gammaproteobacteria,bacteria
erwinia sp.,558,TRUE,Erwinia sp.,Erwinia,Erwiniaceae,Enterobacterales,Gammaproteobacteria,bacteria
erysipelatoclostridium ramosum,1547,TRUE,Erysipelatoclostridium ramosum,Erysipelatoclostridium,Erysipelotrichaceae,Erysipelotrichales,Erysipelotrichia,bacteria
erythromicrobium ramosum,35811,TRUE,Erythrobacter ramosus,Erythrobacter,Erythrobacteraceae,Sphingomonadales,Alphaproteobacteria,bacteria
escherichia marmotae,1499973,TRUE,Escherichia marmotae,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,bacteria
escherichia sp.,1884818,TRUE,Escherichia sp.,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,bacteria
eubacterium biforme,1735,TRUE,Holdemanella biformis,Holdemanella,Erysipelotrichaceae,Erysipelotrichales,Erysipelotrichia,bacteria
eubacterium brachy,35517,TRUE,[Eubacterium] brachy,NA,Clostridiales Family XIII. Incertae Sedis,Eubacteriales,Clostridia,bacteria
eubacterium callanderi,53442,TRUE,Eubacterium callanderi,Eubacterium,Eubacteriaceae,Eubacteriales,Clostridia,bacteria
eubacterium combesii,39481,TRUE,Clostridium combesii,Clostridium,Clostridiaceae,Eubacteriales,Clostridia,bacteria
eubacterium contortum,39482,TRUE,Faecalicatena contorta,Faecalicatena,Lachnospiraceae,Eubacteriales,Clostridia,bacteria
eubacterium cylindroides,39483,TRUE,Faecalitalea cylindroides,Faecalitalea,Erysipelotrichaceae,Erysipelotrichales,Erysipelotrichia,bacteria
eubacterium hallii,39488,TRUE,Anaerobutyricum hallii,Anaerobutyricum,Lachnospiraceae,Eubacteriales,Clostridia,bacteria
eubacterium limosum,1736,TRUE,Eubacterium limosum,Eubacterium,Eubacteriaceae,Eubacteriales,Clostridia,bacteria
eubacterium minutum,76124,TRUE,[Eubacterium] minutum,NA,Clostridiales Family XIII. Incertae Sedis,Eubacteriales,Clostridia,bacteria
eubacterium multiforme,83339,TRUE,Eubacterium multiforme,Eubacterium,Eubacteriaceae,Eubacteriales,Clostridia,bacteria
eubacterium plexicaudatum,97253,TRUE,Eubacterium plexicaudatum,Eubacterium,Eubacteriaceae,Eubacteriales,Clostridia,bacteria
eubacterium rectale,39491,TRUE,[Eubacterium] rectale,NA,Lachnospiraceae,Eubacteriales,Clostridia,bacteria
eubacterium saburreum,467210,TRUE,Lachnoanaerobaculum saburreum,Lachnoanaerobaculum,Lachnospiraceae,Eubacteriales,Clostridia,bacteria
eubacterium saphenum,51123,TRUE,[Eubacterium] saphenum,NA,Clostridiales Family XIII. Incertae Sedis,Eubacteriales,Clostridia,bacteria
eubacterium sulci,143393,TRUE,[Eubacterium] sulci,NA,Clostridiales Family XIII. Incertae Sedis,Eubacteriales,Clostridia,bacteria
eubacterium tenue,1737,TRUE,[Eubacterium] tenue,Paeniclostridium,Peptostreptococcaceae,Eubacteriales,Clostridia,bacteria
eubacterium tortuosum,39494,TRUE,Absiella tortuosum,Absiella,Erysipelotrichaceae,Erysipelotrichales,Erysipelotrichia,bacteria
eubacterium yurii,39498,TRUE,[Eubacterium] yurii,Peptoanaerobacter,Peptostreptococcaceae,Eubacteriales,Clostridia,bacteria
exiguobacterium aurantiacum,33987,TRUE,Exiguobacterium aurantiacum,Exiguobacterium,NA,Bacillales,Bacilli,bacteria
facklamia hominis,178214,TRUE,Facklamia hominis,Facklamia,Aerococcaceae,Lactobacillales,Bacilli,bacteria
facklamia ignava,137730,TRUE,Facklamia ignava,Facklamia,Aerococcaceae,Lactobacillales,Bacilli,bacteria
facklamia languida,82347,TRUE,Facklamia languida,Facklamia,Aerococcaceae,Lactobacillales,Bacilli,bacteria
facklamia miroungae,120956,TRUE,Facklamia miroungae,Facklamia,Aerococcaceae,Lactobacillales,Bacilli,bacteria
facklamia sourekii,87650,TRUE,Facklamia sourekii,Facklamia,Aerococcaceae,Lactobacillales,Bacilli,bacteria
faecalibacterium prausnitzii,853,TRUE,Faecalibacterium prausnitzii,Faecalibacterium,Oscillospiraceae,Eubacteriales,Clostridia,bacteria
faecalitalea cylindroides,39483,TRUE,Faecalitalea cylindroides,Faecalitalea,Erysipelotrichaceae,Erysipelotrichales,Erysipelotrichia,bacteria
falsiporphyromonas endometrii,1387297,TRUE,Falsiporphyromonas endometrii,Falsiporphyromonas,Porphyromonadaceae,Bacteroidales,Bacteroidia,bacteria
fastidiosipila sanguinis,236753,TRUE,Fastidiosipila sanguinis,Fastidiosipila,Oscillospiraceae,Eubacteriales,Clostridia,bacteria
filifactor alocis,143361,TRUE,Filifactor alocis,Filifactor,Peptostreptococcaceae,Eubacteriales,Clostridia,bacteria
filifactor villosus,29374,TRUE,Filifactor villosus,Filifactor,Peptostreptococcaceae,Eubacteriales,Clostridia,bacteria
filobacterium rodentium,28192,TRUE,Filobacterium rodentium,Filobacterium,Filobacteriaceae,Sphingobacteriales,Sphingobacteriia,bacteria
finegoldia magna,1260,TRUE,Finegoldia magna,Finegoldia,Peptoniphilaceae,Tissierellales,Tissierellia,bacteria
flavobacterium araucananum,946678,TRUE,Flavobacterium araucananum,Flavobacterium,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,bacteria
flavobacterium branchiophilum,55197,TRUE,Flavobacterium branchiophilum,Flavobacterium,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,bacteria
flavobacterium ceti,395087,TRUE,Flavobacterium ceti,Flavobacterium,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,bacteria
flavobacterium chilense,946677,TRUE,Flavobacterium chilense,Flavobacterium,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,bacteria
flavobacterium lindanitolerans,428988,TRUE,Flavobacterium lindanitolerans,Flavobacterium,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,bacteria
flavobacterium oncorhynchi,728056,TRUE,Flavobacterium oncorhynchi,Flavobacterium,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,bacteria
flavobacterium piscis,1114874,TRUE,Flavobacterium piscis,Flavobacterium,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,bacteria
flavobacterium plurextorum,1114867,TRUE,Flavobacterium plurextorum,Flavobacterium,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,bacteria
flavobacterium sp.,239,TRUE,Flavobacterium sp.,Flavobacterium,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,bacteria
flavobacterium spartansii,1278819,TRUE,Flavobacterium spartansii,Flavobacterium,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,bacteria
flavonifractor plautii,292800,TRUE,Flavonifractor plautii,Flavonifractor,Oscillospiraceae,Eubacteriales,Clostridia,bacteria
fluoribacter bozemanae,447,TRUE,Fluoribacter bozemanae,Fluoribacter,Legionellaceae,Legionellales,Gammaproteobacteria,bacteria
fluoribacter dumoffii,463,TRUE,Fluoribacter dumoffii,Fluoribacter,Legionellaceae,Legionellales,Gammaproteobacteria,bacteria
fluoribacter gormanii,464,TRUE,Fluoribacter gormanii,Fluoribacter,Legionellaceae,Legionellales,Gammaproteobacteria,bacteria
francisella hispaniensis,622488,TRUE,Francisella hispaniensis,Francisella,Francisellaceae,Thiotrichales,Gammaproteobacteria,bacteria
francisella philomiragia,28110,TRUE,Francisella philomiragia,Francisella,Francisellaceae,Thiotrichales,Gammaproteobacteria,bacteria
frederiksenia canicola,123824,TRUE,Frederiksenia canicola,Frederiksenia,Pasteurellaceae,Pasteurellales,Gammaproteobacteria,bacteria
fretibacterium fastidiosum,651822,TRUE,Fretibacterium fastidiosum,Fretibacterium,Synergistaceae,Synergistales,Synergistia,bacteria
fusobacterium canifelinum,285729,TRUE,Fusobacterium canifelinum,Fusobacterium,Fusobacteriaceae,Fusobacteriales,Fusobacteriia,bacteria
fusobacterium equinum,134605,TRUE,Fusobacterium equinum,Fusobacterium,Fusobacteriaceae,Fusobacteriales,Fusobacteriia,bacteria
fusobacterium gonidiaformans,849,TRUE,Fusobacterium gonidiaformans,Fusobacterium,Fusobacteriaceae,Fusobacteriales,Fusobacteriia,bacteria
fusobacterium mortiferum,850,TRUE,Fusobacterium mortiferum,Fusobacterium,Fusobacteriaceae,Fusobacteriales,Fusobacteriia,bacteria
fusobacterium naviforme,77917,TRUE,Fusobacterium naviforme,Fusobacterium,Fusobacteriaceae,Fusobacteriales,Fusobacteriia,bacteria
fusobacterium periodonticum,860,TRUE,Fusobacterium periodonticum,Fusobacterium,Fusobacteriaceae,Fusobacteriales,Fusobacteriia,bacteria
fusobacterium russii,854,TRUE,Fusobacterium russii,Fusobacterium,Fusobacteriaceae,Fusobacteriales,Fusobacteriia,bacteria
fusobacterium simiae,855,TRUE,Fusobacterium simiae,Fusobacterium,Fusobacteriaceae,Fusobacteriales,Fusobacteriia,bacteria
fusobacterium sp.,68766,TRUE,Fusobacterium sp.,Fusobacterium,Fusobacteriaceae,Fusobacteriales,Fusobacteriia,bacteria
fusobacterium ulcerans,861,TRUE,Fusobacterium ulcerans,Fusobacterium,Fusobacteriaceae,Fusobacteriales,Fusobacteriia,bacteria
gallibacterium melopsittaci,516063,TRUE,Gallibacterium melopsittaci,Gallibacterium,Pasteurellaceae,Pasteurellales,Gammaproteobacteria,bacteria
gardnerella vaginalis,2702,TRUE,Gardnerella vaginalis,Gardnerella,Bifidobacteriaceae,Bifidobacteriales,Actinomycetia,bacteria
gemella asaccharolytica,502393,TRUE,Gemella asaccharolytica,Gemella,NA,Bacillales,Bacilli,bacteria
gemella bergeri,84136,TRUE,Gemella bergeri,Gemella,NA,Bacillales,Bacilli,bacteria
gemella cuniculi,150240,TRUE,Gemella cuniculi,Gemella,NA,Bacillales,Bacilli,bacteria
gemella haemolysans,1379,TRUE,Gemella haemolysans,Gemella,NA,Bacillales,Bacilli,bacteria
gemella morbillorum,29391,TRUE,Gemella morbillorum,Gemella,NA,Bacillales,Bacilli,bacteria
gemella parahaemolysans,1179782,TRUE,Gemella parahaemolysans,Gemella,NA,Bacillales,Bacilli,bacteria
gemella sanguinis,84135,TRUE,Gemella sanguinis,Gemella,NA,Bacillales,Bacilli,bacteria
gemella sp.,1966354,TRUE,Gemella sp.,Gemella,NA,Bacillales,Bacilli,bacteria
gemella taiwanensis,1179787,TRUE,Gemella taiwanensis,Gemella,NA,Bacillales,Bacilli,bacteria
globicatella sanguinis,13076,TRUE,Globicatella sanguinis,Globicatella,Aerococcaceae,Lactobacillales,Bacilli,bacteria
globicatella sulfidifaciens,136093,TRUE,Globicatella sulfidifaciens,Globicatella,Aerococcaceae,Lactobacillales,Bacilli,bacteria
gordonia aichiensis,36820,TRUE,Gordonia aichiensis,Gordonia,Gordoniaceae,Corynebacteriales,Actinomycetia,bacteria
gordonia araii,263909,TRUE,Gordonia araii,Gordonia,Gordoniaceae,Corynebacteriales,Actinomycetia,bacteria
gordonia bronchialis,2054,TRUE,Gordonia bronchialis,Gordonia,Gordoniaceae,Corynebacteriales,Actinomycetia,bacteria
gordonia effusa,263908,TRUE,Gordonia effusa,Gordonia,Gordoniaceae,Corynebacteriales,Actinomycetia,bacteria
gordonia iterans,1004901,TRUE,Gordonia iterans,Gordonia,Gordoniaceae,Corynebacteriales,Actinomycetia,bacteria
gordonia otitidis,249058,TRUE,Gordonia otitidis,Gordonia,Gordoniaceae,Corynebacteriales,Actinomycetia,bacteria
gordonia polyisoprenivorans,84595,TRUE,Gordonia polyisoprenivorans,Gordonia,Gordoniaceae,Corynebacteriales,Actinomycetia,bacteria
gordonia rubripertincta,36822,TRUE,Gordonia rubripertincta,Gordonia,Gordoniaceae,Corynebacteriales,Actinomycetia,bacteria
gordonia sputi,36823,TRUE,Gordonia sputi,Gordonia,Gordoniaceae,Corynebacteriales,Actinomycetia,bacteria
gordonia terrae,2055,TRUE,Gordonia terrae,Gordonia,Gordoniaceae,Corynebacteriales,Actinomycetia,bacteria
gordonibacter pamelaeae,471189,TRUE,Gordonibacter pamelaeae,Gordonibacter,Eggerthellaceae,Eggerthellales,Coriobacteriia,bacteria
granulicatella adiacens,46124,TRUE,Granulicatella adiacens,Granulicatella,Carnobacteriaceae,Lactobacillales,Bacilli,bacteria
granulicatella balaenopterae,137733,TRUE,Granulicatella balaenopterae,Granulicatella,Carnobacteriaceae,Lactobacillales,Bacilli,bacteria
granulicatella elegans,137732,TRUE,Granulicatella elegans,Granulicatella,Carnobacteriaceae,Lactobacillales,Bacilli,bacteria
grimontia hollisae,673,TRUE,Grimontia hollisae,Grimontia,Vibrionaceae,Vibrionales,Gammaproteobacteria,bacteria
gryllotalpicola ginsengisoli,444608,TRUE,Gryllotalpicola ginsengisoli,Gryllotalpicola,Microbacteriaceae,Micrococcales,Actinomycetia,bacteria
guggenheimella bovis,228924,TRUE,Guggenheimella bovis,Guggenheimella,Clostridiales Family XII. Incertae Sedis,Eubacteriales,Clostridia,bacteria
haematobacter massiliensis,195105,TRUE,Haematobacter massiliensis,Haematobacter,Rhodobacteraceae,Rhodobacterales,Alphaproteobacteria,bacteria
haematobacter missouriensis,366616,TRUE,Haematobacter missouriensis,Haematobacter,Rhodobacteraceae,Rhodobacterales,Alphaproteobacteria,bacteria
haemophilus aegyptius,197575,TRUE,Haemophilus aegyptius,Haemophilus,Pasteurellaceae,Pasteurellales,Gammaproteobacteria,bacteria
haemophilus ducreyi,730,TRUE,[Haemophilus] ducreyi,Haemophilus,Pasteurellaceae,Pasteurellales,Gammaproteobacteria,bacteria
haemophilus felis,123822,TRUE,[Haemophilus] felis,NA,Pasteurellaceae,Pasteurellales,Gammaproteobacteria,bacteria
haemophilus haemolyticus,726,TRUE,Haemophilus haemolyticus,Haemophilus,Pasteurellaceae,Pasteurellales,Gammaproteobacteria,bacteria
haemophilus influenzae,727,TRUE,Haemophilus influenzae,Haemophilus,Pasteurellaceae,Pasteurellales,Gammaproteobacteria,bacteria
haemophilus paracuniculus,734,TRUE,Haemophilus paracuniculus,Haemophilus,Pasteurellaceae,Pasteurellales,Gammaproteobacteria,bacteria
haemophilus parahaemolyticus,735,TRUE,Haemophilus parahaemolyticus,Haemophilus,Pasteurellaceae,Pasteurellales,Gammaproteobacteria,bacteria
haemophilus parainfluenzae,729,TRUE,Haemophilus parainfluenzae,Haemophilus,Pasteurellaceae,Pasteurellales,Gammaproteobacteria,bacteria
haemophilus paraphrohaemolyticus,736,TRUE,Haemophilus paraphrohaemolyticus,Haemophilus,Pasteurellaceae,Pasteurellales,Gammaproteobacteria,bacteria
haemophilus pittmaniae,249188,TRUE,Haemophilus pittmaniae,Haemophilus,Pasteurellaceae,Pasteurellales,Gammaproteobacteria,bacteria
haemophilus sp.,740,TRUE,Haemophilus sp.,Haemophilus,Pasteurellaceae,Pasteurellales,Gammaproteobacteria,bacteria
haemophilus sputorum,1078480,TRUE,Haemophilus sputorum,Haemophilus,Pasteurellaceae,Pasteurellales,Gammaproteobacteria,bacteria
hafnia paralvei,546367,TRUE,Hafnia paralvei,Hafnia,Hafniaceae,Enterobacterales,Gammaproteobacteria,bacteria
hafnia sp.,1873498,TRUE,Hafnia sp.,Hafnia,Hafniaceae,Enterobacterales,Gammaproteobacteria,bacteria
halomonas hamiltonii,502829,TRUE,Halomonas hamiltonii,Halomonas,Halomonadaceae,Oceanospirillales,Gammaproteobacteria,bacteria
halomonas johnsoniae,502832,TRUE,Halomonas johnsoniae,Halomonas,Halomonadaceae,Oceanospirillales,Gammaproteobacteria,bacteria
halomonas stevensii,502821,TRUE,Halomonas stevensii,Halomonas,Halomonadaceae,Oceanospirillales,Gammaproteobacteria,bacteria
halomonas venusta,44935,TRUE,Halomonas venusta,Halomonas,Halomonadaceae,Oceanospirillales,Gammaproteobacteria,bacteria
hathewaya histolytica,1498,TRUE,Hathewaya histolytica,Hathewaya,Clostridiaceae,Eubacteriales,Clostridia,bacteria
hathewaya limosa,1536,TRUE,Hathewaya limosa,Hathewaya,Clostridiaceae,Eubacteriales,Clostridia,bacteria
helcococcus kunzii,40091,TRUE,Helcococcus kunzii,Helcococcus,Peptoniphilaceae,Tissierellales,Tissierellia,bacteria
helcococcus ovis,72026,TRUE,Helcococcus ovis,Helcococcus,Peptoniphilaceae,Tissierellales,Tissierellia,bacteria
helcococcus sueciensis,241555,TRUE,Helcococcus sueciensis,Helcococcus,Peptoniphilaceae,Tissierellales,Tissierellia,bacteria
helicobacter aurati,137778,TRUE,Helicobacter aurati,Helicobacter,Helicobacteraceae,Campylobacterales,Epsilonproteobacteria,bacteria
helicobacter baculiformis,427351,TRUE,Helicobacter baculiformis,Helicobacter,Helicobacteraceae,Campylobacterales,Epsilonproteobacteria,bacteria
helicobacter canadensis,123841,TRUE,Helicobacter canadensis,Helicobacter,Helicobacteraceae,Campylobacterales,Epsilonproteobacteria,bacteria
helicobacter cholecystus,45498,TRUE,Helicobacter cholecystus,Helicobacter,Helicobacteraceae,Campylobacterales,Epsilonproteobacteria,bacteria
helicobacter equorum,361872,TRUE,Helicobacter equorum,Helicobacter,Helicobacteraceae,Campylobacterales,Epsilonproteobacteria,bacteria
helicobacter fennelliae,215,TRUE,Helicobacter fennelliae,Helicobacter,Helicobacteraceae,Campylobacterales,Epsilonproteobacteria,bacteria
helicobacter himalayensis,1591088,TRUE,Helicobacter himalayensis,Helicobacter,Helicobacteraceae,Campylobacterales,Epsilonproteobacteria,bacteria
helicobacter mastomyrinus,287948,TRUE,Helicobacter mastomyrinus,Helicobacter,Helicobacteraceae,Campylobacterales,Epsilonproteobacteria,bacteria
helicobacter muridarum,216,TRUE,Helicobacter muridarum,Helicobacter,Helicobacteraceae,Campylobacterales,Epsilonproteobacteria,bacteria
helicobacter rodentium,59617,TRUE,Helicobacter rodentium,Helicobacter,Helicobacteraceae,Campylobacterales,Epsilonproteobacteria,bacteria
helicobacter sp.,218,TRUE,Helicobacter sp.,Helicobacter,Helicobacteraceae,Campylobacterales,Epsilonproteobacteria,bacteria
helicobacter trogontum,50960,TRUE,Helicobacter trogontum,Helicobacter,Helicobacteraceae,Campylobacterales,Epsilonproteobacteria,bacteria
helicobacter typhlonius,76936,TRUE,Helicobacter typhlonius,Helicobacter,Helicobacteraceae,Campylobacterales,Epsilonproteobacteria,bacteria
herminiimonas saxobsidens,427333,TRUE,Herminiimonas saxobsidens,Herminiimonas,Oxalobacteraceae,Burkholderiales,Betaproteobacteria,bacteria
hungatella hathewayi,154046,TRUE,Hungatella hathewayi,Hungatella,Clostridiaceae,Eubacteriales,Clostridia,bacteria
ignatzschineria indica,472583,TRUE,Ignatzschineria indica,Ignatzschineria,NA,NA,Gammaproteobacteria,bacteria
ignatzschineria larvae,112009,TRUE,Ignatzschineria larvae,Ignatzschineria,NA,NA,Gammaproteobacteria,bacteria
inquilinus limosus,171674,TRUE,Inquilinus limosus,Inquilinus,Rhodospirillaceae,Rhodospirillales,Alphaproteobacteria,bacteria
janibacter anophelis,319054,TRUE,Janibacter anophelis,Janibacter,Intrasporangiaceae,Micrococcales,Actinomycetia,bacteria
janibacter melonis,262209,TRUE,Janibacter melonis,Janibacter,Intrasporangiaceae,Micrococcales,Actinomycetia,bacteria
johnsonella ignava,43995,TRUE,Johnsonella ignava,Johnsonella,Lachnospiraceae,Eubacteriales,Clostridia,bacteria
jonquetella anthropi,428712,TRUE,Jonquetella anthropi,Jonquetella,Synergistaceae,Synergistales,Synergistia,bacteria
kerstersia gyiorum,206506,TRUE,Kerstersia gyiorum,Kerstersia,Alcaligenaceae,Burkholderiales,Betaproteobacteria,bacteria
kerstersia similis,206505,TRUE,Kerstersia similis,Kerstersia,Alcaligenaceae,Burkholderiales,Betaproteobacteria,bacteria
kingella denitrificans,502,TRUE,Kingella denitrificans,Kingella,Neisseriaceae,Neisseriales,Betaproteobacteria,bacteria
kingella kingae,504,TRUE,Kingella kingae,Kingella,Neisseriaceae,Neisseriales,Betaproteobacteria,bacteria
