VirusOriginal,VirusTaxID,VirusNCBIResolved,Virus,VirusGenus,VirusFamily,VirusOrder,VirusClass
giardia muris,5742,TRUE,Giardia muris,Giardia,Hexamitidae,Diplomonadida,NA
leishmania major,5664,TRUE,Leishmania major,Leishmania,Trypanosomatidae,Trypanosomatida,Kinetoplastea
yellow fever virus,11089,TRUE,Yellow fever virus,Flavivirus,Flaviviridae,Amarillovirales,Flasuviricetes
hamster polyomavirus,1891729,TRUE,Mesocricetus auratus polyomavirus 1,Alphapolyomavirus,Polyomaviridae,Sepolyvirales,Papovaviricetes
helicobacter mesocricetorum,87012,TRUE,Helicobacter mesocricetorum,Helicobacter,Helicobacteraceae,Campylobacterales,Epsilonproteobacteria
hymenolepis nana,102285,TRUE,Rodentolepis nana,Rodentolepis,Hymenolepididae,Cyclophyllidea,Cestoda
metascardovia criceti,356828,TRUE,Alloscardovia criceti,Alloscardovia,Bifidobacteriaceae,Bifidobacteriales,Actinomycetia
minute virus of mice,1511908,TRUE,Rodent protoparvovirus 1,Protoparvovirus,Parvoviridae,Piccovirales,Quintoviricetes
angiostrongylus costaricensis,334426,TRUE,Angiostrongylus costaricensis,Angiostrongylus,Angiostrongylidae,Strongylida,Chromadorea
aspiculuris tetraptera,451377,TRUE,Aspiculuris tetraptera,Aspiculuris,Heteroxynematidae,Rhabditida,Chromadorea
babesia rodhaini,5870,TRUE,Babesia rodhaini,Babesia,Babesiidae,Piroplasmida,Aconoidasida
chlamydia muridarum,83560,TRUE,Chlamydia muridarum,Chlamydia,Chlamydiaceae,Chlamydiales,Chlamydiia
dengue virus,12637,TRUE,Dengue virus,Flavivirus,Flaviviridae,Amarillovirales,Flasuviricetes
dobrava-belgrade virus,1980467,TRUE,Dobrava-Belgrade orthohantavirus,Orthohantavirus,Hantaviridae,Bunyavirales,Ellioviricetes
ectromelia virus,12643,TRUE,Ectromelia virus,Orthopoxvirus,Poxviridae,Chitovirales,Pokkesviricetes
eimeria falciformis,84963,TRUE,Eimeria falciformis,Eimeria,Eimeriidae,Eucoccidiorida,Conoidasida
eimeria vermiformis,326035,TRUE,Eimeria vermiformis,Eimeria,Eimeriidae,Eucoccidiorida,Conoidasida
encephalomyocarditis virus,1821749,TRUE,Cardiovirus A,Cardiovirus,Picornaviridae,Picornavirales,Pisoniviricetes
enterorhabdus caecimuris,671266,TRUE,Adlercreutzia caecimuris,Adlercreutzia,Eggerthellaceae,Eggerthellales,Coriobacteriia
hantaan virus,1980471,TRUE,Hantaan orthohantavirus,Orthohantavirus,Hantaviridae,Bunyavirales,Ellioviricetes
helicobacter bilis,37372,TRUE,Helicobacter bilis,Helicobacter,Helicobacteraceae,Campylobacterales,Epsilonproteobacteria
heligmosomoides polygyrus,6339,TRUE,Heligmosomoides polygyrus,Heligmosomoides,Heligmosomatidae,Strongylida,Chromadorea
hepatitis c virus,11103,TRUE,Hepacivirus C,Hepacivirus,Flaviviridae,Amarillovirales,Flasuviricetes
human parainfluenza virus 1,12730,TRUE,Human respirovirus 1,Respirovirus,Paramyxoviridae,Mononegavirales,Monjiviricetes
lactate dehydrogenase-elevating virus,2499678,TRUE,Gammaarterivirus lacdeh,Gammaarterivirus,Arteriviridae,Nidovirales,Pisoniviricetes
lactobacillus murinus,1622,TRUE,Ligilactobacillus murinus,Ligilactobacillus,Lactobacillaceae,Lactobacillales,Bacilli
langat virus,11085,TRUE,Langat virus,Flavivirus,Flaviviridae,Amarillovirales,Flasuviricetes
mouse mammary tumor virus,11757,TRUE,Mouse mammary tumor virus,Betaretrovirus,Retroviridae,Ortervirales,Revtraviricetes
mouse parvovirus 1,1511908,TRUE,Rodent protoparvovirus 1,Protoparvovirus,Parvoviridae,Piccovirales,Quintoviricetes
murid herpesvirus 1,10366,TRUE,Murid betaherpesvirus 1,Muromegalovirus,Herpesviridae,Herpesvirales,Herviviricetes
murid herpesvirus 4,33708,TRUE,Murid gammaherpesvirus 4,Rhadinovirus,Herpesviridae,Herpesvirales,Herviviricetes
murine adenovirus a,129956,TRUE,Murine mastadenovirus A,Mastadenovirus,Adenoviridae,Rowavirales,Tectiliviricetes
murine coronavirus,694005,TRUE,Murine coronavirus,Betacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
murine polyomavirus,1891730,TRUE,Mus musculus polyomavirus 1,Alphapolyomavirus,Polyomaviridae,Sepolyvirales,Papovaviricetes
plasmodium berghei,5821,TRUE,Plasmodium berghei,Plasmodium,Plasmodiidae,Haemosporida,Aconoidasida
plasmodium yoelii,5861,TRUE,Plasmodium yoelii,Plasmodium,Plasmodiidae,Haemosporida,Aconoidasida
rickettsia akari,786,TRUE,Rickettsia akari,Rickettsia,Rickettsiaceae,Rickettsiales,Alphaproteobacteria
sendai virus,11191,TRUE,Murine respirovirus,Respirovirus,Paramyxoviridae,Mononegavirales,Monjiviricetes
syphacia obvelata,412127,TRUE,Syphacia obvelata,Syphacia,Oxyuridae,Rhabditida,Chromadorea
trichuris muris,70415,TRUE,Trichuris muris,Trichuris,Trichuridae,Trichinellida,Enoplea
babesia muratovi,196496,TRUE,Babesia muratovi,Babesia,Babesiidae,Piroplasmida,Aconoidasida
bacteroides sartorii,671267,TRUE,Phocaeicola sartorii,Phocaeicola,NA,Bacteroidales,Bacteroidia
bacteroides uniformis,820,TRUE,Bacteroides uniformis,Bacteroides,Bacteroidaceae,Bacteroidales,Bacteroidia
brachyspira muris,797080,TRUE,Brachyspira muris,Brachyspira,Brachyspiraceae,Brachyspirales,Spirochaetia
chaetomidium cephalothecoides,669018,TRUE,Chaetomidium cephalothecoides,Chaetomidium,Chaetomiaceae,Sordariales,Sordariomycetes
clostridium innocuum,1522,TRUE,[Clostridium] innocuum,Erysipelatoclostridium,Erysipelotrichaceae,Erysipelotrichales,Erysipelotrichia
erysipelothrix muris,380638,TRUE,Erysipelothrix muris,Erysipelothrix,Erysipelotrichaceae,Erysipelotrichales,Erysipelotrichia
helicobacter hepaticus,32025,TRUE,Helicobacter hepaticus,Helicobacter,Helicobacteraceae,Campylobacterales,Epsilonproteobacteria
hymenolepis microstoma,85433,TRUE,Hymenolepis microstoma,Hymenolepis,Hymenolepididae,Cyclophyllidea,Cestoda
hyphopichia burtonii,717740,TRUE,Hyphopichia burtonii,Hyphopichia,Debaryomycetaceae,Saccharomycetales,Saccharomycetes
marburg marburgvirus,11269,TRUE,Marburg marburgvirus,Marburgvirus,Filoviridae,Mononegavirales,Monjiviricetes
liao ning virus,246280,TRUE,Liao ning virus,Seadornavirus,Reoviridae,Reovirales,Resentoviricetes
murine pneumonia virus,11263,TRUE,Murine orthopneumovirus,Orthopneumovirus,Pneumoviridae,Mononegavirales,Monjiviricetes
ochrobactrum intermedium,94625,TRUE,Brucella intermedia,Brucella,Brucellaceae,Hyphomicrobiales,Alphaproteobacteria
parabacteroides goldsteinii,328812,TRUE,Parabacteroides goldsteinii,Parabacteroides,Tannerellaceae,Bacteroidales,Bacteroidia
pneumocystis murina,263815,TRUE,Pneumocystis murina,Pneumocystis,Pneumocystidaceae,Pneumocystidales,Pneumocystidomycetes
rodentolepis fraterna,911537,TRUE,Rodentolepis fraterna,Rodentolepis,Hymenolepididae,Cyclophyllidea,Cestoda
severe acute respiratory syndrome coronavirus,694009,TRUE,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,Nidovirales,Pisoniviricetes
helicobacter mustelae,217,TRUE,Helicobacter mustelae,Helicobacter,Helicobacteraceae,Campylobacterales,Epsilonproteobacteria
pseudomonas luteola,47886,TRUE,Pseudomonas luteola,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria
arthroderma gypseum,NA,FALSE,arthroderma gypseum,NA,NA,NA,NA
cottontail rabbit papillomavirus,10623,TRUE,Kappapapillomavirus 2,Kappapapillomavirus,Papillomaviridae,Zurhausenvirales,Papovaviricetes
eimeria coecicola,471281,TRUE,Eimeria coecicola,Eimeria,Eimeriidae,Eucoccidiorida,Conoidasida
eimeria exigua,484791,TRUE,Eimeria exigua,Eimeria,Eimeriidae,Eucoccidiorida,Conoidasida
eimeria intestinalis,471278,TRUE,Eimeria intestinalis,Eimeria,Eimeriidae,Eucoccidiorida,Conoidasida
eimeria irresidua,484792,TRUE,Eimeria irresidua,Eimeria,Eimeriidae,Eucoccidiorida,Conoidasida
eimeria magna,471282,TRUE,Eimeria magna,Eimeria,Eimeriidae,Eucoccidiorida,Conoidasida
eimeria media,471279,TRUE,Eimeria media,Eimeria,Eimeriidae,Eucoccidiorida,Conoidasida
eimeria perforans,471283,TRUE,Eimeria perforans,Eimeria,Eimeriidae,Eucoccidiorida,Conoidasida
eimeria piriformis,471280,TRUE,Eimeria piriformis,Eimeria,Eimeriidae,Eucoccidiorida,Conoidasida
eimeria stiedai,471275,TRUE,Eimeria stiedai,Eimeria,Eimeriidae,Eucoccidiorida,Conoidasida
graphidium strigosum,108472,TRUE,Graphidium strigosum,Graphidium,Haemonchidae,Strongylida,Chromadorea
leporid herpesvirus 4,481315,TRUE,Leporid alphaherpesvirus 4,Simplexvirus,Herpesviridae,Herpesvirales,Herviviricetes
lysinibacillus sphaericus,1421,TRUE,Lysinibacillus sphaericus,Lysinibacillus,Bacillaceae,Bacillales,Bacilli
mosgovoyia pectinata,160006,TRUE,Mosgovoyia pectinata,Mosgovoyia,Anoplocephalidae,Cyclophyllidea,Cestoda
myxoma virus,10273,TRUE,Myxoma virus,Leporipoxvirus,Poxviridae,Chitovirales,Pokkesviricetes
neoctenotaenia ctenoides,227337,TRUE,Neoctenotaenia ctenoides,Neoctenotaenia,Anoplocephalidae,Cyclophyllidea,Cestoda
passalurus ambiguus,451380,TRUE,Passalurus ambiguus,Passalurus,Oxyuridae,Rhabditida,Chromadorea
podospora anserina,2587412,TRUE,Podospora anserina,Podospora,Chaetomiaceae,Sordariales,Sordariomycetes
rabbit hemorrhagic disease virus,11976,TRUE,Rabbit hemorrhagic disease virus,Lagovirus,Caliciviridae,Picornavirales,Pisoniviricetes
trichostrongylus retortaeformis,40350,TRUE,Trichostrongylus retortaeformis,Trichostrongylus,Trichostrongylidae,Strongylida,Chromadorea
andrya cuniculi,140450,TRUE,Andrya cuniculi,Andrya,Anoplocephalidae,Cyclophyllidea,Cestoda
bacillus amyloliquefaciens,1390,TRUE,Bacillus amyloliquefaciens,Bacillus,Bacillaceae,Bacillales,Bacilli
bartonella alsatica,52764,TRUE,Bartonella alsatica,Bartonella,Bartonellaceae,Hyphomicrobiales,Alphaproteobacteria
campylobacter cuniculorum,374106,TRUE,Campylobacter cuniculorum,Campylobacter,Campylobacteraceae,Campylobacterales,Epsilonproteobacteria
chaetomidium trichorobustum,669025,TRUE,Chaetomidium trichorobustum,Chaetomidium,Chaetomiaceae,Sordariales,Sordariomycetes
cryptosporidium cuniculus,564424,TRUE,Cryptosporidium cuniculus,Cryptosporidium,Cryptosporidiidae,Eucoccidiorida,Conoidasida
eimeria flavescens,471277,TRUE,Eimeria flavescens,Eimeria,Eimeriidae,Eucoccidiorida,Conoidasida
eimeria vejdovskyi,471284,TRUE,Eimeria vejdovskyi,Eimeria,Eimeriidae,Eucoccidiorida,Conoidasida
malassezia cuniculi,948313,TRUE,Malassezia cuniculi,Malassezia,Malasseziaceae,Malasseziales,Malasseziomycetes
nematodiroides zembrae,126394,TRUE,Nematodiroides zembrae,Nematodiroides,Molineidae,Strongylida,Chromadorea
pneumocystis oryctolagi,42067,TRUE,Pneumocystis oryctolagi,Pneumocystis,Pneumocystidaceae,Pneumocystidales,Pneumocystidomycetes
providencia vermicola,333965,TRUE,Providencia vermicola,Providencia,Morganellaceae,Enterobacterales,Gammaproteobacteria
rabbit fibroma virus,10271,TRUE,Rabbit fibroma virus,Leporipoxvirus,Poxviridae,Chitovirales,Pokkesviricetes
rabbit picobirnavirus,104395,TRUE,Rabbit picobirnavirus,Picobirnavirus,Picobirnaviridae,Durnavirales,Duplopiviricetes
actinobacillus seminis,722,TRUE,Actinobacillus seminis,Actinobacillus,Pasteurellaceae,Pasteurellales,Gammaproteobacteria
aeromonas sobria,646,TRUE,Aeromonas sobria,Aeromonas,Aeromonadaceae,Aeromonadales,Gammaproteobacteria
aggregatibacter actinomycetemcomitans,714,TRUE,Aggregatibacter actinomycetemcomitans,Aggregatibacter,Pasteurellaceae,Pasteurellales,Gammaproteobacteria
avitellina centripunctata,1141744,TRUE,Avitellina centripunctata,Avitellina,Anoplocephalidae,Cyclophyllidea,Cestoda
bordetella parapertussis,519,TRUE,Bordetella parapertussis,Bordetella,Alcaligenaceae,Burkholderiales,Betaproteobacteria
dasytricha ruminantium,40806,TRUE,Dasytricha ruminantium,Dasytricha,Isotrichidae,Vestibuliferida,Litostomatea
eimeria ahsata,155206,TRUE,Eimeria ahsata,Eimeria,Eimeriidae,Eucoccidiorida,Conoidasida
eimeria crandallis,42768,TRUE,Eimeria crandallis,Eimeria,Eimeriidae,Eucoccidiorida,Conoidasida
eimeria ovinoidalis,42767,TRUE,Eimeria ovinoidalis,Eimeria,Eimeriidae,Eucoccidiorida,Conoidasida
enoploplastron triloricatum,358019,TRUE,Enoploplastron triloricatum,Enoploplastron,Ophryoscolecidae,Entodiniomorphida,Litostomatea
entodinium bursa,358014,TRUE,Entodinium bursa,Entodinium,Ophryoscolecidae,Entodiniomorphida,Litostomatea
entodinium caudatum,47911,TRUE,Entodinium caudatum,Entodinium,Ophryoscolecidae,Entodiniomorphida,Litostomatea
eudiplodinium maggii,47892,TRUE,Eudiplodinium maggii,Eudiplodinium,Ophryoscolecidae,Entodiniomorphida,Litostomatea
isotricha intestinalis,47897,TRUE,Isotricha intestinalis,Isotricha,Isotrichidae,Vestibuliferida,Litostomatea
moraxella ovis,29433,TRUE,Moraxella ovis,Moraxella,Moraxellaceae,Pseudomonadales,Gammaproteobacteria
nematodirus filicollis,61840,TRUE,Nematodirus filicollis,Nematodirus,Molineidae,Strongylida,Chromadorea
ovine papillomavirus 1,56144,TRUE,Deltapapillomavirus 3,Deltapapillomavirus,Papillomaviridae,Zurhausenvirales,Papovaviricetes
polyplastron multivesiculatum,47894,TRUE,Polyplastron multivesiculatum,Polyplastron,Ophryoscolecidae,Entodiniomorphida,Litostomatea
porphyromonas gingivalis,837,TRUE,Porphyromonas gingivalis,Porphyromonas,Porphyromonadaceae,Bacteroidales,Bacteroidia
prevotella ruminicola,839,TRUE,Prevotella ruminicola,Prevotella,Prevotellaceae,Bacteroidales,Bacteroidia
psychrobacter pulmonis,228654,TRUE,Psychrobacter pulmonis,Psychrobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria
sarcocystis arieticanis,5815,TRUE,Sarcocystis arieticanis,Sarcocystis,Sarcocystidae,Eucoccidiorida,Conoidasida
stilesia hepatica,NA,FALSE,stilesia hepatica,NA,NA,NA,NA
trichostrongylus falculatus,NA,FALSE,trichostrongylus falculatus,NA,NA,NA,NA
wolinella succinogenes,844,TRUE,Wolinella succinogenes,Wolinella,Helicobacteraceae,Campylobacterales,Epsilonproteobacteria
actinomyces hyovaginalis,29316,TRUE,Schaalia hyovaginalis,Schaalia,Actinomycetaceae,Actinomycetales,Actinomycetia
calicophoron daubneyi,300641,TRUE,Calicophoron daubneyi,Calicophoron,Paramphistomidae,Plagiorchiida,Trematoda
campylobacter lanienae,75658,TRUE,Campylobacter lanienae,Campylobacter,Campylobacteraceae,Campylobacterales,Epsilonproteobacteria
conidiobolus lamprauges,90250,TRUE,Conidiobolus lamprauges,Conidiobolus,Ancylistaceae,Entomophthorales,Entomophthoromycetes
entodinium dubardi,358013,TRUE,Entodinium dubardi,Entodinium,Ophryoscolecidae,Entodiniomorphida,Litostomatea
entodinium furca,358010,TRUE,Entodinium furca,Entodinium,Ophryoscolecidae,Entodiniomorphida,Litostomatea
entodinium nanellum,358015,TRUE,Entodinium nanellum,Entodinium,Ophryoscolecidae,Entodiniomorphida,Litostomatea
eremoplastron dilobum,358030,TRUE,Eremoplastron dilobum,Eremoplastron,Ophryoscolecidae,Entodiniomorphida,Litostomatea
eremoplastron neglectum,358031,TRUE,Eremoplastron neglectum,Eremoplastron,Ophryoscolecidae,Entodiniomorphida,Litostomatea
eremoplastron rostratum,358025,TRUE,Eremoplastron rostratum,Eremoplastron,Ophryoscolecidae,Entodiniomorphida,Litostomatea
eubacterium albensis,78273,TRUE,Eubacterium albensis,Eubacterium,Eubacteriaceae,Eubacteriales,Clostridia
eubacterium cellulosolvens,29322,TRUE,[Eubacterium] cellulosolvens,Eubacterium,Eubacteriaceae,Eubacteriales,Clostridia
howardella ureilytica,404403,TRUE,Howardella ureilytica,Howardella,NA,Eubacteriales,Clostridia
listeria seeligeri,1640,TRUE,Listeria seeligeri,Listeria,Listeriaceae,Bacillales,Bacilli
mannheimia ruminalis,85403,TRUE,Mannheimia ruminalis,Mannheimia,Pasteurellaceae,Pasteurellales,Gammaproteobacteria
neocallimastix hurleyensis,101835,TRUE,Neocallimastix hurleyensis,Neocallimastix,Neocallimastigaceae,Neocallimastigales,Neocallimastigomycetes
ophryoscolex caudatus,358021,TRUE,Ophryoscolex caudatus,Ophryoscolex,Ophryoscolecidae,Entodiniomorphida,Litostomatea
ovine astrovirus,1239577,TRUE,Mamastrovirus 13,Mamastrovirus,Astroviridae,Stellavirales,Stelpaviricetes
prevotella brevis,83231,TRUE,Prevotella brevis,Prevotella,Prevotellaceae,Bacteroidales,Bacteroidia
pyrenochaetopsis leptospora,798152,TRUE,Pyrenochaetopsis leptospora,Pyrenochaetopsis,Pyrenochaetopsidaceae,Pleosporales,Dothideomycetes
theileria luwenshuni,540482,TRUE,Theileria luwenshuni,Theileria,Theileriidae,Piroplasmida,Aconoidasida
theileria uilenbergi,507731,TRUE,Theileria uilenbergi,Theileria,Theileriidae,Piroplasmida,Aconoidasida
trichostrongylus rugatus,53331,TRUE,Trichostrongylus rugatus,Trichostrongylus,Trichostrongylidae,Strongylida,Chromadorea
besnoitia tarandi,279368,TRUE,Besnoitia tarandi,Besnoitia,Sarcocystidae,Eucoccidiorida,Conoidasida
cervid herpesvirus 2,365327,TRUE,Cervid alphaherpesvirus 2,Varicellovirus,Herpesviridae,Herpesvirales,Herviviricetes
elaphostrongylus rangiferi,192631,TRUE,Elaphostrongylus rangiferi,Elaphostrongylus,Protostrongylidae,Strongylida,Chromadorea
ostertagia gruehneri,106944,TRUE,Ostertagia gruehneri,Ostertagia,Haemonchidae,Strongylida,Chromadorea
eubacterium rangiferina,469803,TRUE,Eubacterium rangiferina,Eubacterium,Eubacteriaceae,Eubacteriales,Clostridia
marshallagia occidentalis,146285,TRUE,Marshallagia occidentalis,Marshallagia,Haemonchidae,Strongylida,Chromadorea
parelaphostrongylus andersoni,192632,TRUE,Parelaphostrongylus andersoni,Parelaphostrongylus,Protostrongylidae,Strongylida,Chromadorea
sarcocystis rangi,425659,TRUE,Sarcocystis rangi,Sarcocystis,Sarcocystidae,Eucoccidiorida,Conoidasida
sarcocystis tarandivulpes,425660,TRUE,Sarcocystis tarandivulpes,Sarcocystis,Sarcocystidae,Eucoccidiorida,Conoidasida
andes virus,1980456,TRUE,Andes orthohantavirus,Orthohantavirus,Hantaviridae,Bunyavirales,Ellioviricetes
bifidobacterium animalis,28025,TRUE,Bifidobacterium animalis,Bifidobacterium,Bifidobacteriaceae,Bifidobacteriales,Actinomycetia
moniliformis moniliformis,10237,TRUE,Moniliformis moniliformis,Moniliformis,Moniliformidae,Moniliformida,Archiacanthocephala
murid herpesvirus 2,28304,TRUE,Murid betaherpesvirus 2,Muromegalovirus,Herpesviridae,Herpesvirales,Herviviricetes
paragonimus iloktsuenensis,62813,TRUE,Paragonimus iloktsuenensis,Paragonimus,Troglotrematidae,Plagiorchiida,Trematoda
pneumocystis wakefieldiae,38082,TRUE,Pneumocystis wakefieldiae,Pneumocystis,Pneumocystidaceae,Pneumocystidales,Pneumocystidomycetes
sarcocystis singaporensis,137008,TRUE,Sarcocystis singaporensis,Sarcocystis,Sarcocystidae,Eucoccidiorida,Conoidasida
strongyloides ratti,34506,TRUE,Strongyloides ratti,Strongyloides,Strongyloididae,Rhabditida,Chromadorea
strongyloides venezuelensis,75913,TRUE,Strongyloides venezuelensis,Strongyloides,Strongyloididae,Rhabditida,Chromadorea
syphacia muris,451379,TRUE,Syphacia muris,Syphacia,Oxyuridae,Rhabditida,Chromadorea
trypanosoma lewisi,5695,TRUE,Trypanosoma lewisi,Trypanosoma,Trypanosomatidae,Trypanosomatida,Kinetoplastea
aphanoascus terreus,121129,TRUE,Keratinophyton terreum,Keratinophyton,Onygenaceae,Onygenales,Eurotiomycetes
arachniotus littoralis,166392,TRUE,Gymnascella littoralis,Gymnascella,Gymnoascaceae,Onygenales,Eurotiomycetes
bartonella queenslandensis,481138,TRUE,Bartonella queenslandensis,Bartonella,Bartonellaceae,Hyphomicrobiales,Alphaproteobacteria
bartonella tribocorum,85701,TRUE,Bartonella tribocorum,Bartonella,Bartonellaceae,Hyphomicrobiales,Alphaproteobacteria
blastocystis ratti,82344,TRUE,Blastocystis ratti,Blastocystis,Blastocystidae,Opalinata,Bigyra
brachyspira muridarum,797079,TRUE,Brachyspira muridarum,Brachyspira,Brachyspiraceae,Brachyspirales,Spirochaetia
brachyspira rattus,797076,TRUE,Brachyspira rattus,Brachyspira,Brachyspiraceae,Brachyspirales,Spirochaetia
euparyphium albuferensis,231587,TRUE,Euparyphium albuferensis,Euparyphium,Echinostomatidae,Plagiorchiida,Trematoda
leptospira licerasiae,447106,TRUE,Leptospira licerasiae,Leptospira,Leptospiraceae,Leptospirales,Spirochaetia
ljungan virus,1803957,TRUE,Parechovirus B,Parechovirus,Picornaviridae,Picornavirales,Pisoniviricetes
mycoplasma arthritidis,2111,TRUE,Mycoplasma arthritidis,Mycoplasma,Mycoplasmataceae,Mycoplasmatales,Mollicutes
streptococcus orisratti,114652,TRUE,Streptococcus orisratti,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli
brucella neotomae,29460,TRUE,Brucella neotomae,Brucella,Brucellaceae,Hyphomicrobiales,Alphaproteobacteria
yersinia aleksiciae,263819,TRUE,Yersinia aleksiciae,Yersinia,Yersiniaceae,Enterobacterales,Gammaproteobacteria
leishmania turanica,62297,TRUE,Leishmania turanica,Leishmania,Trypanosomatidae,Trypanosomatida,Kinetoplastea
myroides odoratus,256,TRUE,Myroides odoratus,Myroides,Flavobacteriaceae,Flavobacteriales,Flavobacteriia
canary circovirus,142661,TRUE,Canary circovirus,Circovirus,Circoviridae,Cirlivirales,Arfiviricetes
cryptosporidium struthionis,272794,TRUE,Cryptosporidium struthionis,Cryptosporidium,Cryptosporidiidae,Eucoccidiorida,Conoidasida
entamoeba struthionis,234593,TRUE,Entamoeba struthionis,Entamoeba,Entamoebidae,Mastigamoebida,NA
libyostrongylus douglassi,108473,TRUE,Libyostrongylus douglassi,Libyostrongylus,Cooperiidae,Strongylida,Chromadorea
riemerella columbina,103810,TRUE,Riemerella columbina,Riemerella,Weeksellaceae,Flavobacteriales,Flavobacteriia
actinobacillus minor,51047,TRUE,Actinobacillus minor,Actinobacillus,Pasteurellaceae,Pasteurellales,Gammaproteobacteria
actinobacillus porcitonsillarum,189834,TRUE,Actinobacillus porcitonsillarum,Actinobacillus,Pasteurellaceae,Pasteurellales,Gammaproteobacteria
actinobaculum suis,1657,TRUE,Actinobaculum suis,Actinobaculum,Actinomycetaceae,Actinomycetales,Actinomycetia
african swine fever virus,10497,TRUE,African swine fever virus,Asfivirus,Asfarviridae,Asfuvirales,Pokkesviricetes
allofustis seminis,166939,TRUE,Allofustis seminis,Allofustis,Carnobacteriaceae,Lactobacillales,Bacilli
arthroderma obtusum,119676,TRUE,Nannizzia nana,Nannizzia,Arthrodermataceae,Onygenales,Eurotiomycetes
ascaris lumbricoides,6252,TRUE,Ascaris lumbricoides,Ascaris,Ascarididae,Rhabditida,Chromadorea
ascarops strongylina,NA,FALSE,ascarops strongylina,NA,NA,NA,NA
bifidobacterium thermophilum,33905,TRUE,Bifidobacterium thermophilum,Bifidobacterium,Bifidobacteriaceae,Bifidobacteriales,Actinomycetia
campylobacter mucosalis,202,TRUE,Campylobacter mucosalis,Campylobacter,Campylobacteraceae,Campylobacterales,Epsilonproteobacteria
chlamydia suis,83559,TRUE,Chlamydia suis,Chlamydia,Chlamydiaceae,Chlamydiales,Chlamydiia
chlamydia trachomatis,813,TRUE,Chlamydia trachomatis,Chlamydia,Chlamydiaceae,Chlamydiales,Chlamydiia
cryptosporidium suis,396558,TRUE,Cryptosporidium suis,Cryptosporidium,Cryptosporidiidae,Eucoccidiorida,Conoidasida
cystoisospora suis,483139,TRUE,Cystoisospora suis,Cystoisospora,Sarcocystidae,Eucoccidiorida,Conoidasida
eimeria debliecki,2042491,TRUE,Eimeria debliecki,Eimeria,Eimeriidae,Eucoccidiorida,Conoidasida
eimeria scabra,130498,TRUE,Eimeria scabra,Eimeria,Eimeriidae,Eucoccidiorida,Conoidasida
enterococcus mundtii,53346,TRUE,Enterococcus mundtii,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli
fasciolopsis buski,27845,TRUE,Fasciolopsis buski,Fasciolopsis,Fasciolidae,Plagiorchiida,Trematoda
globocephalus urosubulatus,NA,FALSE,globocephalus urosubulatus,NA,NA,NA,NA
gnathostoma doloresi,279402,TRUE,Gnathostoma doloresi,Gnathostoma,Gnathostomatidae,Rhabditida,Chromadorea
haemophilus parasuis,738,TRUE,Glaesserella parasuis,Glaesserella,Pasteurellaceae,Pasteurellales,Gammaproteobacteria
helicobacter suis,104628,TRUE,Helicobacter suis,Helicobacter,Helicobacteraceae,Campylobacterales,Epsilonproteobacteria
enterovirus b,138949,TRUE,Enterovirus B,Enterovirus,Picornaviridae,Picornavirales,Pisoniviricetes
hyostrongylus rubidus,108470,TRUE,Hyostrongylus rubidus,Hyostrongylus,Haemonchidae,Strongylida,Chromadorea
lactobacillus acidophilus,1579,TRUE,Lactobacillus acidophilus,Lactobacillus,Lactobacillaceae,Lactobacillales,Bacilli
macracanthorhynchus hirudinaceus,1032456,TRUE,Macracanthorhynchus hirudinaceus,Macracanthorhynchus,Oligacanthorhynchidae,Oligacanthorhynchida,Archiacanthocephala
megasphaera elsdenii,907,TRUE,Megasphaera elsdenii,Megasphaera,Veillonellaceae,Veillonellales,Negativicutes
menangle virus,2560586,TRUE,Menangle pararubulavirus,Pararubulavirus,Paramyxoviridae,Mononegavirales,Monjiviricetes
metastrongylus confusus,55274,TRUE,Metastrongylus confusus,Metastrongylus,Metastrongylidae,Strongylida,Chromadorea
metastrongylus elongatus,1705085,TRUE,Metastrongylus apri,Metastrongylus,Metastrongylidae,Strongylida,Chromadorea
metastrongylus pudendotectus,55275,TRUE,Metastrongylus pudendotectus,Metastrongylus,Metastrongylidae,Strongylida,Chromadorea
metastrongylus salmi,55276,TRUE,Metastrongylus salmi,Metastrongylus,Metastrongylidae,Strongylida,Chromadorea
mycoplasma hyopneumoniae,2099,TRUE,Mycoplasma hyopneumoniae,Mycoplasma,Mycoplasmataceae,Mycoplasmatales,Mollicutes
mycoplasma hyorhinis,2100,TRUE,Mycoplasma hyorhinis,Mycoplasma,Mycoplasmataceae,Mycoplasmatales,Mollicutes
mycoplasma hyosynoviae,29559,TRUE,Mycoplasma hyosynoviae,Mycoplasma,Mycoplasmataceae,Mycoplasmatales,Mollicutes
mycoplasma suis,57372,TRUE,Mycoplasma suis,Mycoplasma,Mycoplasmataceae,Mycoplasmatales,Mollicutes
oesophagostomum dentatum,61180,TRUE,Oesophagostomum dentatum,Oesophagostomum,Chabertiidae,Strongylida,Chromadorea
oesophagostomum quadrispinulatum,61181,TRUE,Oesophagostomum quadrispinulatum,Oesophagostomum,Chabertiidae,Strongylida,Chromadorea
