Pathogen_Original,PathogenName_Harmonised,PathogenType,HumanInfective_Any,HumanInfective_EID2,HumanInfective_External,DiseaseAgent,IsZoonotic,InGIDEON,Disease_GIDEON,Route_GIDEON,AnimalReservoir_GIDEON,VectorBorne,Vector_GIDEON,InWertheim,Disease_Wertheim,AnimalReservoir_Taylor,UN_subregion,Countries_EID2Wertheim
proteus sp.,proteus sp.,bacteria/rickettsia,1,0,1,0,0,0,NA,NA,0,0,NA,0,NA,0,NA,NA
proteus vulgaris,proteus vulgaris,bacteria/rickettsia,1,1,1,1,1,1,urinary tract infection,endogenous,0,0,NA,0,NA,1,"Eastern Asia, Southern Asia, Southern Europe, Western Europe","IN,DE,IT,CN"
providencia stuartii,providencia stuartii,bacteria/rickettsia,1,1,1,0,1,0,NA,NA,0,0,NA,0,NA,1,"Eastern Asia, Eastern Europe, Southern Europe","HU,IT,CN"
pseudamphistomum truncatum,pseudamphistomum truncatum,helminth,1,0,1,0,1,0,NA,NA,0,0,NA,0,NA,1,NA,NA
pseudomonas aeruginosa,pseudomonas aeruginosa,bacteria/rickettsia,1,1,1,1,1,1,malignant otitis externa,NA,0,0,NA,0,NA,1,NA,NA
pseudomonas alcaligenes,pseudomonas alcaligenes,bacteria/rickettsia,1,1,1,1,0,1,various infections,environment,0,0,NA,0,NA,0,"Caribbean, Central America, Northern America, Eastern Asia, Southern Asia, Southern Europe","CN,HK,US,IN,BS,MX,IT"
pseudomonas fluorescens,pseudomonas fluorescens,bacteria/rickettsia,1,1,1,0,0,0,NA,NA,0,0,NA,0,NA,0,"Central America, South America, Northern America, Central Asia, Eastern Asia, Southern Asia, Eastern Europe, Northern Europe, Southern Europe, Western Europe, Australia and New Zealand","IR,PK,ES,DK,FR,AR,US,DE,MX,BE,CA,RU,BR,CN,JP,SK,GB,NZ,IN,SJ,IE,KG,AQ,KR,TW,NL,IT,CZ,HU,AT,BY"
pseudomonas putida,pseudomonas putida,bacteria/rickettsia,1,1,0,0,0,0,NA,NA,0,0,NA,0,NA,0,"Northern Africa, Caribbean, Central America, South America, Northern America, Eastern Asia, South-eastern Asia, Southern Asia, Eastern Europe, Northern Europe, Southern Europe, Western Europe","IR,BY,ES,NL,FR,AR,DE,MX,IT,EG,VN,KR,BO,CA,US,RU,CN,BR,JP,SK,GD,CH,GB,HR,IN,TW,TN,AT,AQ,HU,GR,CU,PK,BE,SG,UA,MY,UY,VE"
pseudomonas stutzeri,pseudomonas stutzeri,bacteria/rickettsia,1,1,1,0,0,0,NA,NA,0,0,NA,0,NA,0,"Northern Africa, South America, Northern America, Eastern Asia, South-eastern Asia, Southern Asia, Western Asia, Eastern Europe, Northern Europe, Southern Europe, Western Europe, Melanesia","IR,ES,DE,EG,FJ,BE,RU,US,JP,CN,TH,GB,IN,HR,DZ,GR,IL,PT,CO,IT,TW,HU,DK"
pseudoterranova decipiens,pseudoterranova decipiens,helminth,1,1,0,1,1,1,anisakiasis,food,1,0,NA,0,NA,0,"Northern America, Eastern Asia, Western Europe","JP,DE,AQ,CA,US"
psychrobacter phenylpyruvicus,psychrobacter phenylpyruvicus,bacteria/rickettsia,1,0,1,0,0,0,NA,NA,0,0,NA,0,NA,0,,
rabies lyssavirus,rabies,virus,1,1,1,1,1,1,rabies,"direct, bite",1,0,NA,1,rabies,1,NA,NA
rahnella aquatilis,rahnella aquatilis,bacteria/rickettsia,1,0,1,0,0,0,NA,NA,0,0,NA,0,NA,0,NA,NA
raillietina demerariensis,raillietina demerariensis,helminth,1,0,1,1,1,1,taeniasis,food,1,0,NA,0,NA,1,NA,NA
retortamonas intestinalis,retortamonas intestinalis,helminth,1,0,1,0,1,0,NA,NA,0,0,NA,0,NA,1,NA,NA
rhodococcus equi,rhodococcus equi,bacteria/rickettsia,1,1,1,1,1,1,rhodococcus equi infection,"direct, environment",1,0,NA,0,NA,1,NA,NA
rickettsia amblyommii,rickettsia amblyommii,bacteria/rickettsia,1,0,1,1,1,1,new world spotted fever,vector,1,1,"tick (Dermacentor, Amblyomma)",0,NA,0,NA,NA
rickettsia conorii,rickettsia conorii,bacteria/rickettsia,1,1,1,1,1,1,"astrakhan fever, israeli spotted fever",vector,1,1,"tick (rhipicephalus pumilio, rhipicephalus sanguineus)",1,astrakhan fever,1,NA,NA
rickettsia helvetica,rickettsia helvetica,bacteria/rickettsia,1,0,1,1,1,1,old world spotted fever,vector,1,1,tick (ixodes),0,NA,0,"Western Asia, Eastern Europe, Southern Europe, Western Europe","PL,CH,RO,CY,RS,IT,DE"
rickettsia rickettsii,rickettsia rickettsii,bacteria/rickettsia,1,1,1,1,1,1,rocky mountain spotted fever,vector,1,1,"tick (dermacentor, amblyomma)",1,rocky mountain spotted fever,1,"Central America, South America, Northern America, South-eastern Asia","US,MX,PA,CR,CO,BR,TH"
rickettsia slovaca,rickettsia slovaca,bacteria/rickettsia,1,1,1,1,1,1,spotted fever,vector,1,1,"tick (rhipicephalus sanguineus, hyalomma spp, boophilus spp, dermacentor spp)",0,NA,0,NA,NA
rickettsia sp.,rickettsia sp.,bacteria/rickettsia,1,1,1,0,0,0,NA,NA,0,0,NA,0,NA,0,NA,NA
rictularia sp.,rictularia sp.,helminth,1,0,1,1,1,1,thelaziasis,vector,1,1,"fly (musca, fannia)",0,NA,1,NA,NA
rift valley phlebovirus,rift valley,virus,1,1,1,1,1,1,rift valley fever,"vector, direct",1,1,"moquito (culex, aedes, anopheles, eretmapodites, mansonia, culicoides, coquillettidia spp.)",1,rift valley fever,1,NA,NA
rotavirus a,rotavirus a,virus,1,1,1,1,1,1,rotavirus infection,"water, fecal-oral",1,0,NA,0,NA,1,NA,NA
salmonella enterica,salmonella enterica,bacteria/rickettsia,1,1,1,1,1,1,salmonellosis,"direct, food, fecal-oral",1,0,NA,0,NA,0,NA,NA
sandfly fever naples phlebovirus,sandfly fever naples,virus,1,1,1,1,1,1,old world phlebovirus infection,vector,1,1,sandfly (phlebotomus),0,NA,1,NA,NA
sarcocystis hominis,sarcocystis hominis,protozoa,1,1,1,1,1,1,sarcocystosis,"food, water",1,0,NA,0,NA,0,"Eastern Asia, Southern Europe","CN,ES"
schistosoma haematobium,schistosoma haematobium,protozoa,1,1,1,1,1,1,schistosomiasis,"environment, water",1,0,NA,1,schistosomiasis,1,NA,NA
schistosoma japonicum,schistosoma japonicum,helminth,1,1,1,1,1,1,schistosomiasis,water,1,1,NA,1,schistosomiasis,1,"Eastern Asia, South-eastern Asia","CN,PH,ID,JP,TW"
schistosoma mansoni,schistosoma mansoni,protozoa,1,1,1,1,1,1,schistosomiasis,water,1,1,NA,1,schistosomiasis,1,NA,NA
schistosoma mattheei,schistosoma mattheei,helminth,1,1,0,1,1,1,schistosomiasis,water,1,0,NA,0,NA,1,Eastern Africa,ZM
semliki forest,semliki forest,virus,1,1,1,1,1,1,semliki forest fever (chikungunya-related),vector,1,1,"mosquito (Aedes spp., Aedes furcifer-taylori group)",0,NA,1,NA,NA
serratia liquefaciens,serratia liquefaciens,bacteria/rickettsia,1,1,0,0,0,0,NA,NA,0,0,NA,0,NA,0,"Eastern Asia, South-eastern Asia, Eastern Europe","MY,CN,RU"
serratia marcescens,serratia marcescens,bacteria/rickettsia,1,1,1,0,1,0,NA,NA,0,0,NA,0,NA,1,"Northern Africa, Western Africa, South America, Northern America, Eastern Asia, South-eastern Asia, Southern Asia, Western Asia, Eastern Europe, Northern Europe, Western Europe","TR,IR,IN,PK,NG,JP,GB,RU,PH,BR,US,CN,FR,TN,KR,VE,AT,TW,CA"
serratia sp.,serratia sp.,bacteria/rickettsia,1,0,1,0,0,0,NA,NA,0,0,NA,0,NA,0,NA,NA
setaria equina,setaria equina,helminth,1,0,1,0,1,0,NA,NA,0,0,NA,0,NA,1,NA,NA
shewanella putrefaciens,shewanella putrefaciens,bacteria/rickettsia,1,1,0,0,0,0,NA,NA,0,0,0,0,NA,0,"Northern America, Eastern Asia, Western Asia, Eastern Europe, Northern Europe, Southern Europe","HU,CN,GB,PT,IL,CA,TW"
shigella boydii,shigella boydii,bacteria/rickettsia,1,1,1,1,1,1,shigellosis,"fecal-oral, water, food, environment",1,0,NA,0,NA,1,"South America, Northern America, Eastern Asia, Northern Europe, Southern Europe","US,CN,BR,PT,GB"
shigella flexneri,shigella flexneri,bacteria/rickettsia,1,1,1,1,1,1,shigellosis,"fecal-oral, water, food, environment",1,0,NA,0,NA,1,"Northern Africa, Western Africa, South America, Northern America, Eastern Asia, Southern Asia, Eastern Europe, Northern Europe, Australia and New Zealand","BD,IN,CN,EG,US,GB,AU,BR,IR,RU,JP,TW,HK,NG,SN"
shigella sonnei,shigella sonnei,bacteria/rickettsia,1,1,1,1,1,1,shigellosis,"fecal-oral, water, food, environment",1,0,NA,0,NA,1,"Caribbean, Northern America, Eastern Asia, South-eastern Asia, Southern Asia, Western Asia, Eastern Europe, Northern Europe, Southern Europe","IN,JP,TH,US,GB,MY,HT,CN,IR,IT,TR,RU,HK,TW"
shigella sp.,shigella sp.,bacteria/rickettsia,1,1,1,1,1,1,shigellosis,"fecal-oral, water, food, environment",1,0,NA,0,NA,1,NA,NA
sindbis,sindbis,virus,1,1,1,1,1,1,"karelian fever, sindbis fever",vector,1,1,mosquito (culex univittatus and cx. tritaeniorhyncus),1,sindbis fever,1,NA,NA
spirocerca lupi,spirocerca lupi,helminth,1,1,1,0,1,0,NA,NA,0,0,NA,0,NA,1,NA,NA
spirometra erinaceieuropaei,spirometra erinaceieuropaei,helminth,1,1,0,1,1,1,sparganosis,"water, food",1,0,NA,0,NA,0,"Eastern Asia, South-eastern Asia, Australia and New Zealand","CN,JP,AU,SG,TH"
st. louis encephalitis,st. louis encephalitis,virus,1,1,1,1,1,1,st. louis encephalitis,vector,1,1,"mosquito (culex pipiens, cx. tarsalis, cx. nigripalpus, cx. restuans, cx. salinarius, aedes, sabethes)",0,NA,1,NA,NA
staphylococcus aureus,staphylococcus aureus,bacteria/rickettsia,1,1,1,1,1,1,multiple,variable,0,0,NA,0,NA,1,NA,NA
staphylococcus cohnii,staphylococcus cohnii,bacteria/rickettsia,1,1,0,0,0,0,NA,NA,0,0,NA,0,NA,0,"Eastern Asia, Southern Asia, Southern Europe, Western Europe","IN,CN,ES,PT,FR"
staphylococcus epidermidis,staphylococcus epidermidis,bacteria/rickettsia,1,1,1,0,1,0,NA,NA,0,0,NA,0,NA,1,"Northern Africa, Eastern Africa, Central America, South America, Northern America, Eastern Asia, South-eastern Asia, Southern Asia, Western Asia, Eastern Europe, Northern Europe, Southern Europe, Western Europe, Australia and New Zealand","KE,CH,CN,KR,US,AU,GB,JP,DE,MX,PT,NL,DK,HR,IN,KH,AT,IL,IT,BR,ES,PL,TR,TN,RO,MY,SA,TW,CA"
staphylococcus hyicus,staphylococcus hyicus,bacteria/rickettsia,1,0,1,0,1,0,NA,NA,0,0,NA,0,NA,1,"Eastern Asia, Southern Asia, Northern Europe","CN,IN,DK,SE"
staphylococcus intermedius,staphylococcus intermedius,bacteria/rickettsia,1,1,1,1,1,1,animal bite infection,"direct, bite",1,0,NA,0,NA,1,NA,NA
staphylococcus sciuri,staphylococcus sciuri,bacteria/rickettsia,1,1,0,0,0,0,NA,NA,0,0,NA,0,NA,0,"Northern Africa, Western Africa, South America, Eastern Asia, Southern Asia, Northern Europe, Southern Europe, Western Europe","BD,CN,KR,GB,DE,NG,IN,FR,AQ,RS,FI,MA,BR,DK"
staphylococcus sp.,staphylococcus sp.,bacteria/rickettsia,1,1,1,0,1,0,NA,NA,0,0,NA,0,NA,1,NA,NA
staphylococcus warneri,staphylococcus warneri,bacteria/rickettsia,1,1,1,0,1,0,NA,NA,0,0,NA,0,NA,1,"Northern Africa, Southern Asia, Western Asia, Eastern Europe, Northern Europe, Western Europe","HU,DE,IR,AQ,MA,IL,RO,NO"
stenotrophomonas maltophilia,stenotrophomonas maltophilia,bacteria/rickettsia,1,1,1,0,0,0,NA,NA,0,0,NA,0,NA,0,"Northern Africa, Caribbean, Central America, South America, Northern America, Eastern Asia, South-eastern Asia, Southern Asia, Western Asia, Eastern Europe, Northern Europe, Southern Europe, Western Europe","BG,IL,CN,MA,DE,GB,MX,MY,CZ,TW,PT,CL,PK,CO,IT,SK,KR,AR,IN,ES,BR,JP,RU,IR,DK,TN,US,HU,BS,GR"
streptococcus acidominimus,streptococcus acidominimus,bacteria/rickettsia,1,0,1,0,1,0,NA,NA,0,0,NA,0,NA,1,,
streptococcus agalactiae,streptococcus agalactiae,bacteria/rickettsia,1,1,1,0,1,0,NA,NA,0,0,NA,0,NA,1,"Eastern Africa, Middle Africa, Caribbean, South America, Northern America, Eastern Asia, South-eastern Asia, Southern Asia, Eastern Europe, Northern Europe, Southern Europe, Australia and New Zealand","CN,TW,RU,JP,AU,IR,TH,BR,IN,SE,AO,US,ZW,IT,CA,SG,HK,ES,GB,TT"
streptococcus canis,streptococcus canis,bacteria/rickettsia,1,1,1,0,1,0,NA,NA,0,0,NA,0,NA,1,"Northern America, Australia and New Zealand","US,AU"
streptococcus dysgalactiae,streptococcus dysgalactiae,bacteria/rickettsia,1,1,0,0,0,0,NA,NA,0,0,NA,0,NA,0,"South America, Northern America, Eastern Asia, South-eastern Asia, Southern Asia, Northern Europe, Southern Europe, Western Europe, Australia and New Zealand","AU,PT,GB,IR,US,JP,SE,TH,CH,BR,IN,CN,KR,CA"
streptococcus equi,streptococcus equi,bacteria/rickettsia,1,1,1,0,1,0,NA,NA,0,0,NA,0,NA,1,NA,NA
streptococcus equinus,streptococcus equinus,bacteria/rickettsia,1,1,0,0,0,0,NA,NA,0,0,NA,0,NA,0,"Northern America, Eastern Asia, Southern Europe, Western Europe","FR,CN,ES,US"
streptococcus mitis,streptococcus mitis,bacteria/rickettsia,1,0,1,0,0,0,NA,NA,0,0,NA,0,NA,0,,
streptococcus mutans,streptococcus mutans,bacteria/rickettsia,1,0,1,0,0,0,NA,NA,0,0,NA,0,NA,0,,
streptococcus pneumoniae,streptococcus pneumoniae,bacteria/rickettsia,1,1,1,1,1,1,pneumonia,respiratory,0,0,NA,0,NA,1,NA,NA
streptococcus pyogenes,streptococcus pyogenes,bacteria/rickettsia,1,1,1,1,1,1,various,various,0,0,NA,0,NA,1,NA,NA
streptococcus sanguinis,streptococcus sanguinis,bacteria/rickettsia,1,0,1,0,0,0,NA,NA,0,0,NA,0,NA,0,,
streptococcus sp.,streptococcus sp.,bacteria/rickettsia,1,1,1,0,1,0,NA,NA,0,0,NA,0,NA,1,NA,NA
streptococcus suis,streptococcus suis,bacteria/rickettsia,1,1,1,1,1,1,streptococcus suis infection,"airborne, fluids, direct, food",1,0,NA,0,NA,1,"Caribbean, Northern America, Eastern Asia, Eastern Europe, Northern Europe, Western Europe","CN,CA,GB,RU,CU,DK,BE,JP,FI,NL,HK"
streptococcus uberis,streptococcus uberis,bacteria/rickettsia,1,1,1,0,1,0,NA,NA,0,0,NA,0,NA,1,"Northern America, Southern Asia, Northern Europe, Western Europe, Australia and New Zealand","FR,US,AU,IR,DK,GB"
strongyloides fuelleborni,strongyloides fuelleborni,helminth,1,1,1,1,1,1,strongyloidiasis,"environment, sexual, direct",1,0,NA,0,NA,1,NA,NA
strongyloides papillosus,strongyloides papillosus,helminth,1,1,1,1,1,1,strongyloidiasis,"environment, sexual, direct",1,0,NA,0,NA,1,NA,NA
strongyloides stercoralis,strongyloides stercoralis,helminth,1,1,1,1,1,1,strongyloidiasis,"environment, sexual, direct",1,0,NA,0,NA,1,NA,NA
strongyloides westeri,strongyloides westeri,helminth,1,0,1,1,1,1,strongyloidiasis,"environment, sexual, direct",1,0,NA,0,NA,1,NA,NA
suid alphaherpesvirus 1,suid herpesvirus 1,virus,1,0,1,0,1,0,NA,NA,0,0,NA,0,NA,1,NA,NA
taenia crassiceps,taenia crassiceps,helminth,1,1,1,1,1,1,cysticercosis,"environment, fecal-oral, soil",1,0,NA,0,NA,1,NA,NA
taenia hydatigena,taenia hydatigena,helminth,1,0,1,0,0,0,NA,NA,0,0,NA,0,NA,0,NA,NA
taenia multiceps,taenia multiceps,helminth,1,1,0,1,1,1,corneurosis,"water, food, environment",1,0,NA,0,NA,0,"Eastern Asia, Western Asia, Northern Europe, Southern Europe","CN,GB,IT,TR"
taenia serialis,taenia serialis,helminth,1,1,0,1,1,1,corneurosis,"water, food, environment",1,0,NA,0,NA,0,"Eastern Africa, Northern America, Australia and New Zealand","KE,CA,AU,US"
taenia solium,taenia solium,helminth,1,1,1,1,1,1,cysticercosis,"environment, fecal-oral",1,0,NA,0,NA,0,NA,NA
tai forest ebolavirus,tai forest ebolavirus,virus,1,1,1,1,1,1,ebola,"direct, respiratory, environment, sexual",1,0,NA,1,ebola,0,NA,NA
teladorsagia circumcincta,teladorsagia circumcincta,helminth,1,1,0,0,1,0,NA,NA,0,0,NA,0,NA,1,"Northern America, Southern Asia, Western Asia, Northern Europe, Western Europe, Australia and New Zealand","IR,FR,NZ,GB,CY,US"
ternidens deminutus,ternidens deminutus,helminth,1,1,0,1,1,1,oesophagostomiasis,"food, environment, fecal-oral",1,0,NA,0,NA,1,Western Africa,GH
thelazia californiensis,thelazia californiensis,helminth,1,0,1,1,1,1,thelaziasis,vector,1,1,"fly (musca, fannia)",0,NA,1,NA,NA
thelazia callipaeda,thelazia callipaeda,helminth,1,1,1,1,1,1,thelaziasis,vector,1,1,"fly (musca, fannia)",0,NA,1,NA,NA
tick-borne encephalitis,tick-borne encephalitis,virus,1,1,1,1,1,1,tick-borne encephalitis,"vector, food",1,1,tick (ixodes ricinus),1,tick-borne encephalitis,0,NA,NA
toxascaris leonina,toxascaris leonina,helminth,1,1,1,0,1,0,NA,NA,0,0,NA,0,NA,1,NA,NA
toxocara canis,toxocara canis,helminth,1,1,1,1,1,1,toxocariasis,"food, environment",1,0,NA,0,NA,1,NA,NA
toxocara cati,toxocara cati,helminth,1,1,1,1,1,1,toxocariasis,"food, environment",1,0,NA,0,NA,1,NA,NA
toxoplasma gondii,toxoplasma gondii,protozoa,1,1,1,1,1,1,toxoplasmosis,"food, water, environment",1,0,NA,0,NA,1,NA,NA
toxoplasma sp.,toxoplasma sp.,protozoa,1,1,1,0,0,0,NA,NA,0,0,NA,0,NA,0,NA,NA
treponema pallidum,treponema pallidum,bacteria/rickettsia,1,1,1,1,1,1,yaws,"vector, direct, environment",1,1,insect,0,NA,0,NA,NA
treponema sp.,treponema sp.,bacteria/rickettsia,1,1,1,0,0,0,NA,NA,0,0,NA,0,NA,0,,
trichinella britovi,trichinella britovi,helminth,1,1,1,1,1,1,trichinosis,food,1,0,NA,0,NA,1,NA,NA
trichinella nativa,trichinella nativa,helminth,1,1,1,1,1,1,trichinosis,food,1,0,NA,0,NA,1,NA,NA
trichinella nelsoni,trichinella nelsoni,helminth,1,0,1,1,1,1,trichinosis,food,1,0,NA,0,NA,1,NA,NA
trichinella papuae,trichinella papuae,helminth,1,1,0,1,1,1,trichinosis,food,1,0,NA,0,NA,0,Melanesia,PG
trichinella pseudospiralis,trichinella pseudospiralis,helminth,1,1,1,1,1,1,trichinosis,food,1,0,NA,0,NA,1,NA,NA
trichinella spiralis,trichinella spiralis,helminth,1,1,1,1,1,1,trichinosis,food,1,0,NA,0,NA,1,NA,NA
trichostrongylus affinis,trichostrongylus affinis,helminth,1,0,1,1,1,1,trichostrongyliasis,"food, water, environment, direct",1,0,NA,0,NA,1,,
trichostrongylus axei,trichostrongylus axei,helminth,1,0,1,1,1,1,trichostrongyliasis,"food, water, environment, direct",1,0,NA,0,NA,1,NA,NA
trichostrongylus capricola,trichostrongylus capricola,helminth,1,0,1,1,1,1,trichostrongyliasis,"food, water, environment, direct",1,0,NA,0,NA,1,NA,NA
trichostrongylus colubriformis,trichostrongylus colubriformis,helminth,1,1,1,1,1,1,trichostrongyliasis,"food, water, environment, direct",1,0,NA,0,NA,1,NA,NA
trichostrongylus instabilis,trichostrongylus instabilis,helminth,1,0,1,0,0,0,NA,NA,0,0,NA,0,NA,0,NA,NA
trichostrongylus probolurus,trichostrongylus probolurus,helminth,1,0,1,1,1,1,trichostrongyliasis,"food, water, environment, direct",1,0,NA,0,NA,1,Eastern Europe,RU
trichostrongylus vitrinus,trichostrongylus vitrinus,helminth,1,0,1,1,1,1,trichostrongyliasis,"food, water, environment, direct",1,0,NA,0,NA,1,NA,NA
trichuris suis,trichuris suis,helminth,1,1,1,0,1,0,NA,NA,0,0,NA,0,NA,1,NA,NA
trichuris trichiura,trichuris trichiura,helminth,1,1,1,1,1,1,trichuriasis,environment,0,0,NA,0,NA,1,NA,NA
trichuris vulpis,trichuris vulpis,helminth,1,1,1,1,1,1,trichuriasis,environment,1,0,NA,0,NA,1,NA,NA
trypanosoma brucei,trypanosoma brucei,protozoa,1,1,1,1,1,1,african trypanosomiasis (sleeping sickness),vector,1,1,tsetse fly (glossina spp),1,sleeping sickness,1,NA,NA
trypanosoma cruzi,trypanosoma cruzi,protozoa,1,1,1,1,1,1,american trypanosomiasis,"vector, food",1,1,"triatome bug (panstrongylus,_rhodnius_and_triatomaspp.)",1,chagas disease,1,NA,NA
trypanosoma rangeli,trypanosoma rangeli,protozoa,1,1,0,1,1,1,american trypanosomiasis,"vector, food",1,1,"triatome bug (panstrongylus,_rhodnius_and_triatomaspp.)",0,NA,0,"Northern Africa, Central America, South America","SD,HN,BR,SV,CO,VE,PA"
unicinaria stenocephala,uncinaria stenocephala,helminth,1,1,1,1,1,1,cutaneous larva migrans,"soil, environment, direct",1,0,NA,0,NA,1,NA,NA
venezuelan equine encephalitis,venezuelan equine encephalitis,virus,1,1,1,1,1,1,venezuelan equine encephalitis,vector,1,1,"mosquito (culex_spp,_aedes taeniorhynchus,_psorophora confinnis,_anopheles spp)",1,venezuelan equine encephalitis,1,NA,NA
vibrio alginolyticus,vibrio alginolyticus,bacteria/rickettsia,1,1,1,1,1,1,marine vibrio infection,"food, water",1,0,NA,0,NA,1,"Northern Africa, Caribbean, Central America, South America, Eastern Asia, South-eastern Asia, Southern Asia, Western Asia, Southern Europe, Western Europe, Australia and New Zealand","IN,TW,KW,PH,MX,CO,PT,CN,FR,MA,CU,AU,JP"
vibrio cholerae,vibrio cholerae,bacteria/rickettsia,1,1,1,1,0,1,cholera,"water, fecal-oral, food",0,0,NA,0,NA,0,"Eastern Africa, Middle Africa, Southern Africa, Western Africa, Caribbean, Central America, South America, Northern America, Eastern Asia, South-eastern Asia, Southern Asia, Eastern Europe, Northern Europe, Southern Europe, Western Europe, Australia and New Zealand, Micronesia","IR,IN,VN,CN,GU,BD,KR,AR,RU,TZ,FR,MY,BR,US,ZA,DJ,MT,LA,HK,PE,HT,MX,KE,ID,CM,IT,AU,GW,SN,NG,ES,SG,PK,TH,TW,GT,GB,CD,MV"
vibrio fluvialis,vibrio fluvialis,bacteria/rickettsia,1,0,1,1,1,1,marine vibrio infection,"food, water",1,0,NA,0,NA,1,,
vibrio parahaemolyticus,vibrio parahaemolyticus,bacteria/rickettsia,1,1,1,1,1,1,vibrio parahaemolyticus infection,food,1,0,NA,0,NA,1,"Middle Africa, Western Africa, Caribbean, Central America, South America, Northern America, Eastern Asia, South-eastern Asia, Southern Asia, Western Asia, Southern Europe","BD,IN,AO,CL,TW,KW,MX,TH,BS,MY,US,CN,HK,SG,CU,SI,JP,VN,ES,TG,NG,MV,CA"
vibrio sp.,vibrio sp.,bacteria/rickettsia,1,0,1,1,1,1,vibrio infection,"water, food, direct",1,0,NA,0,NA,1,NA,NA
west nile,west nile,virus,1,1,1,1,1,1,west nile fever,"vector, fluids",1,1,"mosquito (culex univittatus. cx. pipiens, cx. vishnui, cx. naevei, coquillettidia, aedes and anopheles spp.)",1,west nile fever,1,NA,NA
western equine encephalitis,western equine encephalitis,virus,1,1,1,1,1,1,western equine encephalitis,vector,1,1,mosquito (culex tarsalis),1,western equine encephalitis,1,,
wuchereria bancrofti,wuchereria bancrofti,helminth,1,1,1,1,0,1,filariasis bancroftian,vector,0,1,"mosquito (anopheles, aedes, culex)",0,NA,0,"Eastern Africa, Western Africa, Caribbean, South America, Eastern Asia, South-eastern Asia, Southern Asia, Western Europe, Melanesia, Polynesia","IR,IN,GH,FR,BR,KE,MV,CN,TZ,TW,LK,PG,PF,PH,TT,HT,WS,SB,AS,TG"
yellow fever,yellow fever,virus,1,1,1,1,1,1,yellow fever,"vector, fluids",1,1,"mosquito (aedes, haemoagogus, sabethes)",1,yellow fever,1,NA,NA
yersinia enterocolitica,yersinia enterocolitica,bacteria/rickettsia,1,1,1,1,1,1,yersiniosis,"food, water, fecal-oral, blood",1,0,NA,0,NA,1,NA,NA
yersinia frederiksenii,yersinia frederiksenii,bacteria/rickettsia,1,1,1,1,1,1,yersiniosis,"food, water, fecal-oral, blood",1,0,NA,0,NA,1,NA,NA
yersinia intermedia,yersinia intermedia,bacteria/rickettsia,1,1,1,0,1,0,NA,NA,0,0,NA,0,NA,1,"Eastern Asia, Southern Asia, Eastern Europe","IN,CN,HU"
yersinia kristensenii,yersinia kristensenii,bacteria/rickettsia,1,0,1,1,1,1,yersiniosis,"food, water, fecal-oral, blood",1,0,NA,0,NA,1,NA,NA
yersinia mollaretii,yersinia mollaretii,bacteria/rickettsia,1,0,1,1,1,1,yersiniosis,"food, water, fecal-oral, blood",1,0,NA,0,NA,1,NA,NA
yersinia pestis,yersinia pestis,bacteria/rickettsia,1,1,1,1,1,1,plague,"vector, direct, respiratory",1,1,"flea (pulex, xenopsylla)",1,bubonic plague,1,NA,NA
yersinia pseudotuberculosis,yersinia pseudotuberculosis,bacteria/rickettsia,1,1,1,1,1,1,yersiniosis,"food, water, fecal-oral, blood",1,0,NA,0,NA,1,NA,NA
zaire ebolavirus,zaire ebolavirus,virus,1,1,1,1,1,1,ebola,"direct, food",1,0,NA,1,ebola,1,NA,NA
zika,zika,virus,1,1,1,1,1,1,zika fever,"vector, sexual",1,1,mosquito (Aedes spp.),1,zika fever,1,NA,NA
abbreviata sp.,abbreviata sp.,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
acanthocephalus anguillae,acanthocephalus anguillae,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
acanthocephalus ranae,acanthocephalus ranae,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
acanthocheilonema dracunculoides,acanthocheilonema dracunculoides,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
acanthocheilonema odendhali,acanthocheilonema odendhali,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
acanthocheilonema procyonis,acanthocheilonema procyonis,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
acanthocheilonema reconditum,acanthocheilonema reconditum,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
acanthocheilonema spirocauda,acanthocheilonema spirocauda,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
acinetobacter antiviralis,acinetobacter antiviralis,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
aelurostrongylus abstrusus,aelurostrongylus abstrusus,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
aelurostrongylus falciformis,aelurostrongylus falciformis,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
aelurostrongylus pridhami,aelurostrongylus pridhami,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
aelurostrongylus sp.,aelurostrongylus sp.,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
aerococcus sp.,aerococcus sp.,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
