Pathogen_Original,PathogenName_Harmonised,PathogenName_Harm2,PathogenType,HumanInfective_Any,HumanInfective_EID2,HumanInfective_External,DiseaseAgent,IsZoonotic,InGIDEON,Disease_GIDEON,Route_GIDEON,AnimalReservoir_GIDEON,VectorBorne,Vector_GIDEON,InWertheim,Disease_Wertheim,AnimalReservoir_Taylor,UN_subregion,Countries_EID2Wertheim
aelurostrongylus abstrusus,aelurostrongylus abstrusus,aelurostrongylus abstrusus,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
aelurostrongylus falciformis,aelurostrongylus falciformis,aelurostrongylus falciformis,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
aelurostrongylus pridhami,aelurostrongylus pridhami,aelurostrongylus pridhami,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
aelurostrongylus sp.,aelurostrongylus sp.,aelurostrongylus sp.,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
africanostrongylus buceros,africanostrongylus buceros,africanostrongylus buceros,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
agriostomum cursoni,agriostomum cursoni,agriostomum cursoni,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
agriostomum equidentatum,agriostomum equidentatum,agriostomum equidentatum,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
agriostomum gorgonis,agriostomum gorgonis,agriostomum gorgonis,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
agriostomum sp.,agriostomum sp.,agriostomum sp.,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
alaria alata,alaria alata,alaria alata,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
alaria americana,alaria americana,alaria americana,helminth,1,0,1,1,1,1,paragonimiasis,food,1,0,0,0,0,1,NA,NA
alaria arisaemoides,alaria arisaemoides,alaria arisaemoides,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
alaria canis,alaria canis,alaria canis,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
alaria marcianae,alaria marcianae,alaria marcianae,helminth,1,0,1,0,1,0,NA,NA,0,0,NA,0,NA,1,NA,NA
alaria mustelae,alaria mustelae,alaria mustelae,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
alaria sp.,alaria sp.,alaria sp.,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
alaria taxideae,alaria taxideae,alaria taxideae,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
allodapa sp.,allodapa sp.,allodapa sp.,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
amoebotaenia paradoxa,amoebotaenia paradoxa,amoebotaenia paradoxa,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
anatrichosoma cynamolgi,anatrichosoma cynamolgi,anatrichosoma cynamolgi,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
anatrichosoma ixyos,anatrichosoma ixyos,anatrichosoma ixyos,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
anatrichosoma sp.,anatrichosoma sp.,anatrichosoma sp.,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
ancylostoma braziliense,ancylostoma braziliense,ancylostoma braziliense,helminth,1,1,1,1,1,1,cutaneous larva migrans,"environment, direct",1,0,NA,0,NA,1,NA,NA
ancylostoma caninum,ancylostoma caninum,ancylostoma caninum,helminth,1,1,1,1,1,1,cutaneous larva migrans,"environment, direct",1,0,NA,0,NA,1,NA,NA
ancylostoma duodenale,ancylostoma duodenale,ancylostoma duodenale,helminth,1,1,1,1,1,1,hookworm,environment,1,0,NA,0,NA,1,NA,NA
ancylostoma kusimaense,ancylostoma kusimaense,ancylostoma kusimaense,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
ancylostoma martinezi,ancylostoma martinezi,ancylostoma martinezi,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
ancylostoma paraduodenale,ancylostoma paraduodenale,ancylostoma paraduodenale,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
ancylostoma pluridentatum,ancylostoma pluridentatum,ancylostoma pluridentatum,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
ancylostoma quadridentata,ancylostoma quadridentata,ancylostoma quadridentata,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
ancylostoma sp.,ancylostoma sp.,ancylostoma sp.,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
ancylostoma tubaeforme,ancylostoma tubaeforme,ancylostoma tubaeforme,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
angiocaulus gubernaculatus,angiocaulus gubernaculatus,angiocaulus gubernaculatus,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
angiostrongylus costaricensis,angiostrongylus costaricensis,angiostrongylus costaricensis,helminth,1,1,1,1,1,1,"angiostrongyliasis, abdominal","direct, environmental",1,0,NA,1,eosinophilic meningitis,0,NA,NA
angiostrongylus sp.,angiostrongylus sp.,angiostrongylus sp.,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
angiostrongylus vasorum,angiostrongylus vasorum,angiostrongylus vasorum,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
anisakis pegreffii,anisakis pegreffii,anisakis pegreffii,helminth,1,0,1,0,0,0,NA,NA,0,0,0,0,NA,0,"Eastern Asia, Southern Europe","KR,PT,JP,CN,AQ,IT"
anisakis physeteris,anisakis physeteris,anisakis physeteris,helminth,1,1,1,1,1,1,anisakiasis,food,1,0,NA,0,NA,1,"South America, Eastern Asia, Southern Europe","BR,JP,IT"
anisakis simplex,anisakis simplex,anisakis simplex,helminth,1,1,1,1,1,1,anisakiasis,food,1,0,NA,0,NA,1,NA,NA
anisakis sp.,anisakis sp.,anisakis sp.,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
anophryocephalus arcticensis,anophryocephalus arcticensis,anophryocephalus arcticensis,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
anophryocephalus inuitorum,anophryocephalus inuitorum,anophryocephalus inuitorum,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
anophryocephalus ochotensis,anophryocephalus ochotensis,anophryocephalus ochotensis,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
anophryocephalus sp.,anophryocephalus sp.,anophryocephalus sp.,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
anoplocephala gigantea,anoplocephala gigantea,anoplocephala gigantea,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
anoplocephala gorillae,anoplocephala gorillae,anoplocephala gorillae,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
anoplocephala magna,anoplocephala magna,anoplocephala magna,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
anoplocephala perfoliata,anoplocephala perfoliata,anoplocephala perfoliata,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
anoplocephala sp.,anoplocephala sp.,anoplocephala sp.,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
aonchotheca putorii,aonchotheca putorii,aonchotheca putorii,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
aototrema dorsogenitalis,aototrema dorsogenitalis,aototrema dorsogenitalis,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
apophallus donicus,apophallus donicus,apophallus donicus,helminth,1,0,1,1,1,1,small intestinal trematodes,food,1,0,NA,0,NA,1,NA,NA
apophallus muehlingi,apophallus muehlingi,apophallus muehlingi,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
apophallus venustus,apophallus venustus,apophallus venustus,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
apteragia odocoilei,apteragia odocoilei,apteragia odocoilei,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
apteragia pursglovei,apteragia pursglovei,apteragia pursglovei,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
apteragia quadrispiculata,apteragia quadrispiculata,apteragia quadrispiculata,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
arhythmorhynchus brevis,arhythmorhynchus brevis,arhythmorhynchus brevis,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
arthrostoma miyazakiense,arthrostoma miyazakiense,arthrostoma miyazakiense,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
ascaridia galli,ascaridia galli,ascaridia galli,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
ascaridia schroederii,ascaridia schroederii,ascaridia schroederii,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
ascaridia sp.,ascaridia sp.,ascaridia sp.,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
ascaris elongata,ascaris elongata,ascaris elongata,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
ascaris lumbricoides,ascaris lumbricoides,ascaris lumbricoides,helminth,1,1,1,1,1,1,ascariasis,food,1,0,NA,0,NA,1,NA,NA
ascaris petiti,ascaris petiti,ascaris petiti,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
ascaris phacochoeri,ascaris phacochoeri,ascaris phacochoeri,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
ascaris sp.,ascaris sp.,ascaris sp.,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
ascaris suum,ascaris suum,ascaris suum,helminth,1,1,1,0,1,0,NA,NA,0,0,NA,0,NA,1,NA,NA
ascarops dentata,ascarops dentata,ascarops dentata,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
ascarops strongylina,ascarops strongylina,ascarops strongylina,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
ascocotyle ampullacea,ascocotyle ampullacea,ascocotyle ampullacea,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
ascocotyle leighi,ascocotyle leighi,ascocotyle leighi,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
ascocotyle sp.,ascocotyle sp.,ascocotyle sp.,helminth,1,0,1,1,1,1,small intestinal trematodes,food,1,0,NA,0,NA,1,,
ascorhytis charadriformis,ascorhytis charadriformis,ascorhytis charadriformis,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
ashworthius gagarini,ashworthius gagarini,ashworthius gagarini,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
ashworthius sidemi,ashworthius sidemi,ashworthius sidemi,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
ashworthius sp.,ashworthius sp.,ashworthius sp.,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
athesmia foxi,athesmia foxi,athesmia foxi,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
athesmia heterolecithodes,athesmia heterolecithodes,athesmia heterolecithodes,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
atriotaenia incisa,atriotaenia incisa,atriotaenia incisa,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
atriotaenia procyonis,atriotaenia procyonis,atriotaenia procyonis,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
atriotaenia sp.,atriotaenia sp.,atriotaenia sp.,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
avitellina centripunctata,avitellina centripunctata,avitellina centripunctata,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
avitellina sp.,avitellina sp.,avitellina sp.,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
baschkirovitrema incrassatum,baschkirovitrema incrassatum,baschkirovitrema incrassatum,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
bashkirovitrema sp.,bashkirovitrema sp.,bashkirovitrema sp.,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
baylisascaris columnaris,baylisascaris columnaris,baylisascaris columnaris,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
baylisascaris devosi,baylisascaris devosi,baylisascaris devosi,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
baylisascaris procyonis,baylisascaris procyonis,baylisascaris procyonis,helminth,1,1,1,1,1,1,baylisascariasis,environment,1,0,NA,1,raccoon roundworm infection,1,NA,NA
baylisascaris sp.,baylisascaris sp.,baylisascaris sp.,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
baylisascaris transfuga,baylisascaris transfuga,baylisascaris transfuga,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
baylisiella tecta,baylisiella tecta,baylisiella tecta,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
bertiella mucronata,bertiella mucronata,bertiella mucronata,helminth,1,0,1,1,1,1,bertiella,food,1,0,NA,0,NA,1,,
bertiella sp.,bertiella sp.,bertiella sp.,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
bertiella studeri,bertiella studeri,bertiella studeri,helminth,1,0,1,1,1,1,bertiella,food,1,0,NA,0,NA,1,NA,NA
bolbosoma bobrovoi,bolbosoma bobrovoi,bolbosoma bobrovoi,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
bolbosoma sp.,bolbosoma sp.,bolbosoma sp.,helminth,1,0,1,1,1,1,anisakiasis,food,1,0,NA,0,NA,1,,
bourgelatia hylochoeri,bourgelatia hylochoeri,bourgelatia hylochoeri,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
brachylaemus sp.,brachylaemus sp.,brachylaemus sp.,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
brachylaima fuscatus,brachylaima fuscatus,brachylaima fuscatus,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
brachylaima pellucidum,brachylaima pellucidum,brachylaima pellucidum,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
brachylaima recurva,brachylaima recurva,brachylaima recurva,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
brachylaima tokudai,brachylaima tokudai,brachylaima tokudai,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
brachylaima virginianum,brachylaima virginianum,brachylaima virginianum,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
breinlia sp.,breinlia sp.,breinlia sp.,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
brodenia laciniata,brodenia laciniata,brodenia laciniata,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
brodenia serrata,brodenia serrata,brodenia serrata,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
bronchonema magna,bronchonema magna,bronchonema magna,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
brugia beaveri,brugia beaveri,brugia beaveri,helminth,1,0,1,0,1,0,NA,NA,0,0,NA,0,NA,1,NA,NA
brugia malayi,brugia malayi,brugia malayi,helminth,1,1,1,1,1,1,filariasis,vector,1,1,"moquito (mansonia, aedes, anopheles)",1,filariasis,1,NA,NA
brugia pahangi,brugia pahangi,brugia pahangi,helminth,1,1,1,0,0,0,NA,NA,0,0,NA,0,NA,0,Western Asia,TR
brugia sp.,brugia sp.,brugia sp.,helminth,1,1,1,0,0,0,NA,NA,0,0,NA,0,NA,0,,
buckleyenterobius sp.,buckleyenterobius sp.,buckleyenterobius sp.,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
bunostomum sp.,bunostomum sp.,bunostomum sp.,helminth,1,1,1,1,1,1,cutaneous larva migrans,"direct, environment",1,0,NA,0,NA,0,NA,NA
bunostomum trigonocephalum,bunostomum trigonocephalum,bunostomum trigonocephalum,helminth,1,1,0,0,0,0,NA,NA,0,0,NA,0,NA,0,"Eastern Asia, Northern Europe, Western Europe, Australia and New Zealand","CN,AU,FR,GB"
calicophron calicophorum,calicophoron calicophorum,calicophoron calicophorum,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
calicophron sp.,calicophoron sp.,calicophoron sp.,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
callistoura blanci,callistoura blanci,callistoura blanci,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
callistoura brygooi,callistoura brygooi,callistoura brygooi,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
callistoura sp.,callistoura sp.,callistoura sp.,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
camelostrongylus harrisi,camelostrongylus harrisi,camelostrongylus harrisi,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
camelostrongylus mentulatus,camelostrongylus mentulatus,camelostrongylus mentulatus,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
camelostrongylus sp.,camelostrongylus sp.,camelostrongylus sp.,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
capillaria aerophila,capillaria aerophila,capillaria aerophila,helminth,1,0,1,1,1,1,capillariasis (extraintestinal),environment,1,0,NA,0,NA,0,NA,NA
capillaria bilobata,capillaria bilobata,capillaria bilobata,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
capillaria bovis,capillaria bovis,capillaria bovis,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
capillaria brochieri,capillaria brochieri,capillaria brochieri,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
capillaria garfiai,capillaria garfiai,capillaria garfiai,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
capillaria hepatica,capillaria hepatica,capillaria hepatica,helminth,1,0,1,1,1,1,capillariasis (extraintestinal),environment,1,0,NA,0,NA,0,NA,NA
capillaria mucronata,capillaria mucronata,capillaria mucronata,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
capillaria mustelorum,capillaria mustelorum,capillaria mustelorum,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
capillaria myoxinitelae,capillaria myoxinitelae,capillaria myoxinitelae,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
capillaria plica,capillaria plica,capillaria plica,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
capillaria procyonis,capillaria procyonis,capillaria procyonis,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
capillaria putorii,capillaria putorii,capillaria putorii,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
capillaria sp.,capillaria sp.,capillaria sp.,helminth,1,0,1,0,0,0,NA,NA,0,0,NA,0,NA,0,NA,NA
capreocaulus capreoli,capreocaulus capreoli,capreocaulus capreoli,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
cardiofilaria darwisi,cardiofilaria darwisi,cardiofilaria darwisi,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
cardiofilaria sp.,cardiofilaria sp.,cardiofilaria sp.,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
carmyerius gregarius,carmyerius gregarius,carmyerius gregarius,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
centrorhynchus aluconis,centrorhynchus aluconis,centrorhynchus aluconis,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
centrorhynchus bazaleticus,centrorhynchus bazaleticus,centrorhynchus bazaleticus,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
centrorhynchus conspectus,centrorhynchus conspectus,centrorhynchus conspectus,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
centrorhynchus elongatus,centrorhynchus elongatus,centrorhynchus elongatus,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
centrorhynchus sp.,centrorhynchus sp.,centrorhynchus sp.,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
centrorhynchus teres,centrorhynchus teres,centrorhynchus teres,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
centrorhynchus undulatus,centrorhynchus undulatus,centrorhynchus undulatus,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
ceratospira opthalmica,ceratospira opthalmica,ceratospira opthalmica,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
cercogylus africanus,cercogylus africanus,cercogylus africanus,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
cercopithifilaria crassa,cercopithifilaria crassa,cercopithifilaria crassa,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
cercopithifilaria degraaffi,cercopithifilaria degraaffi,cercopithifilaria degraaffi,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
cercopithifilaria eberhardi,cercopithifilaria eberhardi,cercopithifilaria eberhardi,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
cercopithifilaria kenyensis,cercopithifilaria kenyensis,cercopithifilaria kenyensis,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
cercopithifilaria longa,cercopithifilaria longa,cercopithifilaria longa,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
cercopithifilaria narokensis,cercopithifilaria narokensis,cercopithifilaria narokensis,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
cercopithifilaria shohoi,cercopithifilaria shohoi,cercopithifilaria shohoi,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
cercopithifilaria verveti,cercopithifilaria verveti,cercopithifilaria verveti,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
chabertia ovina,chabertia ovina,chabertia ovina,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
chabertia sp.,chabertia sp.,chabertia sp.,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
chitwoodspirura sp.,chitwoodspirura sp.,chitwoodspirura sp.,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
chitwoodspirura wehri,chitwoodspirura wehri,chitwoodspirura wehri,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
chlamydonema tumefaciens,chlamydonema tumefaciens,chlamydonema tumefaciens,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
citellinema sp.,citellinema sp.,citellinema sp.,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
colobenterobius colobis,colobenterobius colobis,colobenterobius colobis,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
colobenterobius entellus,colobenterobius entellus,colobenterobius entellus,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
colobenterobius guerezae,colobenterobius guerezae,colobenterobius guerezae,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
colobenterobius inglisi,colobenterobius inglisi,colobenterobius inglisi,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
colobenterobius longispiculum,colobenterobius longispiculum,colobenterobius longispiculum,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
colobenterobius paraguerezae,colobenterobius paraguerezae,colobenterobius paraguerezae,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
colobenterobius pesteri,colobenterobius pesteri,colobenterobius pesteri,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
colobenterobius presbytis,colobenterobius presbytis,colobenterobius presbytis,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
colobenterobius sp.,colobenterobius sp.,colobenterobius sp.,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
colobenterobius zakiri,colobenterobius zakiri,colobenterobius zakiri,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
colobostrongylus strongi,colobostrongylus strongi,colobostrongylus strongi,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
concinnum ten,concinnum ten,concinnum ten,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
contracaecum margolisi,contracaecum margolisi,contracaecum margolisi,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
contracaecum ogmorhini,contracaecum ogmorhini,contracaecum ogmorhini,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
contracaecum osculatum,contracaecum osculatum,contracaecum osculatum,helminth,1,0,1,1,1,1,anisakiasis,food,1,0,NA,0,NA,1,,
contracaecum rodhaini,contracaecum rodhaini,contracaecum rodhaini,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
contracaecum sp.,contracaecum sp.,contracaecum sp.,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
contracaecum spiculigerum,contracaecum spiculigerum,contracaecum spiculigerum,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
controrchis biliophilus,controrchis biliophilus,controrchis biliophilus,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
controrchis sp.,controrchis sp.,controrchis sp.,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
cooperia acutispiculum,cooperia acutispiculum,cooperia acutispiculum,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
cooperia connochaeti,cooperia connochaeti,cooperia connochaeti,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
cooperia fuelleborni,cooperia fuelleborni,cooperia fuelleborni,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
cooperia hungi,cooperia hungi,cooperia hungi,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
cooperia neitzi,cooperia neitzi,cooperia neitzi,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
cooperia oncophora,cooperia oncophora,cooperia oncophora,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
cooperia pectinata,cooperia pectinata,cooperia pectinata,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
cooperia pigachei,cooperia pigachei,cooperia pigachei,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
cooperia punctata,cooperia punctata,cooperia punctata,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
cooperia rotundispiculum,cooperia rotundispiculum,cooperia rotundispiculum,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
cooperia sp.,cooperia sp.,cooperia sp.,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
cooperia surnabada,cooperia surnabada,cooperia surnabada,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
