Pathogen_Original,PathogenName_Harmonised,PathogenName_Harm2,PathogenType,HumanInfective_Any,HumanInfective_EID2,HumanInfective_External,DiseaseAgent,IsZoonotic,InGIDEON,Disease_GIDEON,Route_GIDEON,AnimalReservoir_GIDEON,Vector_GIDEON,VectorBorne,InWertheim,Disease_Wertheim,AnimalReservoir_Taylor,UN_subregion,Countries_EID2Wertheim
acrostichus halicti,acrostichus halicti,acrostichus halicti,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
adlardia novaecaledoniae,adlardia novaecaledoniae,adlardia novaecaledoniae,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
aelurostrongylus abstrusus,aelurostrongylus abstrusus,aelurostrongylus abstrusus,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,South America,BR
aephnidiogenes major,aephnidiogenes major,aephnidiogenes major,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
affecauda annulata,affecauda annulata,affecauda annulata,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
ageneiella brevifilis,ageneiella brevifilis,ageneiella brevifilis,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,South America,PY
agfa flexilis,agfa flexilis,agfa flexilis,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,Southern Africa,ZA
alaria alata,alaria alata,alaria alata,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,"Eastern Europe, Western Europe","UA,FR"
alaria marcianae,alaria marcianae,alaria marcianae,helminth,1,0,1,0,1,0,NA,NA,0,NA,0,0,NA,1,,
alaria mustelae,alaria mustelae,alaria mustelae,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,Northern America,"US,CA"
aliatrema cribbi,aliatrema cribbi,aliatrema cribbi,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,Polynesia,PF
allassogonoporus amphoraeformis,allassogonoporus amphoraeformis,allassogonoporus amphoraeformis,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,Eastern Europe,UA
allobenedenia epinepheli,allobenedenia epinepheli,allobenedenia epinepheli,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
allobilharzia visceralis,allobilharzia visceralis,allobilharzia visceralis,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,Northern America,US
allocreadium isoporum,allocreadium isoporum,allocreadium isoporum,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,Eastern Europe,RU
allocreadium lobatum,allocreadium lobatum,allocreadium lobatum,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
allocreadium mazoensis,allocreadium mazoensis,allocreadium mazoensis,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
alloionema appendiculatum,alloionema appendiculatum,alloionema appendiculatum,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,Western Europe,BE
amphicotyle heteropleura,amphicotyle heteropleura,amphicotyle heteropleura,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
amphilina foliacea,amphilina foliacea,amphilina foliacea,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
amphoteromorphus ninoi,amphoteromorphus ninoi,amphoteromorphus ninoi,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,South America,BR
amphoteromorphus piraeeba,amphoteromorphus piraeeba,amphoteromorphus piraeeba,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,South America,BR
amurotaenia decidua,amurotaenia decidua,amurotaenia decidua,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,Australia and New Zealand,NZ
anantrum tortum,anantrum tortum,anantrum tortum,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,Northern America,US
anatrichosoma haycocki,anatrichosoma haycocki,anatrichosoma haycocki,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,Australia and New Zealand,AU
anchistrocephalus microcephalus,anchistrocephalus microcephalus,anchistrocephalus microcephalus,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,Northern Europe,GB
ancylocoelium typicum,ancylocoelium typicum,ancylocoelium typicum,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,Northern Europe,GB
ancylostoma braziliense,ancylostoma braziliense,ancylostoma braziliense,helminth,1,1,1,1,1,1,cutaneous larva migrans,"environment, direct",1,NA,0,0,NA,1,,
ancylostoma caninum,ancylostoma caninum,ancylostoma caninum,helminth,1,1,1,1,1,1,cutaneous larva migrans,"environment, direct",1,NA,0,0,NA,1,"South-eastern Asia, Australia and New Zealand","LA,AU"
ancylostoma ceylanicum,ancylostoma ceylanicum,ancylostoma ceylanicum,helminth,1,1,1,1,1,1,hookworm,"environment, direct",1,NA,0,0,NA,1,"Eastern Asia, South-eastern Asia, Australia and New Zealand","MY,JP,LA,AU"
ancylostoma duodenale,ancylostoma duodenale,ancylostoma duodenale,helminth,1,1,1,1,1,1,hookworm,environment,1,NA,0,0,NA,1,"Eastern Africa, Eastern Asia, South-eastern Asia, Australia and New Zealand","TZ,CN,LA,AU"
ancylostoma tubaeforme,ancylostoma tubaeforme,ancylostoma tubaeforme,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,"Southern Asia, Australia and New Zealand","IR,AU"
ancyrocephalus mogurndae,ancyrocephalus mogurndae,ancyrocephalus mogurndae,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,Eastern Asia,CN
ancyrocephalus percae,ancyrocephalus percae,ancyrocephalus percae,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,Northern Europe,FI
andracantha gravida,andracantha gravida,andracantha gravida,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
andrya cuniculi,andrya cuniculi,andrya cuniculi,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,Southern Europe,ES
andrya rhopalocephala,andrya rhopalocephala,andrya rhopalocephala,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,Eastern Europe,HU
angiostoma dentifera,angiostoma dentifera,angiostoma dentifera,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,Western Europe,BE
angiostoma limacis,angiostoma limacis,angiostoma limacis,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,Northern Europe,GB
angiostrongylus cantonensis,angiostrongylus cantonensis,angiostrongylus cantonensis,helminth,1,1,1,1,1,1,angiostrongyliasis,"direct, environmental, food",1,NA,0,1,eosinophilic meningitis,0,"Northern Africa, Western Africa, Caribbean, South America, Northern America, Eastern Asia, South-eastern Asia, Southern Asia, Australia and New Zealand, Melanesia, Polynesia, Eastern Africa, Southern Europe","US,EC,BR,TO,AS,PF,CU,DO,JM,CI,EG,IN,CN,TH,VN,TW,AU,PG,JP,ID,MY,NC,ES,MV,RE"
angiostrongylus costaricensis,angiostrongylus costaricensis,angiostrongylus costaricensis,helminth,1,1,1,1,1,1,"angiostrongyliasis, abdominal","direct, environmental",1,NA,0,1,eosinophilic meningitis,0,"Central America, South America","CR,BR"
angiostrongylus dujardini,angiostrongylus dujardini,angiostrongylus dujardini,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
angiostrongylus malaysiensis,angiostrongylus malaysiensis,angiostrongylus malaysiensis,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
angiostrongylus vasorum,angiostrongylus vasorum,angiostrongylus vasorum,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,"South America, Northern America, Northern Europe, Southern Europe, Western Europe","GB,FR,PT,BR,CA,DK,NL,IE,DE"
anguillicola globiceps,anguillicola globiceps,anguillicola globiceps,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,Eastern Asia,JP
anguillicoloides australiensis,anguillicoloides australiensis,anguillicoloides australiensis,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,"Eastern Asia, Australia and New Zealand","CN,AU"
anguillicoloides crassus,anguillicoloides crassus,anguillicoloides crassus,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,"Eastern Asia, Western Asia, Eastern Europe, Southern Europe, Western Europe, Australia and New Zealand","CN,AU,JP,CZ,TW,PL,TR,DE,ES,PT"
anguillicoloides novaezelandiae,anguillicoloides novaezelandiae,anguillicoloides novaezelandiae,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,"Eastern Africa, Australia and New Zealand","AU,MG"
anguillicoloides papernai,anguillicoloides papernai,anguillicoloides papernai,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,"Eastern Africa, Southern Africa, Western Europe","AT,ZA,MG"
angusticaecum holopterum,angusticaecum holopterum,angusticaecum holopterum,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
anisakis brevispiculata,anisakis brevispiculata,anisakis brevispiculata,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,"Northern America, Eastern Asia","US,JP,KR"
anisakis nascettii,anisakis nascettii,anisakis nascettii,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
anisakis paggiae,anisakis paggiae,anisakis paggiae,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,"Northern America, Eastern Asia","GL,JP"
anisakis pegreffii,anisakis pegreffii,anisakis pegreffii,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,"Eastern Asia, Southern Europe","KR,PT,JP,CN,AQ,IT"
anisakis physeteris,anisakis physeteris,anisakis physeteris,helminth,1,1,1,1,1,1,anisakiasis,food,1,NA,0,0,NA,1,"South America, Eastern Asia, Southern Europe","BR,JP,IT"
anisakis simplex,anisakis simplex,anisakis simplex,helminth,1,1,1,1,1,1,anisakiasis,food,1,NA,0,0,NA,1,"Northern America, Eastern Asia, Western Asia, Eastern Europe, Northern Europe, Southern Europe","PL,JP,KR,US,PT,TR,DK,NO,GL,ES"
anisakis typica,anisakis typica,anisakis typica,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,"South America, Northern America, Eastern Asia, Southern Europe","JP,BR,TW,PT,US,CN"
anisakis ziphidarum,anisakis ziphidarum,anisakis ziphidarum,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,"Southern Africa, Northern America, Eastern Asia","JP,ZA,CA"
ankistromeces dunwichensis,ankistromeces dunwichensis,ankistromeces dunwichensis,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,Australia and New Zealand,AU
ankistromeces olsoni,ankistromeces olsoni,ankistromeces olsoni,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,Australia and New Zealand,AU
anonchocephalus chilensis,anonchocephalus chilensis,anonchocephalus chilensis,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
anoplocephala magna,anoplocephala magna,anoplocephala magna,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,Eastern Asia,JP
anoplocephala perfoliata,anoplocephala perfoliata,anoplocephala perfoliata,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,"Northern America, Eastern Asia, Western Europe, Australia and New Zealand","JP,DE,AU,US"
anoplocephaloides dentata,anoplocephaloides dentata,anoplocephaloides dentata,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,"Northern America, Western Asia, Eastern Europe, Southern Europe","TR,BA,HR,CA,BG"
anoplocephaloides kontrimavichusi,anoplocephaloides kontrimavichusi,anoplocephaloides kontrimavichusi,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,Northern America,US
anoplocephaloides lemmi,anoplocephaloides lemmi,anoplocephaloides lemmi,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,Eastern Europe,RU
anoplodiscus cirrusspiralis,anoplodiscus cirrusspiralis,anoplodiscus cirrusspiralis,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,Australia and New Zealand,AU
anthobothrium laciniatum,anthobothrium laciniatum,anthobothrium laciniatum,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
anthocephalum alicae,anthocephalum alicae,anthocephalum alicae,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
antorchis pomacanthi,antorchis pomacanthi,antorchis pomacanthi,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,Australia and New Zealand,AU
aonchotheca philippinensis,aonchotheca philippinensis,aonchotheca philippinensis,helminth,,,,,,,,,,,,,,,,
apatemon annuligerum,apatemon annuligerum,apatemon annuligerum,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,Northern Europe,GB
apatemon gracilis,apatemon gracilis,apatemon gracilis,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,Northern Europe,GB
apharyngostrigea cornu,apharyngostrigea cornu,apharyngostrigea cornu,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,"Northern America, Eastern Europe","CA,UA"
apharyngostrigea pipientis,apharyngostrigea pipientis,apharyngostrigea pipientis,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,Northern America,US
aphelenchoides xylocopae,aphelenchoides xylocopae,aphelenchoides xylocopae,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
aporhynchus norvegicus,aporhynchus norvegicus,aporhynchus norvegicus,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
aporocotyle spinosicanalis,aporocotyle spinosicanalis,aporocotyle spinosicanalis,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,Northern Europe,GB
aptorchis megacetabulus,aptorchis megacetabulus,aptorchis megacetabulus,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,Australia and New Zealand,AU
aptorchis megapharynx,aptorchis megapharynx,aptorchis megapharynx,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,Australia and New Zealand,AU
archigetes sieboldi,archigetes sieboldi,archigetes sieboldi,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
arostrilepis horrida,arostrilepis horrida,arostrilepis horrida,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
artyfechinostomum sufrartyfex,artyfechinostomum sufrartyfex,artyfechinostomum sufrartyfex,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
ascaridia columbae,ascaridia columbae,ascaridia columbae,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
ascaridia compar,ascaridia compar,ascaridia compar,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
ascaridia galli,ascaridia galli,ascaridia galli,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,"Northern America, Eastern Asia","US,CN"
ascaris lumbricoides,ascaris lumbricoides,ascaris lumbricoides,helminth,1,1,1,1,1,1,ascariasis,food,1,NA,0,0,NA,1,"Northern Africa, Eastern Africa, Southern Africa, Western Africa, Central America, South America, Eastern Asia, South-eastern Asia, Southern Asia, Western Asia, Western Europe","CN,JP,DE,BR,IN,BD,AT,PA,MY,GT,VE,KE,EG,NP,NG,TW,TZ,TR,ZA,MV"
ascaris suum,ascaris suum,ascaris suum,helminth,1,1,1,1,1,1,toxocariasis,"food, environment",1,NA,0,0,NA,1,"Northern America, Eastern Asia, Northern Europe, Western Europe","JP,CH,CN,US,GB"
ascarops strongylina,ascarops strongylina,ascarops strongylina,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
ashworthius sidemi,ashworthius sidemi,ashworthius sidemi,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,Western Europe,FR
aspiculuris tetraptera,aspiculuris tetraptera,aspiculuris tetraptera,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
aspidogaster chongqingensis,aspidogaster chongqingensis,aspidogaster chongqingensis,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,Eastern Asia,CN
aspidogaster ijimai,aspidogaster ijimai,aspidogaster ijimai,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,Eastern Asia,CN
asthenocotyle kaikourensis,asthenocotyle kaikourensis,asthenocotyle kaikourensis,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
astiotrema reniferum,astiotrema reniferum,astiotrema reniferum,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
atractolytocestus huronensis,atractolytocestus huronensis,atractolytocestus huronensis,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,"Northern America, Eastern Europe, Northern Europe, Southern Europe","US,SK,HR,RO,GB,HU"
atractotrema sigani,atractotrema sigani,atractotrema sigani,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,Australia and New Zealand,AU
atrispinum acarne,atrispinum acarne,atrispinum acarne,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,Western Europe,FR
auridistomum chelydrae,auridistomum chelydrae,auridistomum chelydrae,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,Northern America,US
austramphilina elongata,austramphilina elongata,austramphilina elongata,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,Australia and New Zealand,AU
austrobilharzia terrigalensis,austrobilharzia terrigalensis,austrobilharzia terrigalensis,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,Australia and New Zealand,AU
austrobilharzia variglandis,austrobilharzia variglandis,austrobilharzia variglandis,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,Northern America,US
austroholorchis sprenti,austroholorchis sprenti,austroholorchis sprenti,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
avitellina centripunctata,avitellina centripunctata,avitellina centripunctata,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
bacciger lesteri,bacciger lesteri,bacciger lesteri,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,Australia and New Zealand,AU
balanotaenia bancrofti,balanotaenia bancrofti,balanotaenia bancrofti,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,Australia and New Zealand,AU
bathybothrium rectangulum,bathybothrium rectangulum,bathybothrium rectangulum,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
bathycestus brayi,bathycestus brayi,bathycestus brayi,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
baylisascaris ailuri,baylisascaris ailuri,baylisascaris ailuri,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,Eastern Asia,CN
baylisascaris procyonis,baylisascaris procyonis,baylisascaris procyonis,helminth,1,1,1,1,1,1,baylisascariasis,environment,1,NA,0,1,raccoon roundworm infection,1,"Northern America, Eastern Asia","US,CA,CN,JP"
baylisascaris schroederi,baylisascaris schroederi,baylisascaris schroederi,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,"Eastern Asia, Southern Europe","CN,IT"
baylisascaris transfuga,baylisascaris transfuga,baylisascaris transfuga,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,"Eastern Asia, Southern Europe","IT,CN"
bdelloura candida,bdelloura candida,bdelloura candida,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,Northern America,US
beluesca littlewoodi,beluesca littlewoodi,beluesca littlewoodi,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
beluesca longicolla,beluesca longicolla,beluesca longicolla,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
benedenia acanthopagri,benedenia acanthopagri,benedenia acanthopagri,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
benedenia anticavaginata,benedenia anticavaginata,benedenia anticavaginata,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,Australia and New Zealand,AU
benedenia lutjani,benedenia lutjani,benedenia lutjani,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
benedenia rohdei,benedenia rohdei,benedenia rohdei,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,Australia and New Zealand,AU
benedenia sciaenae,benedenia sciaenae,benedenia sciaenae,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,Australia and New Zealand,AU
benedenia sekii,benedenia sekii,benedenia sekii,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,Australia and New Zealand,AU
benedenia seriolae,benedenia seriolae,benedenia seriolae,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,Australia and New Zealand,AU
benedeniella posterocolpa,benedeniella posterocolpa,benedeniella posterocolpa,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
bertiella mucronata,bertiella mucronata,bertiella mucronata,helminth,,,,,,,,,,,,,,,,
bertiella studeri,bertiella studeri,bertiella studeri,helminth,,,,,,,,,,,,,,,,
bianium spongiosum,bianium spongiosum,bianium spongiosum,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
bifurcohaptor indicus,bifurcohaptor indicus,bifurcohaptor indicus,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,Southern Asia,IN
bilharziella polonica,bilharziella polonica,bilharziella polonica,helminth,1,1,1,1,1,1,"cercarial dermatitis (avian schistomoiasis, swimmer's itch)",water,0,NA,0,0,NA,1,"Eastern Europe, Western Europe","BY,UA,FR"
bivagina pagrosomi,bivagina pagrosomi,bivagina pagrosomi,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
bivesicula claviformis,bivesicula claviformis,bivesicula claviformis,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,Australia and New Zealand,AU
bivesicula unexpecta,bivesicula unexpecta,bivesicula unexpecta,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,Australia and New Zealand,AU
bothitrema bothi,bothitrema bothi,bothitrema bothi,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,Northern America,US
bothriocephalus acheilognathi,bothriocephalus acheilognathi,bothriocephalus acheilognathi,helminth,1,1,0,0,0,0,NA,NA,0,NA,0,0,NA,0,"Eastern Africa, Central America, Northern America, Eastern Asia, Eastern Europe, Northern Europe, Western Europe","CN,KR,PA,ET,GB,FR,CZ,US"
bothriocephalus claviceps,bothriocephalus claviceps,bothriocephalus claviceps,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,Eastern Asia,CN
bothriocephalus scorpii,bothriocephalus scorpii,bothriocephalus scorpii,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,Northern Europe,GB
brachycladium atlanticum,brachycladium atlanticum,brachycladium atlanticum,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,Southern Europe,ES
brachycoelium salamandrae,brachycoelium salamandrae,brachycoelium salamandrae,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,Eastern Europe,UA
brachylaima virginianum,brachylaima virginianum,brachylaima virginianum,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,Northern America,US
brachylecithum lobatum,brachylecithum lobatum,brachylecithum lobatum,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,Eastern Europe,CZ
brachylecithum mosquensis,brachylecithum mosquensis,brachylecithum mosquensis,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
branchotenthes octohamatus,branchotenthes octohamatus,branchotenthes octohamatus,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,Australia and New Zealand,AU
brandesia turgida,brandesia turgida,brandesia turgida,helminth,1,0,1,0,0,0,NA,NA,0,NA,0,0,NA,0,Eastern Europe,UA
braya jexi,braya jexi,braya jexi,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,Australia and New Zealand,AU
braya psittacus,braya psittacus,braya psittacus,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,Australia and New Zealand,AU
braya yantschi,braya yantschi,braya yantschi,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,Australia and New Zealand,AU
breviscolex orientalis,breviscolex orientalis,breviscolex orientalis,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,Eastern Asia,JP
brugia malayi,brugia malayi,brugia malayi,helminth,1,1,1,1,1,1,filariasis,vector,1,"moquito (mansonia, aedes, anopheles)",1,1,filariasis,0,"South-eastern Asia, South America, Southern Asia","VN,TH,PH,ID,BN,MY,BR,IN"
brugia pahangi,brugia pahangi,brugia pahangi,helminth,1,1,1,0,0,0,NA,NA,0,NA,0,0,NA,0,Western Asia,TR
brugia timori,brugia timori,brugia timori,helminth,,,,,,,,,,,,,,,,
bucephalus minimus,bucephalus minimus,bucephalus minimus,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
bucephalus polymorphus,bucephalus polymorphus,bucephalus polymorphus,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,Eastern Europe,BY
bulbocirrus aulostomi,bulbocirrus aulostomi,bulbocirrus aulostomi,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
bunocotyle progenetica,bunocotyle progenetica,bunocotyle progenetica,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
bunodera luciopercae,bunodera luciopercae,bunodera luciopercae,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,Eastern Europe,RU
bunodera mediovitellata,bunodera mediovitellata,bunodera mediovitellata,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
bunostomum phlebotomum,bunostomum phlebotomum,bunostomum phlebotomum,helminth,1,0,1,1,1,1,cutaneous larva migrans,"direct, environment",1,NA,0,0,NA,1,,
bunostomum trigonocephalum,bunostomum trigonocephalum,bunostomum trigonocephalum,helminth,1,1,0,0,0,0,NA,NA,0,NA,0,0,NA,0,"Eastern Asia, Northern Europe, Western Europe, Australia and New Zealand","CN,AU,FR,GB"
bursaphelenchus gerberae,bursaphelenchus gerberae,bursaphelenchus gerberae,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,Caribbean,TT
bursaphelenchus kevini,bursaphelenchus kevini,bursaphelenchus kevini,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,Northern America,US
bursaphelenchus mucronatus,bursaphelenchus mucronatus,bursaphelenchus mucronatus,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,"South America, Eastern Asia, Western Asia, Eastern Europe, Northern Europe, Southern Europe, Western Europe","CN,ES,BR,DE,KR,HK,FI,UA,JP,PT,IL"
bursaphelenchus okinawaensis,bursaphelenchus okinawaensis,bursaphelenchus okinawaensis,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
bursaphelenchus rufipennis,bursaphelenchus rufipennis,bursaphelenchus rufipennis,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
bursaphelenchus seani,bursaphelenchus seani,bursaphelenchus seani,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,Northern America,US
cableia pudica,cableia pudica,cableia pudica,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,Australia and New Zealand,AU
cadenatella isuzumi,cadenatella isuzumi,cadenatella isuzumi,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
cadenatella pacifica,cadenatella pacifica,cadenatella pacifica,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,,
caecincola parvulus,caecincola parvulus,caecincola parvulus,helminth,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,Northern America,US
